"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Tucker Kraft","GB","TE","8","2025","30","78.9","0.9","12","5.4","13","1.6","38.2","0.43","9","69.2","103","12.9","42.6","3.43","7.92","11.44","98","10.89","43","4.78","1","50.0","4","1","1","0","10","34.5","3","0.33","6","0.200","3","23.1","12","92.3","1","7.7","2","1","50.0","0","118.4","39.4","2.0","","","100.0","","0.84","3.2","25.3","22.4","2.8","0.75","22.4"
"2","Kyle Pitts","ATL","TE","17","2025","45","88.2","5.5","55","13.5","10","0.6","21.7","0.22","8","80.0","97","5.7","33.0","2.16","9.70","12.13","58","7.25","42","5.25","1","50.0","1","0","0","0","6","19.4","2","0.25","6","0.133","0","","8","80.0","0","","0","0","0.0","0","140.4","25.0","2.2","","","100.0","","0.53","1.4","23.7","16.4","1.0","0.36","16.4"
"3","AJ Barner","SEA","TE","17","2025","46","79.3","4.2","42","7.5","10","0.6","18.9","0.22","10","100.0","82","4.8","17.4","1.78","8.20","8.20","40","4.00","9","0.90","1","20.0","2","0","0","0","7","19.4","0","","4","0.087","0","","10","100.0","1","10.0","2","2","100.0","0","134.2","20.8","1.4","","","100.0","","0.53","1.4","24.2","18.3","1.1","0.40","18.3"
"4","Brenton Strange","JAX","TE","12","2025","30","96.8","5.1","36","12.2","7","0.6","24.1","0.23","6","85.7","69","5.8","39.2","2.30","9.86","11.50","39","6.50","10","1.67","0","0.0","0","0","0","0","7","35.0","2","0.33","4","0.133","0","","7","100.0","1","14.3","3","2","66.7","0","107.7","25.9","2.7","","","100.0","","0.43","1.1","12.9","10.5","0.9","0.35","10.5"
"5","George Kittle","SF","TE","11","2025","33","84.6","5.8","58","29.7","10","0.9","27.0","0.30","8","80.0","66","6.0","39.5","2.00","6.60","8.25","28","3.50","19","2.38","2","40.0","2","2","1","1","7","29.2","0","","5","0.152","1","10.0","10","100.0","2","20.0","3","1","33.3","0","133.8","31.3","-0.9","","","100.0","","0.81","2.4","26.6","20.6","1.9","0.62","20.6"
"6","Luke Musgrave","GB","TE","17","2025","23","79.3","13.0","52","23.5","4","0.2","15.4","0.17","4","100.0","64","3.8","46.4","2.78","16.00","16.00","12","3.00","1","0.25","0","0.0","0","0","0","2","3","18.8","0","","4","0.174","0","","4","100.0","0","","0","0","0.0","0","118.8","16.7","6.4","","","100.0","","0.45","0.6","10.4","8.2","0.5","0.36","8.2"
"7","Theo Johnson","NYG","TE","15","2025","26","63.4","5.0","25","8.0","5","0.3","13.9","0.19","5","100.0","58","3.9","20.6","2.23","11.60","11.60","33","6.60","4","0.80","0","0.0","0","0","0","0","5","16.1","0","","3","0.115","0","","5","100.0","2","40.0","2","2","100.0","0","115.0","14.7","4.1","","","100.0","","0.42","0.7","10.8","7.7","0.5","0.30","7.7"
"8","Travis Kelce","KC","TE","17","2025","44","80.0","3.7","26","6.1","7","0.4","14.9","0.16","5","71.4","55","3.2","27.0","1.25","7.86","11.00","38","7.60","20","4.00","0","0.0","1","0","0","0","4","13.3","0","","3","0.068","0","","5","71.4","1","14.3","0","0","0.0","0","94.3","17.5","1.4","","","100.0","","0.24","0.6","10.5","10.5","0.6","0.24","10.5"
"9","Dalton Schultz","HST","TE","17","2025","42","89.4","6.3","75","28.5","12","0.7","26.7","0.29","7","58.3","54","3.2","21.3","1.29","4.50","7.71","29","4.14","7","1.00","0","0.0","3","0","0","0","9","27.3","2","0.29","3","0.071","0","","9","75.0","0","","2","0","0.0","0","69.4","28.6","-2.7","","","100.0","","0.30","0.7","12.4","20.6","1.2","0.49","20.6"
"10","Colston Loveland","CHI","TE","16","2025","24","88.9","8.0","48","17.9","6","0.4","25.0","0.25","5","83.3","52","3.3","26.5","2.17","8.67","10.40","21","4.20","4","0.80","0","0.0","1","0","0","0","5","27.8","0","","3","0.125","0","","5","83.3","0","","1","1","100.0","0","102.8","26.1","0.7","","","100.0","","0.43","0.6","10.2","9.6","0.6","0.40","9.6"
