"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Dalton Schultz","HST","TE","17","2025","37","88.1","3.3","23","11.3","7","0.4","17.5","0.19","6","85.7","35","2.1","16.7","0.95","5.00","5.83","26","4.33","3","0.50","0","0.0","0","0","0","0","5","17.2","0","","0","0.000","0","","7","100.0","0","","2","1","50.0","0","87.5","18.4","-1.4","","","100.0","","0.26","0.6","9.5","10.9","0.6","0.30","10.9"
"16","David Njoku","CLV","TE","12","2025","28","96.6","0.0","0","0.0","4","0.3","16.7","0.14","4","100.0","35","2.9","17.9","1.25","8.75","8.75","35","8.75","6","1.50","0","0.0","0","0","0","0","2","14.3","0","","1","0.036","0","","4","100.0","2","50.0","1","1","100.0","0","103.1","17.4","2.7","","","100.0","","0.27","0.6","7.5","5.9","0.5","0.21","5.9"
"17","Oronde Gadsden","LAC","TE","15","2025","27","87.1","6.0","30","14.0","5","0.3","20.8","0.19","4","80.0","32","2.1","19.6","1.19","6.40","8.00","12","3.00","3","0.75","0","0.0","1","0","0","0","3","21.4","0","","1","0.037","0","","5","100.0","0","","2","1","50.0","0","93.3","20.8","-0.6","","","100.0","","0.27","0.5","7.2","9.7","0.6","0.36","9.7"
"18","Johnny Mundt","JAX","TE","16","2025","23","92.0","8.7","52","23.6","6","0.4","25.0","0.26","3","50.0","32","2.0","12.6","1.39","5.33","10.67","24","8.00","1","0.33","0","0.0","0","0","0","0","2","12.5","0","","1","0.043","1","16.7","5","83.3","0","","2","0","0.0","0","66.0","25.0","-2.4","","","100.0","","0.27","0.4","6.2","9.2","0.6","0.40","9.2"
"19","Elijah Higgins","ARZ","TE","17","2025","41","95.3","2.4","17","4.3","7","0.4","17.1","0.17","6","85.7","31","1.8","11.1","0.76","4.43","5.17","20","3.33","11","1.83","0","0.0","0","0","0","0","5","20.0","2","0.33","1","0.024","0","","6","85.7","2","28.6","2","2","100.0","0","45.5","20.6","-2.1","","","100.0","","0.22","0.5","9.1","10.0","0.6","0.24","10.0"
"20","Tucker Kraft","GB","TE","8","2025","9","52.9","8.5","17","23.6","2","0.3","13.3","0.22","2","100.0","31","3.9","32.3","3.44","15.50","15.50","14","7.00","3","1.50","0","0.0","0","0","0","1","2","20.0","0","","1","0.111","0","","2","100.0","1","50.0","0","0","0.0","0","118.8","14.3","5.9","","","100.0","","0.57","0.6","5.1","2.8","0.3","0.31","2.8"
"21","Kyle Pitts","ATL","TE","17","2025","27","96.4","2.0","10","8.2","5","0.3","17.9","0.19","4","80.0","31","1.8","17.3","1.15","6.20","7.75","30","7.50","10","2.50","0","0.0","2","0","0","0","5","27.8","0","","1","0.037","0","","5","100.0","1","20.0","0","0","0.0","0","92.5","19.2","0.0","","","100.0","","0.26","0.4","7.1","7.2","0.4","0.27","7.2"
"22","Jake Tonges","SF","TE","16","2025","32","94.1","0.2","1","0.6","6","0.4","19.4","0.19","4","66.7","30","1.9","16.9","0.94","5.00","7.50","36","9.00","5","1.25","0","0.0","1","0","0","0","5","26.3","0","","0","0.000","0","","4","66.7","2","33.3","0","0","0.0","0","78.5","20.7","-1.2","","","100.0","","0.22","0.4","7.0","11.2","0.7","0.35","11.2"
"23","Tommy Tremble","CAR","TE","17","2025","24","77.4","1.5","6","11.3","4","0.2","14.3","0.17","3","75.0","28","1.6","15.7","1.17","7.00","9.33","22","7.33","12","4.00","0","0.0","0","0","0","0","3","17.6","0","","1","0.042","0","","3","75.0","0","","0","0","0.0","0","93.8","14.8","1.3","","","100.0","","0.24","0.3","5.8","5.8","0.3","0.24","5.8"
"24","Michael Mayer","LV","TE","13","2025","22","84.6","1.6","11","10.3","7","0.5","30.4","0.32","5","71.4","25","1.9","22.1","1.14","3.57","5.00","19","3.80","10","2.00","0","0.0","2","0","0","0","5","35.7","0","","2","0.091","0","","6","85.7","1","14.3","1","0","0.0","0","36.9","31.8","-2.4","","","100.0","","0.34","0.6","7.5","10.5","0.8","0.48","10.5"
"25","Foster Moreau","NO","TE","11","2025","11","73.3","2.3","7","6.9","3","0.3","21.4","0.27","2","66.7","25","2.3","12.9","2.27","8.33","12.50","17","8.50","6","3.00","0","0.0","0","0","0","0","2","25.0","0","","1","0.091","1","33.3","3","100.0","0","","0","0","0.0","0","92.4","23.1","2.2","","","100.0","","0.41","0.4","4.5","4.2","0.4","0.39","4.2"
"26","T.J. Hockenson","MIN","TE","15","2025","21","77.8","5.0","30","28.8","6","0.4","22.2","0.29","4","66.7","24","1.6","24.2","1.14","4.00","6.00","12","3.00","7","1.75","0","0.0","2","0","0","0","5","26.3","0","","1","0.048","1","16.7","5","83.3","0","","0","0","0.0","0","74.3","24.0","-3.0","","","100.0","","0.30","0.4","6.4","11.1","0.7","0.53","11.1"
"27","Julian Hill","MIA","TE","14","2025","9","42.9","5.5","11","10.8","2","0.1","10.5","0.22","2","100.0","24","1.7","16.2","2.67","12.00","12.00","13","6.50","5","2.50","0","0.0","0","0","0","0","2","16.7","0","","1","0.111","0","","2","100.0","0","","0","0","0.0","0","116.7","10.5","5.2","","","100.0","","0.49","0.3","4.4","3.0","0.2","0.34","3.0"
"28","Noah Fant","CIN","TE","15","2025","12","75.0","3.8","15","41.7","4","0.3","26.7","0.33","4","100.0","24","1.6","41.4","2.00","6.00","6.00","9","2.25","4","1.00","0","0.0","0","0","0","0","2","22.2","0","","0","0.000","0","","4","100.0","0","","1","1","100.0","0","91.7","30.8","-0.6","","","100.0","","0.53","0.4","6.4","5.9","0.4","0.49","5.9"
"29","Theo Johnson","NYG","TE","15","2025","6","40.0","18.0","18","48.6","1","0.1","9.1","0.17","1","100.0","24","1.6","27.0","4.00","24.00","24.00","6","6.00","5","5.00","0","0.0","0","0","0","0","1","11.1","0","","1","0.167","0","","1","100.0","0","","1","1","100.0","1","118.8","10.0","11.0","","","100.0","","0.57","0.2","3.4","1.4","0.1","0.23","1.4"
"30","Cole Kmet","CHI","TE","16","2025","23","76.7","8.0","16","3.7","2","0.1","6.9","0.09","2","100.0","23","1.4","8.5","1.00","11.50","11.50","7","3.50","2","1.00","0","0.0","0","0","0","0","1","5.9","0","","1","0.043","0","","2","100.0","0","","0","0","0.0","0","114.6","7.7","3.2","","","100.0","","0.19","0.3","4.3","4.5","0.3","0.20","4.5"
"31","Ja'Tavion Sanders","CAR","TE","13","2025","14","73.7","3.5","14","29.8","4","0.3","23.5","0.29","4","100.0","23","1.8","24.2","1.64","5.75","5.75","9","2.25","5","1.25","0","0.0","1","0","0","0","3","23.1","0","","1","0.071","0","","4","100.0","0","","0","0","0.0","0","90.6","25.0","-0.4","","","100.0","","0.45","0.5","6.3","6.3","0.5","0.45","6.3"
"32","Luke Schoonmaker","DAL","TE","17","2025","17","60.7","1.0","3","1.3","3","0.2","13.6","0.18","3","100.0","23","1.4","13.6","1.35","7.67","7.67","20","6.67","6","2.00","0","0.0","0","0","0","0","3","20.0","0","","1","0.059","0","","3","100.0","0","","0","0","0.0","0","98.6","15.0","2.2","","","100.0","","0.31","0.3","5.3","4.1","0.2","0.24","4.1"
"33","Dawson Knox","BUF","TE","17","2025","17","94.4","6.5","26","19.5","4","0.2","25.0","0.24","3","75.0","22","1.3","16.9","1.29","5.50","7.33","11","3.67","6","2.00","0","0.0","1","0","0","0","2","28.6","1","0.33","2","0.118","0","","3","75.0","0","","1","0","0.0","0","87.5","28.6","-1.8","","","100.0","","0.31","0.3","5.2","5.5","0.3","0.32","5.5"
"34","Jake Ferguson","DAL","TE","17","2025","31","83.8","5.2","26","14.9","5","0.3","14.7","0.16","4","80.0","22","1.3","7.3","0.71","4.40","5.50","17","4.25","7","1.75","0","0.0","1","1","0","1","3","15.0","0","","0","0.000","0","","5","100.0","0","","3","2","66.7","0","85.0","16.1","-2.8","","","100.0","","0.20","0.4","6.2","9.4","0.6","0.30","9.4"
"35","Travis Kelce","KC","TE","17","2025","21","72.4","-0.5","-1","-1.8","2","0.1","9.5","0.10","1","50.0","21","1.2","12.4","1.00","10.50","21.00","19","19.00","18","18.00","1","100.0","0","0","0","0","2","18.2","1","1.00","1","0.048","0","","1","50.0","1","50.0","0","0","0.0","0","127.1","10.5","4.4","","","100.0","","0.43","0.5","9.1","4.4","0.3","0.21","4.4"
