"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Tyler Warren","IND","TE","17","2025","57","82.6","5.7","114","28.1","20","1.2","31.7","0.35","18","90.0","244","14.4","42.7","4.28","12.20","13.56","169","9.39","53","2.94","0","0.0","0","0","0","1","19","39.6","3","0.17","11","0.193","0","","20","100.0","2","10.0","2","0","0.0","1","117.5","33.3","5.1","","","100.0","","0.74","2.5","42.4","31.6","1.9","0.55","31.6"
"2","George Kittle","SF","TE","11","2025","58","84.1","6.9","138","30.9","20","1.8","32.8","0.34","18","90.0","226","20.5","34.1","3.90","11.30","12.56","104","5.78","24","1.33","1","100.0","3","0","0","0","16","38.1","1","0.06","14","0.241","1","5.0","19","95.0","0","","1","1","100.0","0","130.4","37.0","3.8","","","100.0","","0.80","4.2","46.6","31.4","2.9","0.54","31.4"
"3","Hunter Henry","NE","TE","17","2025","58","76.3","8.4","152","43.1","18","1.1","28.6","0.31","13","72.2","215","12.6","36.6","3.71","11.94","16.54","124","9.54","28","2.15","2","66.7","0","0","0","1","16","44.4","1","0.08","9","0.155","0","","13","72.2","1","5.6","1","1","100.0","1","109.5","31.6","3.6","","","100.0","","0.80","2.7","46.5","30.4","1.8","0.52","30.4"
"4","Colston Loveland","CHI","TE","16","2025","57","91.9","12.5","212","39.3","17","1.1","31.5","0.30","10","58.8","205","12.8","50.6","3.60","12.06","20.50","86","8.60","31","3.10","1","33.3","0","1","1","5","11","35.5","3","0.30","7","0.123","1","5.9","12","70.6","0","","1","0","0.0","0","121.0","34.0","3.2","","","100.0","","0.64","2.3","36.5","24.0","1.5","0.42","24.0"
"5","AJ Barner","SEA","TE","17","2025","89","74.8","7.9","127","13.2","16","0.9","14.5","0.18","12","75.0","198","11.6","16.4","2.22","12.38","16.50","102","8.50","30","2.50","2","33.3","2","1","1","3","12","17.6","3","0.25","7","0.079","0","","12","75.0","1","6.3","1","1","100.0","0","129.7","16.3","4.6","","","100.0","","0.49","2.6","43.8","27.8","1.6","0.31","27.8"
"6","Trey McBride","ARZ","TE","17","2025","61","95.3","9.8","166","49.6","17","1.0","31.5","0.28","14","82.4","187","11.0","48.1","3.07","11.00","13.36","71","5.07","16","1.14","1","50.0","2","1","0","2","17","47.2","1","0.07","10","0.164","0","","15","88.2","2","11.8","6","5","83.3","0","132.1","35.4","2.5","","","100.0","","0.63","2.3","38.7","30.1","1.8","0.49","30.1"
"7","Dawson Knox","BUF","TE","17","2025","58","90.6","7.5","90","26.6","12","0.7","23.1","0.21","11","91.7","151","8.9","30.0","2.60","12.58","13.73","64","5.82","20","1.82","1","25.0","1","1","1","1","8","26.7","1","0.09","7","0.121","1","8.3","12","100.0","0","","2","2","100.0","0","146.5","24.0","4.8","","","100.0","","0.55","1.9","32.1","19.7","1.2","0.34","19.7"
"8","Colby Parkinson","LA","TE","15","2025","62","68.1","2.6","44","5.6","17","1.1","19.3","0.27","15","88.2","147","9.8","17.6","2.37","8.65","9.80","130","8.67","16","1.07","3","60.0","5","1","0","0","12","22.2","2","0.13","8","0.129","1","5.9","17","100.0","4","23.5","2","1","50.0","0","142.3","19.8","2.3","","","100.0","","0.77","3.2","47.7","27.6","1.8","0.45","27.6"
"9","Kyle Pitts","ATL","TE","17","2025","71","89.9","8.9","125","22.6","14","0.8","18.4","0.20","11","78.6","144","8.5","22.7","2.03","10.29","13.09","39","3.55","14","1.27","1","50.0","2","0","0","0","8","19.5","1","0.09","8","0.113","1","7.1","13","92.9","0","","3","2","66.7","0","133.3","20.0","2.1","","","100.0","","0.44","1.8","31.4","25.2","1.5","0.35","25.2"
"10","Daniel Bellinger","NYG","TE","16","2025","23","76.7","11.9","95","33.3","8","0.5","29.6","0.35","7","87.5","138","8.6","39.1","6.00","17.25","19.71","61","8.71","31","4.43","2","66.7","2","1","0","1","7","30.4","1","0.14","6","0.261","1","12.5","8","100.0","1","12.5","0","0","0.0","0","158.3","30.8","9.5","","","100.0","","1.43","2.1","32.8","13.7","0.9","0.60","13.7"
