"Team Details","","","","","","Passing","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","AVOID SK","QBP","PRESS %","PrROE","CHK %","RPO %","TA","BAT","SPK"
"17","Green Bay Packers","17","2025","Green Bay","Packers","198","179","130","72.6","1306","76.8","7.30","8","1","66","105.6","9","4.5","49","7.30","4.6","6.7","1120","10.1","18","46.5","80.5","55.9","60.3","77.7","12.8","5.0","2.8","7","1.1","-1","2.86","2.70","3.9","5.1","2","8","79","39.9","4.31","7.8","3.0","11","2","0"
"18","Arizona Cardinals","17","2025","Arizona","Cardinals","173","156","112","71.8","1301","76.5","8.34","5","2","66","102.0","12","6.9","79","7.33","11.7","7.8","1112","9.0","14","47.4","85.8","62.8","60.3","80.8","9.6","3.2","2.6","2","5.8","110","2.56","2.51","2.9","4.6","0","7","56","32.4","1.42","7.7","1.7","9","3","0"
"19","Los Angeles Chargers","17","2025","Los Angeles","Chargers","188","161","107","66.5","1272","74.8","7.90","1","7","52","74.3","12","6.4","57","5.32","4.4","6.9","1028","9.3","15","62.7","80.3","70.8","56.5","75.2","16.1","1.2","3.1","0","6.8","84","2.53","2.53","4.0","5.4","4","14","72","38.3","9.40","6.2","4.8","6","7","0"
"20","Miami Dolphins","17","2025","Miami","Dolphins","168","151","115","76.2","1256","73.9","8.32","2","3","49","96.3","7","4.2","50","7.03","8.7","7.2","1032","8.6","13","52.3","84.0","66.9","63.6","82.1","13.2","5.3","3.3","3","4.0","53","2.72","2.80","3.6","5.5","2","14","49","29.2","-4.14","6.0","3.6","6","1","0"
"21","New York Jets","17","2025","New York","Jets","144","135","97","71.9","1229","72.3","9.10","6","0","55","114.7","6","4.2","43","9.26","3.2","7.3","951","11.1","15","57.6","78.6","74.8","58.5","81.5","14.8","2.2","1.5","4","4.4","47","2.58","2.59","3.1","4.7","1","4","36","25.0","-7.50","9.6","3.5","4","0","0"
"22","New York Giants","17","2025","New York","Giants","166","147","103","70.1","1206","70.9","8.20","1","2","53","91.3","11","6.6","58","6.82","5.5","7.8","1102","11.6","17","46.5","79.3","66.0","68.7","82.3","12.9","5.4","0.7","3","5.4","60","2.78","2.58","3.5","5.3","2","7","58","34.9","1.22","8.8","5.4","4","2","0"
"23","New England Patriots","17","2025","New England","Patriots","165","148","106","71.6","1148","67.5","7.76","2","2","53","93.0","8","4.8","63","6.63","5.2","7.5","1044","8.8","13","45.7","79.9","65.5","60.1","77.7","15.5","1.4","2.7","2","3.4","1","2.66","2.65","3.9","5.6","3","5","59","35.8","3.42","10.8","1.2","9","0","0"
"24","Chicago Bears","17","2025","Chicago","Bears","171","148","96","64.9","1142","67.2","7.72","5","10","47","71.4","14","8.2","58","4.53","3.3","9.2","1308","18.2","27","46.1","75.4","69.6","57.4","75.0","21.6","2.7","10.1","5","7.4","51","2.69","2.86","4.2","5.8","6","4","56","32.7","1.12","9.5","4.1","3","1","0"
"25","Detroit Lions","17","2025","Detroit","Lions","175","149","97","65.1","1102","64.8","7.40","6","6","51","83.8","20","11.4","114","4.96","5.8","10.2","1391","13.4","20","39.9","76.5","65.1","58.4","75.2","16.1","4.7","7.4","8","4.7","83","2.96","2.89","3.8","5.8","2","4","60","34.3","-0.81","10.7","5.1","9","3","0"
"26","Philadelphia Eagles","17","2025","Philadelphia","Eagles","183","160","98","61.3","1077","63.4","6.73","2","4","47","74.9","12","6.6","73","5.02","2.4","7.4","1061","8.1","13","47.7","77.0","59.4","52.5","72.5","12.5","3.8","0.6","1","5.6","55","2.67","2.54","3.7","4.8","2","6","70","38.3","6.59","6.3","2.2","7","9","0"
"27","Seattle Seahawks","17","2025","Seattle","Seahawks","208","178","105","59.0","1023","60.2","5.75","3","5","49","69.1","16","7.7","128","3.76","-3.0","6.8","1155","11.8","21","54.0","71.5","62.4","57.3","74.2","16.9","5.1","2.8","7","7.3","88","2.43","2.30","3.3","4.4","5","13","92","44.2","16.86","12.9","3.8","9","1","0"
"28","Kansas City Chiefs","17","2025","Kansas City","Chiefs","150","133","94","70.7","1001","58.9","7.53","5","0","51","104.9","7","4.7","36","7.61","5.3","7.2","896","8.3","11","49.6","80.6","65.4","58.6","78.2","12.8","4.5","2.3","4","4.5","28","2.66","2.73","3.8","4.9","3","9","50","33.3","1.40","7.5","5.3","9","0","0"
"29","Denver Broncos","17","2025","Denver","Broncos","176","146","91","62.3","939","55.2","6.43","7","2","45","91.1","17","9.7","101","5.45","2.2","8.6","1129","11.6","17","40.6","75.4","62.3","54.1","71.2","17.1","5.5","2.7","7","4.8","56","2.82","2.40","3.8","4.9","3","16","94","53.4","21.32","8.2","5.7","10","4","0"
"30","Cleveland Browns","17","2025","Cleveland","Browns","162","140","89","63.6","883","51.9","6.31","4","6","46","73.0","13","8.0","98","3.89","1.4","7.7","988","7.9","11","46.8","75.6","65.7","50.0","71.4","18.6","3.6","3.6","5","5.0","95","2.72","2.55","3.8","5.3","7","7","68","42.0","10.07","9.3","1.2","8","4","0"
"31","Buffalo Bills","17","2025","Buffalo","Bills","141","125","79","63.2","874","51.4","6.99","6","5","45","83.2","11","7.8","55","5.25","-3.2","7.7","907","11.2","14","53.7","70.7","68.8","60.0","72.0","20.0","0.8","4.8","5","2.4","48","2.50","2.44","3.8","5.6","3","9","50","35.5","5.99","4.0","2.1","4","4","0"
"32","Minnesota Vikings","17","2025","Minnesota","Vikings","120","103","68","66.0","740","43.5","7.18","1","1","35","86.2","10","8.3","80","5.62","0.7","6.3","591","7.8","8","55.0","77.4","63.1","48.5","72.8","16.5","1.9","2.9","2","3.9","27","2.53","2.26","3.9","6.0","4","8","57","47.5","18.61","9.7","3.3","6","3","0"
