"Team Details","","","","","","Passing","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","Arizona Cardinals","7","2025","Arizona","Cardinals","5","5","2","40.0","22","3.1","4.40","0","0","1","53.8","0","","0","4.40","-2.9","13.8","69","20.0","1","31.8","60.0","100.0","20.0","80.0","20.0","40.0","","1","20.0","15","2.26","2.60","","","0","0","2","40.0","10.94","","","0","0","0"
"20","Philadelphia Eagles","11","2025","Philadelphia","Eagles","8","6","2","33.3","21","1.9","3.50","0","0","2","44.4","0","","0","3.50","8.2","8.2","41","","0","66.7","80.0","66.7","16.7","66.7","16.7","","","0","33.3","15","3.45","3.10","","5.4","0","1","4","50.0","12.81","","","1","0","0"
"21","San Francisco 49ers","3","2025","San Francisco","49ers","1","1","1","100.0","19","6.3","19.00","0","0","1","118.8","0","","0","19.00","12.0","1.0","1","","0","94.7","100.0","","100.0","100.0","","","","0","","0","2.60","","","","0","0","0","","-34.93","100.0","","0","0","0"
"22","Washington Commanders","6","2025","Washington","Commanders","7","7","3","42.9","18","3.0","2.57","0","0","2","50.3","0","","0","2.57","-14.4","8.0","40","","0","11.1","60.0","28.6","57.1","57.1","14.3","","","0","","0","4.14","2.80","","","0","2","4","57.1","-4.40","","","2","0","0"
"23","New Orleans Saints","10","2025","New Orleans","Saints","4","2","1","50.0","14","1.4","7.00","0","0","1","72.9","1","25.0","8","2.00","-5.1","18.0","36","50.0","1","50.0","50.0","100.0","50.0","50.0","50.0","","","0","","0","3.45","2.90","3.5","4.3","0","0","2","50.0","25.20","","","0","0","0"
"24","Jacksonville Jaguars","5","2025","Jacksonville","Jaguars","6","5","1","20.0","14","2.8","2.80","0","0","1","39.6","1","16.7","5","1.50","-11.7","22.4","112","40.0","2","35.7","40.0","60.0","","40.0","40.0","","","0","20.0","4","3.36","2.00","4.4","","1","1","1","16.7","-23.37","","","0","0","0"
"25","Los Angeles Rams","7","2025","Los Angeles","Rams","4","2","2","100.0","11","1.6","5.50","0","0","0","89.6","1","25.0","3","2.67","12.0","1.0","2","","0","81.8","100.0","100.0","100.0","100.0","","","","0","","0","1.65","3.50","3.7","5.8","1","0","2","50.0","40.73","","","0","0","0"
"26","Atlanta Falcons","9","2025","Atlanta","Falcons","7","5","2","40.0","10","1.1","2.00","0","0","0","47.9","2","28.6","8","0.29","-6.5","23.3","93","40.0","2","30.0","50.0","60.0","40.0","40.0","40.0","","","0","","0","2.82","2.15","2.9","","1","0","2","28.6","0.91","20.0","","1","0","0"
"27","Seattle Seahawks","6","2025","Seattle","Seahawks","4","4","1","25.0","5","0.8","1.25","0","1","0","","0","","0","-10.00","-30.6","12.7","38","25.0","1","-20.0","33.3","50.0","25.0","50.0","25.0","","25.0","0","","0","3.95","2.75","","","0","0","2","50.0","-8.22","","","1","0","0"
"28","Houston Texans","4","2025","Houston","Texans","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","-68.4","9.0","9","","0","","","100.0","","","100.0","","","0","","0","2.70","2.50","","","0","0","1","100.0","63.35","","","0","0","0"
"29","Green Bay Packers","5","2025","Green Bay","Packers","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","-30.5","35.0","35","100.0","1","","","100.0","","100.0","","","","1","","0","3.20","3.00","","","0","0","1","100.0","54.72","","","0","0","0"
