"Team Details","","","","","","Passing","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","Miami Dolphins","14","2025","Miami","Dolphins","22","19","9","47.4","75","5.4","3.95","4","1","7","75.7","1","4.5","3","5.35","-3.9","13.5","243","36.8","7","37.3","61.1","78.9","42.1","63.2","31.6","21.1","10.5","5","10.5","56","2.75","2.22","2.7","5.7","1","1","12","54.5","22.10","","4.5","1","0","0"
"19","Tennessee Titans","11","2025","Tennessee","Titans","17","16","8","50.0","74","6.7","4.63","5","0","7","102.6","0","","0","10.88","-15.7","8.6","137","18.8","3","20.3","56.3","100.0","62.5","68.8","31.3","18.8","","6","6.3","4","2.04","1.99","","4.1","0","0","8","47.1","23.21","","5.9","0","0","0"
"20","Dallas Cowboys","15","2025","Dallas","Cowboys","20","19","12","63.2","65","4.3","3.42","8","0","10","108.6","1","5.0","1","11.20","12.4","6.8","109","","0","26.2","87.5","57.9","47.4","73.7","10.5","","","10","10.5","14","2.66","2.28","5.9","","1","1","13","65.0","30.87","","15.0","2","1","0"
"21","Seattle Seahawks","15","2025","Seattle","Seahawks","19","19","11","57.9","64","4.3","3.37","3","0","7","103.9","0","","0","6.53","-5.6","7.8","149","15.8","3","25.0","68.4","100.0","52.6","73.7","21.1","5.3","5.3","3","10.5","21","1.84","1.97","","","0","0","6","31.6","9.81","","21.1","0","0","0"
"22","Philadelphia Eagles","15","2025","Philadelphia","Eagles","24","22","8","36.4","57","3.8","2.59","2","1","6","56.3","0","","0","2.36","-20.8","7.8","149","","0","43.9","52.6","72.7","45.5","63.6","13.6","","","8","9.1","18","2.34","2.49","","4.6","0","0","9","37.5","9.65","","12.5","3","0","0"
"23","Green Bay Packers","13","2025","Green Bay","Packers","13","11","6","54.5","55","4.2","5.00","5","1","6","70.1","0","","0","10.00","-9.7","6.3","57","9.1","1","61.8","66.7","72.7","45.5","54.5","27.3","","18.2","4","","0","2.30","2.31","","5.6","0","1","10","76.9","51.75","","","2","0","0"
"24","Detroit Lions","13","2025","Detroit","Lions","18","16","11","68.8","55","4.2","3.44","4","0","8","113.3","2","11.1","25","6.11","-4.4","6.3","94","6.3","1","43.6","73.3","75.0","68.8","81.3","12.5","","","5","","0","2.24","2.07","2.9","","0","1","9","50.0","24.41","","5.6","1","0","0"
"25","New Orleans Saints","13","2025","New Orleans","Saints","14","13","7","53.8","54","4.2","4.15","3","1","6","71.8","1","7.1","15","3.86","-28.7","2.9","38","","0","87.0","53.8","92.3","38.5","61.5","38.5","","15.4","5","","0","2.01","2.43","3.2","","0","1","4","28.6","5.62","7.7","14.3","0","0","0"
"26","Carolina Panthers","13","2025","Carolina","Panthers","13","13","9","69.2","52","4.0","4.00","3","0","6","116.0","0","","0","8.62","5.9","5.9","65","","0","30.8","81.8","76.9","61.5","69.2","15.4","15.4","","3","","0","2.06","2.07","","","0","0","6","46.2","20.51","7.7","15.4","2","0","0"
"27","Houston Texans","13","2025","Houston","Texans","7","7","3","42.9","51","3.9","7.29","1","0","2","107.7","0","","0","10.14","1.7","4.5","27","","0","72.5","83.3","57.1","71.4","85.7","","","","1","28.6","11","2.43","1.90","","","0","0","5","71.4","39.46","14.3","","0","1","0"
"28","Los Angeles Chargers","14","2025","Los Angeles","Chargers","25","21","10","47.6","45","3.2","2.14","4","1","7","74.0","3","12.0","25","2.29","-25.3","6.0","126","9.5","2","57.8","52.4","90.5","52.4","57.1","42.9","4.8","4.8","3","4.8","-2","1.75","1.69","2.2","0.4","0","0","12","48.0","30.94","","4.0","0","0","0"
"29","Buffalo Bills","16","2025","Buffalo","Bills","15","13","8","61.5","44","2.8","3.38","4","0","5","107.1","0","","0","9.54","-1.8","5.9","71","","0","36.4","75.0","76.9","46.2","76.9","15.4","","7.7","6","7.7","1","2.02","1.91","","2.1","0","2","8","53.3","31.69","","13.3","1","0","0"
"30","Los Angeles Rams","13","2025","Los Angeles","Rams","13","12","6","50.0","30","2.3","2.50","6","1","6","61.1","1","7.7","8","7.46","-26.2","6.3","76","","0","40.0","50.0","91.7","41.7","50.0","33.3","","8.3","7","","0","1.97","1.62","1.7","","0","0","5","38.5","16.30","","","0","0","0"
"31","San Francisco 49ers","13","2025","San Francisco","49ers","13","13","10","76.9","23","1.8","1.77","5","0","6","118.3","0","","0","9.46","-4.2","3.7","48","","0","69.6","76.9","84.6","46.2","76.9","23.1","","","6","","0","2.31","2.40","","","0","1","1","7.7","-22.20","","15.4","0","0","0"
"32","Atlanta Falcons","14","2025","Atlanta","Falcons","3","1","0","","0","0.0","","0","0","0","39.6","1","33.3","5","-2.50","","","0","","0","","","","","","","","","0","","0","3.20","2.40","2.5","3.2","1","0","1","33.3","18.24","","33.3","1","0","0"
