"Team Details","","","","","","Passing","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","AVOID SK","QBP","PRESS %","PrROE","CHK %","RPO %","TA","BAT","SPK"
"1","Philadelphia Eagles","17","2025","Philadelphia","Eagles","134","119","71","59.7","878","51.6","7.38","2","2","37","81.1","7","5.2","45","6.21","1.2","10.3","1153","19.3","23","42.9","72.6","64.7","57.1","76.5","16.8","7.6","2.5","2","9.2","168","2.77","2.70","5.6","5.3","2","5","54","40.3","6.65","13.4","1.5","2","3","0"
"2","Seattle Seahawks","16","2025","Seattle","Seahawks","122","104","76","73.1","858","53.6","8.25","0","2","31","89.3","10","8.2","58","6.23","4.1","5.4","523","5.8","6","59.9","82.7","54.8","66.3","80.8","13.5","2.9","4.8","0","4.8","33","2.55","2.50","3.6","3.5","4","4","42","34.4","5.41","24.0","2.5","2","3","0"
"3","Jacksonville Jaguars","17","2025","Jacksonville","Jaguars","146","130","92","70.8","846","49.8","6.51","0","4","42","75.4","8","5.5","52","4.45","4.9","7.0","871","8.5","11","40.8","80.6","67.7","57.7","80.8","13.8","2.3","0.8","1","6.2","39","2.57","2.61","4.2","6.1","1","10","58","39.7","9.07","13.1","1.4","3","2","0"
"4","Cincinnati Bengals","17","2025","Cincinnati","Bengals","104","93","65","69.9","729","42.9","7.84","4","2","29","98.4","5","4.8","24","7.09","2.6","6.7","586","8.6","8","60.1","79.3","52.7","59.1","78.5","14.0","3.2","","2","4.3","13","2.86","2.78","4.4","5.7","2","8","41","39.4","4.14","14.0","3.8","4","1","0"
"5","Carolina Panthers","17","2025","Carolina","Panthers","86","77","54","70.1","656","38.6","8.52","1","3","27","84.1","0","","0","7.03","5.6","10.3","751","14.3","11","45.6","78.1","54.5","68.8","76.6","18.2","9.1","3.9","1","3.9","7","2.86","2.85","","5.4","0","6","34","39.5","4.19","18.2","2.3","2","2","0"
"6","San Francisco 49ers","16","2025","San Francisco","49ers","74","66","48","72.7","561","35.1","8.50","1","1","26","96.8","4","5.4","27","7.27","12.0","9.2","578","13.6","9","40.8","83.9","57.6","54.5","81.8","9.1","4.5","4.5","1","6.1","74","2.74","2.85","3.4","5.5","2","7","27","36.5","3.23","16.7","5.4","2","1","0"
"7","Green Bay Packers","17","2025","Green Bay","Packers","95","83","56","67.5","523","30.8","6.30","0","0","26","84.6","5","5.3","36","5.53","1.4","5.8","466","4.8","4","48.6","78.8","60.2","61.4","83.1","13.3","2.4","2.4","1","8.4","27","2.64","2.56","3.1","5.2","0","0","35","36.8","5.71","10.8","1.1","2","1","0"
"8","Buffalo Bills","17","2025","Buffalo","Bills","65","57","37","64.9","467","27.5","8.19","1","2","19","81.5","4","6.2","21","6.16","6.9","7.8","399","10.5","6","40.0","79.6","59.6","52.6","71.9","14.0","5.3","3.5","1","3.5","11","2.73","2.73","4.1","5.4","2","3","22","33.8","1.28","7.0","","4","3","0"
"9","Tennessee Titans","17","2025","Tennessee","Titans","71","57","41","71.9","447","26.3","7.84","4","0","19","118.1","8","11.3","65","7.11","5.7","8.8","491","15.8","9","43.4","77.8","63.2","63.2","80.7","12.3","3.5","","3","1.8","10","2.71","2.66","3.0","5.2","1","3","27","38.0","8.43","8.8","1.4","1","0","0"
"10","Indianapolis Colts","16","2025","Indianapolis","Colts","52","46","32","69.6","407","25.4","8.85","0","0","19","96.9","2","3.8","16","8.15","11.7","8.3","374","10.9","5","44.2","83.7","65.2","65.2","80.4","10.9","2.2","2.2","1","8.7","34","2.42","2.37","2.9","4.9","1","2","18","34.6","6.44","10.9","1.9","1","0","0"
"11","Denver Broncos","17","2025","Denver","Broncos","75","64","38","59.4","396","23.3","6.19","0","0","12","77.3","7","9.3","29","5.17","-3.3","10.8","645","15.6","10","36.4","67.8","68.8","59.4","71.9","20.3","4.7","","0","3.1","-1","2.80","2.64","3.9","5.1","1","3","29","38.7","5.92","4.7","1.3","4","0","0"
"12","Houston Texans","17","2025","Houston","Texans","79","67","36","53.7","386","22.7","5.76","0","2","18","58.4","7","8.9","48","3.35","-2.4","8.1","504","9.0","6","46.9","70.0","61.2","56.7","71.6","17.9","4.5","3.0","0","9.0","67","2.69","2.62","3.0","5.0","1","3","37","46.8","15.88","10.4","1.3","3","2","0"
"13","Pittsburgh Steelers","16","2025","Pittsburgh","Steelers","40","37","29","78.4","373","23.3","10.08","3","0","13","135.7","0","","0","11.70","5.6","7.2","265","8.1","3","50.7","81.1","75.7","73.0","83.8","10.8","","","1","2.7","13","2.38","2.51","","3.9","0","0","8","20.0","-8.73","5.4","","0","0","0"
"14","Baltimore Ravens","16","2025","Baltimore","Ravens","74","61","42","68.9","366","22.9","6.00","1","3","13","69.4","5","6.8","22","3.47","10.0","7.6","409","11.5","7","49.5","84.9","57.4","63.9","75.4","11.5","3.3","6.6","1","4.9","48","2.85","2.82","4.8","5.0","2","4","32","43.2","10.84","11.5","2.7","5","2","0"
"15","Minnesota Vikings","17","2025","Minnesota","Vikings","61","51","37","72.5","360","21.2","7.06","0","1","16","83.8","7","11.5","40","4.74","2.3","3.9","188","3.9","2","57.2","83.3","52.9","60.8","82.4","9.8","2.0","3.9","0","5.9","-13","2.58","2.44","4.8","5.2","1","8","27","44.3","15.37","17.6","4.9","2","1","0"
"16","Las Vegas Raiders","16","2025","Las Vegas","Raiders","43","40","32","80.0","352","22.0","8.80","1","1","12","101.3","2","4.7","17","7.38","13.3","4.1","147","2.5","1","64.2","94.3","55.0","70.0","82.5","5.0","","","0","2.5","5","2.93","2.69","5.0","3.9","1","1","15","34.9","-2.94","12.5","7.0","4","0","0"
"17","Dallas Cowboys","17","2025","Dallas","Cowboys","36","36","27","75.0","302","17.8","8.39","0","1","13","88.0","0","","0","7.14","3.1","8.1","286","13.9","5","51.7","77.1","50.0","69.4","80.6","16.7","2.8","2.8","0","","0","2.96","2.71","","","0","0","14","38.9","-2.17","19.4","","0","0","0"
"18","Washington Commanders","16","2025","Washington","Commanders","60","49","27","55.1","287","17.9","5.86","0","1","13","63.9","8","13.3","52","3.33","3.0","8.4","363","10.2","5","54.4","76.7","61.2","59.2","69.4","18.4","6.1","","1","12.2","30","2.79","2.53","3.6","5.4","2","4","28","46.7","15.47","10.2","3.3","4","2","0"
"19","Los Angeles Chargers","17","2025","Los Angeles","Chargers","48","40","24","60.0","287","16.9","7.18","1","2","10","69.5","6","12.5","23","4.22","5.5","10.2","379","15.0","6","43.9","75.7","57.5","60.0","75.0","17.5","2.5","5.0","2","10.0","26","2.87","2.71","3.4","4.6","2","1","27","56.3","23.26","12.5","2.1","2","1","0"
"20","Los Angeles Rams","17","2025","Los Angeles","Rams","55","48","27","56.3","286","16.8","5.96","1","3","12","54.7","4","7.3","19","2.92","-3.2","12.6","580","29.2","14","38.5","63.0","60.4","47.9","66.7","27.1","6.3","10.4","2","4.2","5","2.82","2.50","3.7","5.7","1","4","27","49.1","15.28","18.8","1.8","1","1","0"
"21","New Orleans Saints","16","2025","New Orleans","Saints","54","41","25","61.0","273","17.1","6.66","1","3","11","58.3","4","7.4","26","2.93","-3.7","8.4","328","12.2","5","57.5","69.2","58.5","56.1","68.3","22.0","4.9","4.9","1","4.9","4","2.88","2.83","4.3","5.0","2","1","23","42.6","12.40","14.6","1.9","0","2","0"
"22","Atlanta Falcons","17","2025","Atlanta","Falcons","46","34","26","76.5","262","15.4","7.71","1","0","9","107.7","6","13.0","48","5.85","6.8","6.3","214","2.9","1","37.4","82.4","64.7","64.7","88.2","11.8","5.9","","0","5.9","-2","2.64","2.74","3.6","5.3","3","0","18","39.1","12.83","11.8","","0","0","0"
"23","Kansas City Chiefs","17","2025","Kansas City","Chiefs","41","34","24","70.6","236","13.9","6.94","0","0","7","89.8","3","7.3","15","5.97","2.2","5.9","189","14.7","5","63.1","80.6","70.6","67.6","79.4","11.8","5.9","","0","2.9","3","2.43","2.68","2.9","4.8","2","2","10","24.4","-2.14","2.9","7.3","2","0","0"
"24","Cleveland Browns","15","2025","Cleveland","Browns","27","25","22","88.0","232","15.5","9.28","2","0","6","132.0","2","7.4","13","9.59","13.7","5.7","136","12.0","3","55.2","91.7","52.0","76.0","88.0","8.0","12.0","","1","","0","2.32","2.10","2.7","","0","0","4","14.8","-12.99","32.0","11.1","0","1","0"
"25","Arizona Cardinals","17","2025","Arizona","Cardinals","40","36","26","72.2","230","13.5","6.39","0","0","10","88.9","2","5.0","10","5.79","5.0","5.7","200","2.8","1","43.5","82.9","58.3","66.7","80.6","16.7","2.8","2.8","0","8.3","-4","2.45","2.41","3.3","4.3","0","0","11","27.5","-1.61","8.3","","0","1","0"
