"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"23","Chase Brown","CIN","RB","17","2025","55","258","15.2","4.69","0","0","10","5.5","64","24.8","0.0","","49.1","49.1","12","0.22","131","2.38","50.8","2.31","55","100.0","258","0","4.69","49.1","0","","0","0","","","1.5","25.8","29.4","1.7"
"24","Jordan Mason","MIN","RB","16","2025","55","255","15.9","4.64","1","0","12","7.3","83","32.5","0.0","1.8","49.1","49.1","12","0.22","112","2.04","43.9","2.60","55","100.0","255","1","4.64","49.1","0","","0","0","","","2.0","31.5","28.0","1.7"
"25","Woody Marks","HST","RB","16","2025","54","154","9.6","2.85","1","1","8","3.7","34","22.1","50.0","1.9","33.3","59.3","2","0.04","102","1.89","66.2","0.96","54","100.0","154","1","2.85","33.3","0","","0","0","","","1.3","21.4","30.7","1.9"
"26","Rico Dowdle","CAR","RB","17","2025","52","231","13.6","4.44","1","0","8","5.8","76","32.9","100.0","1.9","40.4","50.0","11","0.21","139","2.67","60.2","1.77","52","100.0","231","1","4.44","40.4","0","","0","0","","","1.7","29.1","28.8","1.7"
"27","Quinshon Judkins","CLV","RB","14","2025","51","192","13.7","3.76","0","0","9","3.9","48","25.0","0.0","","41.2","56.9","6","0.12","104","2.04","54.2","1.73","51","100.0","192","0","3.76","41.2","0","","0","0","","","1.4","19.2","26.2","1.9"
"28","Zach Charbonnet","SEA","RB","16","2025","50","223","13.9","4.46","3","0","10","8.0","91","40.8","100.0","6.0","48.0","46.0","13","0.26","157","3.14","70.4","1.32","50","100.0","223","3","4.46","48.0","0","","0","0","","","2.5","40.3","30.6","1.9"
"29","Blake Corum","LA","RB","17","2025","45","288","16.9","6.40","1","0","15","13.3","138","47.9","40.0","2.2","55.6","44.4","8","0.18","118","2.62","41.0","3.78","45","100.0","288","1","6.40","55.6","0","","0","0","","","2.0","34.8","26.6","1.6"
"30","Aaron Jones","MIN","RB","12","2025","44","159","13.3","3.61","1","0","5","4.5","31","19.5","100.0","2.3","47.7","52.3","6","0.14","74","1.68","46.5","1.93","44","100.0","159","1","3.61","47.7","0","","0","0","","","1.8","21.9","25.2","2.1"
"31","Brian Robinson","SF","RB","17","2025","42","199","11.7","4.74","0","0","8","4.8","31","15.6","0.0","","57.1","35.7","4","0.10","114","2.71","57.3","2.02","42","100.0","199","0","4.74","57.1","0","","0","0","","","1.2","19.9","22.4","1.3"
"32","Isiah Pacheco","KC","RB","13","2025","42","160","12.3","3.81","0","0","6","","0","","0.0","","47.6","47.6","4","0.10","73","1.74","45.6","2.07","42","100.0","160","0","3.81","47.6","0","","0","0","","","1.2","16.0","23.3","1.8"
"33","Emanuel Wilson","GB","RB","17","2025","41","201","11.8","4.90","0","0","11","","0","","0.0","","68.3","31.7","4","0.10","100","2.44","49.8","2.46","41","100.0","201","0","4.90","68.3","0","","0","0","","","1.2","20.1","21.7","1.3"
"34","Kareem Hunt","KC","RB","17","2025","40","173","10.2","4.33","0","1","5","2.5","33","19.1","0.0","","52.5","45.0","5","0.13","99","2.48","57.2","1.85","40","100.0","173","0","4.33","52.5","0","","0","0","","","1.0","16.3","20.1","1.2"
"35","Kenneth Gainwell","PIT","RB","17","2025","38","118","6.9","3.11","4","1","7","2.6","18","15.3","66.7","10.5","50.0","50.0","5","0.13","73","1.92","61.9","1.18","38","100.0","118","4","3.11","50.0","0","","0","0","","","2.1","35.8","30.8","1.8"
"36","Rachaad White","TB","RB","17","2025","37","149","8.8","4.03","0","0","7","2.7","16","10.7","0.0","","48.6","48.6","3","0.08","68","1.84","45.6","2.19","37","100.0","149","0","4.03","48.6","0","","0","0","","","0.9","14.9","18.1","1.1"
"37","J.K. Dobbins","DEN","RB","10","2025","37","252","25.2","6.81","0","0","7","13.5","134","53.2","0.0","","54.1","38.9","9","0.24","95","2.57","37.7","4.24","37","100.0","252","0","6.81","54.1","0","","0","0","","","2.5","25.2","18.4","1.8"
"38","TreVeyon Henderson","NE","RB","17","2025","36","258","15.2","7.17","2","0","7","5.6","134","51.9","50.0","5.6","55.6","38.9","5","0.14","67","1.86","26.0","5.31","36","100.0","258","2","7.17","55.6","0","","0","0","","","2.2","37.8","20.4","1.2"
"39","Chuba Hubbard","CAR","RB","15","2025","35","125","8.3","3.57","0","0","7","","0","","0.0","","42.9","51.4","3","0.09","56","1.60","44.8","1.97","35","100.0","125","0","3.57","42.9","0","","0","0","","","0.8","12.5","19.0","1.3"
"40","Bucky Irving","TB","RB","10","2025","34","169","16.9","4.97","0","0","7","5.9","48","28.4","0.0","","55.9","41.2","2","0.06","63","1.85","37.3","3.12","34","100.0","169","0","4.97","55.9","0","","0","0","","","1.7","16.9","16.7","1.7"
"41","Jacory Croskey-Merritt","WAS","RB","17","2025","34","258","15.2","7.59","2","0","12","11.8","131","50.8","50.0","5.9","55.9","38.2","8","0.24","101","2.97","39.1","4.62","34","100.0","258","2","7.59","55.9","0","","0","0","","","2.2","37.8","20.5","1.2"
"42","Alvin Kamara","NO","RB","11","2025","33","142","12.9","4.30","0","0","4","3.0","15","10.6","0.0","","36.4","54.5","6","0.18","60","1.82","42.3","2.48","33","100.0","142","0","4.30","36.4","0","","0","0","","","1.3","14.2","15.6","1.4"
"43","Kimani Vidal","LAC","RB","13","2025","31","89","6.8","2.87","1","0","5","3.2","38","42.7","75.0","3.2","35.5","67.7","2","0.06","42","1.35","47.2","1.52","31","100.0","89","1","2.87","35.5","0","","0","0","","","1.1","14.9","25.4","2.0"
"44","Bhayshul Tuten","JAX","RB","15","2025","31","118","7.9","3.81","1","0","7","","0","","100.0","3.2","58.1","38.7","3","0.10","63","2.03","53.4","1.77","31","100.0","118","1","3.81","58.1","0","","0","0","","","1.2","17.8","17.3","1.2"
"45","Devin Singletary","NYG","RB","17","2025","30","78","4.6","2.60","1","0","5","","0","","66.7","3.3","46.7","46.7","1","0.03","55","1.83","70.5","0.77","30","100.0","78","1","2.60","46.7","0","","0","0","","","0.8","13.8","25.3","1.5"
"46","Cam Skattebo","NYG","RB","8","2025","29","123","15.4","4.24","0","0","6","6.9","36","29.3","50.0","","44.8","51.7","11","0.38","105","3.62","85.4","0.62","29","100.0","123","0","4.24","44.8","0","","0","0","","","1.5","12.3","17.0","2.1"
"47","RJ Harvey","DEN","RB","17","2025","27","101","5.9","3.74","0","0","5","3.7","15","14.9","0.0","","48.1","37.0","6","0.22","41","1.52","40.6","2.22","27","100.0","101","0","3.74","48.1","0","","0","0","","","0.6","10.1","14.8","0.9"
"48","Omarion Hampton","LAC","RB","9","2025","27","105","11.7","3.89","0","0","5","7.4","41","39.0","0.0","","44.4","48.1","7","0.26","63","2.33","60.0","1.56","27","100.0","105","0","3.89","44.4","0","","0","0","","","1.2","10.5","14.7","1.6"
"49","Dylan Sampson","CLV","RB","15","2025","26","108","7.2","4.15","0","0","6","7.7","45","41.7","0.0","","42.3","57.7","3","0.12","69","2.65","63.9","1.50","26","100.0","108","0","4.15","42.3","0","","0","0","","","0.7","10.8","14.6","1.0"
"50","Sean Tucker","TB","RB","17","2025","25","58","3.4","2.32","0","0","2","","0","","0.0","","24.0","64.0","1","0.04","45","1.80","77.6","0.52","25","100.0","58","0","2.32","24.0","0","","0","0","","","0.3","5.8","12.0","0.7"
"51","Ty Johnson","BUF","RB","17","2025","23","78","4.6","3.39","1","0","3","","0","","50.0","4.3","52.2","47.8","1","0.04","51","2.22","65.4","1.17","23","100.0","78","1","3.39","52.2","0","","0","0","","","0.8","13.8","16.9","1.0"
"52","Chris Rodriguez","WAS","RB","13","2025","23","109","8.4","4.74","0","0","5","","0","","50.0","","60.9","43.5","5","0.22","76","3.30","69.7","1.43","23","100.0","109","0","4.74","60.9","0","","0","0","","","0.8","10.9","12.0","0.9"
"53","Jaylen Wright","MIA","RB","10","2025","23","49","4.9","2.13","0","1","4","","0","","66.7","","43.5","52.2","5","0.22","45","1.96","91.8","0.17","23","100.0","49","0","2.13","43.5","0","","0","0","","","0.5","4.9","15.4","1.5"
"54","Tyjae Spears","TEN","RB","13","2025","23","95","7.3","4.13","1","0","6","8.7","35","36.8","100.0","4.3","47.8","47.8","4","0.17","49","2.13","51.6","2.00","23","100.0","95","1","4.13","47.8","0","","0","0","","","1.2","15.5","12.4","1.0"
"55","Ray Davis","BUF","RB","17","2025","22","150","8.8","6.82","0","0","9","9.1","38","25.3","0.0","","68.2","36.4","4","0.18","68","3.09","45.3","3.73","22","100.0","150","0","6.82","68.2","0","","0","0","","","0.9","15.0","10.6","0.6"
"56","Rhamondre Stevenson","NE","RB","14","2025","21","78","5.6","3.71","0","0","3","9.5","36","46.2","0.0","","42.9","57.1","1","0.05","36","1.71","46.2","2.00","21","100.0","78","0","3.71","42.9","0","","0","0","","","0.6","7.8","10.8","0.8"
"57","Nick Chubb","HST","RB","15","2025","20","43","2.9","2.15","0","0","1","","0","","50.0","","30.0","70.0","0","","44","2.20","102.3","-0.05","20","100.0","43","0","2.15","30.0","0","","0","0","","","0.3","4.3","14.0","0.9"
"58","Keaton Mitchell","BLT","RB","13","2025","18","60","4.6","3.33","0","1","1","5.6","22","36.7","0.0","","27.8","72.2","1","0.06","21","1.17","35.0","2.17","18","100.0","60","0","3.33","27.8","0","","0","0","","","0.5","6.0","8.7","0.7"
"59","Brashard Smith","KC","RB","17","2025","17","47","2.8","2.76","0","1","1","","0","","0.0","","29.4","70.6","1","0.06","22","1.29","46.8","1.47","17","100.0","47","0","2.76","29.4","0","","0","0","","","0.3","4.7","9.2","0.5"
"60","Jaleel McLaughlin","DEN","RB","8","2025","17","61","7.6","3.59","0","0","2","","0","","0.0","","41.2","35.3","4","0.24","37","2.18","60.7","1.41","17","100.0","61","0","3.59","41.2","0","","0","0","","","0.8","6.1","9.5","1.2"
"61","Devin Neal","NO","RB","9","2025","16","64","7.1","4.00","0","0","4","6.3","21","32.8","0.0","","50.0","50.0","3","0.19","31","1.94","48.4","2.06","16","100.0","64","0","4.00","50.0","0","","0","0","","","0.7","6.4","7.9","0.9"
"62","Chris Brooks","GB","RB","17","2025","16","74","4.4","4.63","0","0","2","","0","","0.0","","56.3","31.3","0","","30","1.88","40.5","2.75","16","100.0","74","0","4.63","56.3","0","","0","0","","","0.4","7.4","7.3","0.4"
"63","Ollie Gordon","MIA","RB","17","2025","16","59","3.5","3.69","0","0","2","","0","","0.0","","43.8","50.0","2","0.13","30","1.88","50.8","1.81","16","100.0","59","0","3.69","43.8","0","","0","0","","","0.3","5.9","8.4","0.5"
"64","Malik Davis","DAL","RB","10","2025","14","59","5.9","4.21","0","0","3","7.1","21","35.6","50.0","","35.7","64.3","0","","16","1.14","27.1","3.07","14","100.0","59","0","4.21","35.7","0","","0","0","","","0.6","5.9","8.0","0.8"
"65","Kendre Miller","NO","RB","7","2025","14","55","7.9","3.93","0","0","1","","0","","0.0","","42.9","57.1","5","0.36","32","2.29","58.2","1.64","14","100.0","55","0","3.93","42.9","0","","0","0","","","0.8","5.5","7.1","1.0"
"66","Kaleb Johnson","PIT","RB","10","2025","14","35","3.5","2.50","0","0","0","","0","","0.0","","28.6","64.3","2","0.14","28","2.00","80.0","0.50","14","100.0","35","0","2.50","28.6","0","","0","0","","","0.4","3.5","6.9","0.7"
"67","Jaydon Blue","DAL","RB","5","2025","13","22","4.4","1.69","0","0","1","","0","","0.0","","15.4","84.6","2","0.15","28","2.15","127.3","-0.46","13","100.0","22","0","1.69","15.4","0","","0","0","","","0.4","2.2","7.1","1.4"
"68","Audric Estime","NO","RB","6","2025","13","70","11.7","5.38","1","0","4","7.7","32","45.7","0.0","7.7","46.2","53.8","5","0.38","60","4.62","85.7","0.77","13","100.0","70","1","5.38","46.2","0","","0","0","","","2.2","13.0","6.4","1.1"
"69","Bam Knight","ARZ","RB","12","2025","11","31","2.6","2.82","0","0","1","","0","","100.0","","36.4","72.7","1","0.09","16","1.45","51.6","1.36","11","100.0","31","0","2.82","36.4","0","","0","0","","","0.3","3.1","9.5","0.8"
"70","Isaiah Davis","NYJ","RB","16","2025","11","94","5.9","8.55","1","0","2","18.2","74","78.7","0.0","9.1","45.5","54.5","1","0.09","63","5.73","67.0","2.82","11","100.0","94","1","8.55","45.5","0","","0","0","","","1.0","15.4","4.6","0.3"
"71","Jawhar Jordan","HST","RB","4","2025","11","69","17.3","6.27","0","0","1","9.1","50","72.5","0.0","","18.2","81.8","4","0.36","58","5.27","84.1","1.00","11","100.0","69","0","6.27","18.2","0","","0","0","","","1.7","6.9","5.3","1.3"
"72","Michael Carter","ARZ","RB","13","2025","11","22","1.7","2.00","0","0","0","","0","","0.0","","27.3","63.6","1","0.09","11","1.00","50.0","1.00","11","100.0","22","0","2.00","27.3","0","","0","0","","","0.2","2.2","6.0","0.5"
"73","Ameer Abdullah","IND","RB","13","2025","9","35","2.7","3.89","0","0","1","","0","","0.0","","33.3","44.4","0","","25","2.78","71.4","1.11","9","100.0","35","0","3.89","33.3","0","","0","0","","","0.3","3.5","4.8","0.4"
"74","Zavier Scott","MIN","RB","11","2025","9","13","1.2","1.44","0","1","1","","0","","0.0","","22.2","77.8","0","","12","1.33","92.3","0.11","9","100.0","13","0","1.44","22.2","0","","0","0","","","0.1","1.3","5.6","0.5"
"75","George Holani","SEA","RB","10","2025","8","22","2.2","2.75","1","0","1","","0","","0.0","12.5","37.5","50.0","3","0.38","22","2.75","100.0","0.00","8","100.0","22","1","2.75","37.5","0","","0","0","","","0.8","8.2","3.8","0.4"
"76","Tank Bigsby","PHI, JAX","RB","16","2025","8","61","3.8","7.63","1","0","4","12.5","22","36.1","0.0","12.5","62.5","12.5","1","0.13","25","3.13","41.0","4.50","8","100.0","61","1","7.63","62.5","0","","0","0","","","0.8","12.1","4.1","0.3"
"77","Raheem Mostert","LV","RB","12","2025","7","56","4.7","8.00","0","0","2","14.3","37","66.1","0.0","","42.9","57.1","0","","51","7.29","91.1","0.71","7","100.0","56","0","8.00","42.9","0","","0","0","","","0.5","5.6","3.7","0.3"
