"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"23","Kimani Vidal","LAC","RB","13","2025","13","95","7.3","7.31","2","0","5","7.7","59","62.1","50.0","15.4","53.8","38.5","6","0.46","27","2.08","28.4","5.23","0","","0","0","","","13","100.0","95","2","7.31","53.8","1.7","21.5","9.5","0.7"
"24","Jaylen Wright","MIA","RB","10","2025","13","47","4.7","3.62","0","1","1","","0","","0.0","","46.2","38.5","1","0.08","19","1.46","40.4","2.15","0","","0","0","","","13","100.0","47","0","3.62","46.2","0.4","3.7","6.4","0.6"
"25","Chase Brown","CIN","RB","17","2025","13","45","2.6","3.46","1","0","2","","0","","100.0","7.7","53.8","46.2","3","0.23","34","2.62","75.6","0.85","0","","0","0","","","13","100.0","45","1","3.46","53.8","0.6","10.5","9.2","0.5"
"26","J.K. Dobbins","DEN","RB","10","2025","12","73","7.3","6.08","0","0","5","16.7","31","42.5","0.0","","66.7","33.3","2","0.17","22","1.83","30.1","4.25","0","","0","0","","","12","100.0","73","0","6.08","66.7","0.7","7.3","5.5","0.6"
"27","Bucky Irving","TB","RB","10","2025","12","38","3.8","3.17","0","0","0","","0","","0.0","","33.3","58.3","2","0.17","25","2.08","65.8","1.08","0","","0","0","","","12","100.0","38","0","3.17","33.3","0.4","3.8","9.8","1.0"
"28","Ashton Jeanty","LV","RB","17","2025","12","60","3.5","5.00","0","0","2","","0","","0.0","","50.0","50.0","8","0.67","49","4.08","81.7","0.92","0","","0","0","","","12","100.0","60","0","5.00","50.0","0.4","6.0","6.4","0.4"
"29","Quinshon Judkins","CLV","RB","14","2025","11","1","0.1","0.09","0","0","1","","0","","100.0","","9.1","90.9","0","","18","1.64","1800.0","-1.55","0","","0","0","","","11","100.0","1","0","0.09","9.1","0.0","0.1","10.9","0.8"
"30","Zach Charbonnet","SEA","RB","16","2025","11","57","3.6","5.18","0","0","4","18.2","40","70.2","100.0","","54.5","45.5","2","0.18","59","5.36","103.5","-0.18","0","","0","0","","","11","100.0","57","0","5.18","54.5","0.4","5.7","7.4","0.5"
"31","Breece Hall","NYJ","RB","16","2025","11","29","1.8","2.64","0","0","1","","0","","0.0","","45.5","54.5","1","0.09","14","1.27","48.3","1.36","0","","0","0","","","11","100.0","29","0","2.64","45.5","0.2","2.9","5.2","0.3"
"32","Alvin Kamara","NO","RB","11","2025","10","45","4.1","4.50","0","0","1","","0","","0.0","","50.0","30.0","3","0.30","26","2.60","57.8","1.90","0","","0","0","","","10","100.0","45","0","4.50","50.0","0.4","4.5","4.6","0.4"
"33","Woody Marks","HST","RB","16","2025","9","41","2.6","4.56","1","0","4","22.2","34","82.9","66.7","11.1","44.4","44.4","1","0.11","14","1.56","34.1","3.00","0","","0","0","","","9","100.0","41","1","4.56","44.4","0.6","10.1","9.8","0.6"
"34","Dylan Sampson","CLV","RB","15","2025","8","19","1.3","2.38","0","0","3","","0","","0.0","","37.5","37.5","1","0.13","19","2.38","100.0","0.00","0","","0","0","","","8","100.0","19","0","2.38","37.5","0.1","1.9","4.4","0.3"
"35","Chris Rodriguez","WAS","RB","13","2025","8","25","1.9","3.13","0","0","0","","0","","0.0","","50.0","37.5","1","0.13","19","2.38","76.0","0.75","0","","0","0","","","8","100.0","25","0","3.13","50.0","0.2","2.5","3.4","0.3"
"36","Tyjae Spears","TEN","RB","13","2025","7","51","3.9","7.29","1","0","2","14.3","41","80.4","50.0","14.3","42.9","57.1","0","","9","1.29","17.6","6.00","0","","0","0","","","7","100.0","51","1","7.29","42.9","0.9","11.1","5.0","0.4"
"37","Tyrone Tracy","NYG","RB","15","2025","7","28","1.9","4.00","0","0","1","14.3","23","82.1","0.0","","28.6","71.4","2","0.29","25","3.57","89.3","0.43","0","","0","0","","","7","100.0","28","0","4.00","28.6","0.2","2.8","3.2","0.2"
"38","Keaton Mitchell","BLT","RB","13","2025","7","90","6.9","12.86","0","0","4","28.6","80","88.9","0.0","","57.1","42.9","1","0.14","7","1.00","7.8","11.86","0","","0","0","","","7","100.0","90","0","12.86","57.1","0.7","9.0","4.8","0.4"
"39","Rhamondre Stevenson","NE","RB","14","2025","6","7","0.5","1.17","1","0","2","","0","","100.0","16.7","33.3","66.7","3","0.50","12","2.00","171.4","-0.83","0","","0","0","","","6","100.0","7","1","1.17","33.3","0.5","6.7","4.7","0.3"
"40","Sean Tucker","TB","RB","17","2025","6","19","1.1","3.17","0","0","0","","0","","0.0","","50.0","50.0","0","","8","1.33","42.1","1.83","0","","0","0","","","6","100.0","19","0","3.17","50.0","0.1","1.9","4.9","0.3"
"41","James Cook","BUF","RB","17","2025","6","13","0.8","2.17","0","0","0","","0","","0.0","","16.7","66.7","2","0.33","11","1.83","84.6","0.33","0","","0","0","","","6","100.0","13","0","2.17","16.7","0.1","1.3","2.8","0.2"
"42","Jaret Patterson","LAC","RB","6","2025","6","22","3.7","3.67","1","0","2","","0","","50.0","16.7","66.7","33.3","2","0.33","13","2.17","59.1","1.50","0","","0","0","","","6","100.0","22","1","3.67","66.7","1.4","8.2","4.7","0.8"
"43","Isiah Pacheco","KC","RB","13","2025","6","11","0.8","1.83","0","0","1","","0","","0.0","","33.3","50.0","0","","9","1.50","81.8","0.33","0","","0","0","","","6","100.0","11","0","1.83","33.3","0.1","1.1","2.8","0.2"
"44","Bhayshul Tuten","JAX","RB","15","2025","6","25","1.7","4.17","0","1","2","","0","","0.0","","50.0","50.0","3","0.50","16","2.67","64.0","1.50","0","","0","0","","","6","100.0","25","0","4.17","50.0","0.1","1.5","2.7","0.2"
"45","Brian Robinson","SF","RB","17","2025","5","50","2.9","10.00","0","0","2","20.0","19","38.0","0.0","","100.0","","0","","16","3.20","32.0","6.80","0","","0","0","","","5","100.0","50","0","10.00","100.0","0.3","5.0","2.4","0.1"
"46","Devin Singletary","NYG","RB","17","2025","5","50","2.9","10.00","2","0","4","40.0","51","102.0","100.0","40.0","80.0","20.0","1","0.20","8","1.60","16.0","8.40","0","","0","0","","","5","100.0","50","2","10.00","80.0","1.0","17.0","5.0","0.3"
"47","David Montgomery","DET","RB","17","2025","5","29","1.7","5.80","0","1","1","","0","","0.0","","40.0","40.0","0","","6","1.20","20.7","4.60","0","","0","0","","","5","100.0","29","0","5.80","40.0","0.1","1.9","2.0","0.1"
"48","Chuba Hubbard","CAR","RB","15","2025","5","21","1.4","4.20","0","0","1","","0","","0.0","","60.0","40.0","0","","8","1.60","38.1","2.60","0","","0","0","","","5","100.0","21","0","4.20","60.0","0.1","2.1","3.7","0.2"
"49","Jordan Mason","MIN","RB","16","2025","5","22","1.4","4.40","1","1","2","","0","","100.0","20.0","60.0","20.0","2","0.40","9","1.80","40.9","2.60","0","","0","0","","","5","100.0","22","1","4.40","60.0","0.5","8.2","5.4","0.3"
"50","Tank Bigsby","PHI, JAX","RB","16","2025","5","55","3.4","11.00","1","0","4","20.0","29","52.7","100.0","20.0","80.0","20.0","3","0.60","30","6.00","54.5","5.00","0","","0","0","","","5","100.0","55","1","11.00","80.0","0.7","11.5","5.0","0.3"
"51","Kyle Monangai","CHI","RB","17","2025","5","41","2.4","8.20","0","0","1","20.0","39","95.1","0.0","","60.0","40.0","2","0.40","36","7.20","87.8","1.00","0","","0","0","","","5","100.0","41","0","8.20","60.0","0.2","4.1","2.8","0.2"
"52","Josh Jacobs","GB","RB","15","2025","5","16","1.1","3.20","0","0","0","","0","","0.0","","40.0","60.0","3","0.60","17","3.40","106.3","-0.20","0","","0","0","","","5","100.0","16","0","3.20","40.0","0.1","1.6","2.4","0.2"
"53","Emanuel Wilson","GB","RB","17","2025","5","15","0.9","3.00","0","0","0","","0","","0.0","","40.0","40.0","0","","9","1.80","60.0","1.20","0","","0","0","","","5","100.0","15","0","3.00","40.0","0.1","1.5","2.1","0.1"
"54","Jaleel McLaughlin","DEN","RB","8","2025","5","28","3.5","5.60","0","0","1","","0","","0.0","","80.0","20.0","2","0.40","8","1.60","28.6","4.00","0","","0","0","","","5","100.0","28","0","5.60","80.0","0.4","2.8","3.0","0.4"
"55","Jaydon Blue","DAL","RB","5","2025","4","0","0.0","","0","0","0","","0","","0.0","","25.0","75.0","0","","1","0.25","","-0.25","0","","0","0","","","4","100.0","0","0","","25.0","","0.0","1.9","0.4"
"56","Audric Estime","NO","RB","6","2025","4","32","5.3","8.00","0","0","1","","0","","0.0","","75.0","25.0","2","0.50","7","1.75","21.9","6.25","0","","0","0","","","4","100.0","32","0","8.00","75.0","0.5","3.2","1.8","0.3"
"57","Rachaad White","TB","RB","17","2025","4","15","0.9","3.75","2","0","2","","0","","100.0","50.0","75.0","25.0","0","","5","1.25","33.3","2.50","0","","0","0","","","4","100.0","15","2","3.75","75.0","0.8","13.5","5.5","0.3"
"58","Kareem Hunt","KC","RB","17","2025","4","6","0.4","1.50","0","1","0","","0","","0.0","","25.0","75.0","0","","4","1.00","66.7","0.50","0","","0","0","","","4","100.0","6","0","1.50","25.0","0.0","0.6","2.2","0.1"
"59","Aaron Jones","MIN","RB","12","2025","4","27","2.3","6.75","0","0","2","","0","","0.0","","75.0","25.0","0","","5","1.25","18.5","5.50","0","","0","0","","","4","100.0","27","0","6.75","75.0","0.2","2.7","1.8","0.2"
"60","Trey Benson","ARZ","RB","4","2025","4","68","17.0","17.00","0","0","1","25.0","52","76.5","0.0","","50.0","25.0","2","0.50","27","6.75","39.7","10.25","0","","0","0","","","4","100.0","68","0","17.00","50.0","1.7","6.8","2.0","0.5"
"61","Evan Hull","NO","RB","6","2025","4","12","2.0","3.00","0","0","0","","0","","0.0","","25.0","75.0","0","","6","1.50","50.0","1.50","0","","0","0","","","4","100.0","12","0","3.00","25.0","0.2","1.2","2.1","0.4"
"62","Tyler Goodson","IND","RB","11","2025","3","9","0.8","3.00","0","0","0","","0","","0.0","","33.3","66.7","1","0.33","3","1.00","33.3","2.00","0","","0","0","","","3","100.0","9","0","3.00","33.3","0.1","0.9","1.2","0.1"
"63","Cam Skattebo","NYG","RB","8","2025","3","18","2.3","6.00","0","0","2","","0","","0.0","","66.7","33.3","1","0.33","9","3.00","50.0","3.00","0","","0","0","","","3","100.0","18","0","6.00","66.7","0.2","1.8","1.5","0.2"
"64","Brashard Smith","KC","RB","17","2025","3","13","0.8","4.33","0","0","0","","0","","0.0","","66.7","33.3","0","","1","0.33","7.7","4.00","0","","0","0","","","3","100.0","13","0","4.33","66.7","0.1","1.3","1.8","0.1"
"65","LeQuint Allen","JAX","RB","17","2025","2","4","0.2","2.00","0","0","0","","0","","0.0","","50.0","50.0","0","","4","2.00","100.0","0.00","0","","0","0","","","2","100.0","4","0","2.00","50.0","0.0","0.4","1.0","0.1"
"66","Brittain Brown","CHI","RB","2","2025","2","11","5.5","5.50","0","0","0","","0","","0.0","","50.0","","1","0.50","6","3.00","54.5","2.50","0","","0","0","","","2","100.0","11","0","5.50","50.0","0.6","1.1","1.3","0.6"
"67","Devin Neal","NO","RB","9","2025","2","10","1.1","5.00","1","0","1","","0","","100.0","50.0","100.0","","0","","2","1.00","20.0","4.00","0","","0","0","","","2","100.0","10","1","5.00","100.0","0.8","7.0","2.5","0.3"
