"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"23","TreVeyon Henderson","NE","RB","17","2025","12","87","5.1","7.25","3","0","4","8.3","52","59.8","16.7","25.0","50.0","50.0","2","0.17","12","1.00","13.8","6.25","0","","0","0","","","12","100.0","87","3","7.25","50.0","1.6","26.7","7.2","0.4"
"24","Jahmyr Gibbs","DET","RB","17","2025","12","43","2.5","3.58","2","1","2","","0","","33.3","16.7","50.0","41.7","1","0.08","9","0.75","20.9","2.83","0","","0","0","","","12","100.0","43","2","3.58","50.0","0.9","15.3","9.8","0.6"
"25","Chase Brown","CIN","RB","17","2025","12","48","2.8","4.00","0","1","1","8.3","25","52.1","0.0","","50.0","50.0","1","0.08","27","2.25","56.3","1.75","0","","0","0","","","12","100.0","48","0","4.00","50.0","0.3","4.8","6.1","0.4"
"26","Keaton Mitchell","BLT","RB","13","2025","12","44","3.4","3.67","0","0","3","","0","","0.0","","58.3","33.3","3","0.25","27","2.25","61.4","1.42","0","","0","0","","","12","100.0","44","0","3.67","58.3","0.3","4.4","5.6","0.4"
"27","Woody Marks","HST","RB","16","2025","12","52","3.3","4.33","0","0","2","","0","","0.0","","50.0","41.7","1","0.08","36","3.00","69.2","1.33","0","","0","0","","","12","100.0","52","0","4.33","50.0","0.3","5.2","5.8","0.4"
"28","Devin Singletary","NYG","RB","17","2025","11","37","2.2","3.36","0","0","2","","0","","0.0","","45.5","36.4","2","0.18","16","1.45","43.2","1.91","0","","0","0","","","11","100.0","37","0","3.36","45.5","0.2","3.7","7.4","0.4"
"29","Brian Robinson","SF","RB","17","2025","10","45","2.6","4.50","0","0","1","","0","","0.0","","70.0","20.0","2","0.20","25","2.50","55.6","2.00","0","","0","0","","","10","100.0","45","0","4.50","70.0","0.3","4.5","4.7","0.3"
"30","Rachaad White","TB","RB","17","2025","10","32","1.9","3.20","0","0","5","","0","","28.6","","60.0","50.0","1","0.10","20","2.00","62.5","1.20","0","","0","0","","","10","100.0","32","0","3.20","60.0","0.2","3.2","9.8","0.6"
"31","David Montgomery","DET","RB","17","2025","10","19","1.1","1.90","1","0","1","","0","","66.7","10.0","20.0","70.0","0","","15","1.50","78.9","0.40","0","","0","0","","","10","100.0","19","1","1.90","20.0","0.5","7.9","9.5","0.6"
"32","Chris Rodriguez","WAS","RB","13","2025","10","37","2.8","3.70","1","0","4","","0","","80.0","10.0","60.0","40.0","2","0.20","27","2.70","73.0","1.00","0","","0","0","","","10","100.0","37","1","3.70","60.0","0.7","9.7","12.3","0.9"
"33","Bucky Irving","TB","RB","10","2025","10","21","2.1","2.10","0","0","2","","0","","0.0","","20.0","80.0","0","","15","1.50","71.4","0.60","0","","0","0","","","10","100.0","21","0","2.10","20.0","0.2","2.1","5.2","0.5"
"34","Aaron Jones","MIN","RB","12","2025","10","42","3.5","4.20","0","0","4","","0","","0.0","","50.0","40.0","1","0.10","12","1.20","28.6","3.00","0","","0","0","","","10","100.0","42","0","4.20","50.0","0.4","4.2","5.5","0.5"
"35","Rhamondre Stevenson","NE","RB","14","2025","10","49","3.5","4.90","0","0","2","20.0","36","73.5","60.0","","40.0","70.0","3","0.30","41","4.10","83.7","0.80","0","","0","0","","","10","100.0","49","0","4.90","40.0","0.4","4.9","9.6","0.7"
"36","Sean Tucker","TB","RB","17","2025","10","31","1.8","3.10","1","0","3","","0","","71.4","10.0","70.0","40.0","1","0.10","14","1.40","45.2","1.70","0","","0","0","","","10","100.0","31","1","3.10","70.0","0.5","9.1","14.3","0.8"
"37","Kenneth Gainwell","PIT","RB","17","2025","9","53","3.1","5.89","1","0","4","11.1","15","28.3","100.0","11.1","66.7","33.3","1","0.11","21","2.33","39.6","3.56","0","","0","0","","","9","100.0","53","1","5.89","66.7","0.7","11.3","7.8","0.5"
"38","Ollie Gordon","MIA","RB","17","2025","9","24","1.4","2.67","0","0","2","","0","","0.0","","22.2","66.7","0","","12","1.33","50.0","1.33","0","","0","0","","","9","100.0","24","0","2.67","22.2","0.1","2.4","4.9","0.3"
"39","Jordan Mason","MIN","RB","16","2025","9","51","3.2","5.67","0","0","1","","0","","0.0","","77.8","33.3","2","0.22","24","2.67","47.1","3.00","0","","0","0","","","9","100.0","51","0","5.67","77.8","0.3","5.1","4.3","0.3"
"40","Tyjae Spears","TEN","RB","13","2025","9","30","2.3","3.33","0","0","1","","0","","0.0","","22.2","77.8","2","0.22","20","2.22","66.7","1.11","0","","0","0","","","9","100.0","30","0","3.33","22.2","0.2","3.0","5.0","0.4"
"41","Michael Carter","ARZ","RB","13","2025","9","23","1.8","2.56","1","0","2","","0","","66.7","11.1","44.4","44.4","2","0.22","16","1.78","69.6","0.78","0","","0","0","","","9","100.0","23","1","2.56","44.4","0.6","8.3","9.8","0.8"
"42","Alvin Kamara","NO","RB","11","2025","8","22","2.0","2.75","0","0","0","","0","","100.0","","50.0","37.5","3","0.38","16","2.00","72.7","0.75","0","","0","0","","","8","100.0","22","0","2.75","50.0","0.2","2.2","6.3","0.6"
"43","Breece Hall","NYJ","RB","16","2025","8","45","2.8","5.63","1","0","2","12.5","27","60.0","0.0","12.5","37.5","50.0","3","0.38","18","2.25","40.0","3.38","0","","0","0","","","8","100.0","45","1","5.63","37.5","0.7","10.5","3.6","0.2"
"44","Jacory Croskey-Merritt","WAS","RB","17","2025","8","36","2.1","4.50","0","0","2","","0","","20.0","","62.5","37.5","1","0.13","22","2.75","61.1","1.75","0","","0","0","","","8","100.0","36","0","4.50","62.5","0.2","3.6","6.6","0.4"
"45","Isiah Pacheco","KC","RB","13","2025","8","29","2.2","3.63","0","0","0","","0","","0.0","","50.0","50.0","0","","16","2.00","55.2","1.63","0","","0","0","","","8","100.0","29","0","3.63","50.0","0.2","2.9","4.4","0.3"
"46","Bam Knight","ARZ","RB","12","2025","7","8","0.7","1.14","1","0","3","","0","","25.0","14.3","42.9","57.1","0","","5","0.71","62.5","0.43","0","","0","0","","","7","100.0","8","1","1.14","42.9","0.6","6.8","7.3","0.6"
"47","Kyle Monangai","CHI","RB","17","2025","7","39","2.3","5.57","1","0","4","","0","","100.0","14.3","57.1","14.3","0","","14","2.00","35.9","3.57","0","","0","0","","","7","100.0","39","1","5.57","57.1","0.6","9.9","6.8","0.4"
"48","Bhayshul Tuten","JAX","RB","15","2025","7","26","1.7","3.71","2","0","4","","0","","33.3","28.6","85.7","14.3","2","0.29","15","2.14","57.7","1.57","0","","0","0","","","7","100.0","26","2","3.71","85.7","1.0","14.6","7.7","0.5"
"49","Jaret Patterson","LAC","RB","6","2025","6","18","3.0","3.00","0","0","1","","0","","0.0","","50.0","50.0","1","0.17","15","2.50","83.3","0.50","0","","0","0","","","6","100.0","18","0","3.00","50.0","0.3","1.8","3.2","0.5"
"50","Nick Chubb","HST","RB","15","2025","6","27","1.8","4.50","0","0","0","","0","","0.0","","66.7","16.7","0","","14","2.33","51.9","2.17","0","","0","0","","","6","100.0","27","0","4.50","66.7","0.2","2.7","2.9","0.2"
"51","Najee Harris","LAC","RB","3","2025","5","22","7.3","4.40","0","0","0","","0","","0.0","","80.0","20.0","0","","19","3.80","86.4","0.60","0","","0","0","","","5","100.0","22","0","4.40","80.0","0.7","2.2","2.3","0.8"
"52","Malik Davis","DAL","RB","10","2025","5","34","3.4","6.80","0","0","1","20.0","21","61.8","0.0","","60.0","40.0","1","0.20","13","2.60","38.2","4.20","0","","0","0","","","5","100.0","34","0","6.80","60.0","0.3","3.4","3.0","0.3"
"53","Julius Chestnut","TEN","RB","17","2025","5","8","0.5","1.60","0","0","2","","0","","20.0","","40.0","60.0","1","0.20","4","0.80","50.0","0.80","0","","0","0","","","5","100.0","8","0","1.60","40.0","0.0","0.8","3.5","0.2"
"54","D'Andre Swift","CHI","RB","16","2025","5","21","1.3","4.20","0","0","0","","0","","0.0","","40.0","20.0","0","","5","1.00","23.8","3.20","0","","0","0","","","5","100.0","21","0","4.20","40.0","0.1","2.1","2.7","0.2"
"55","Ray Davis","BUF","RB","17","2025","5","18","1.1","3.60","0","0","0","","0","","0.0","","40.0","","0","","13","2.60","72.2","1.00","0","","0","0","","","5","100.0","18","0","3.60","40.0","0.1","1.8","2.4","0.1"
"56","Emari Demercado","ARZ","RB","13","2025","4","79","6.1","19.75","0","1","0","25.0","71","89.9","0.0","","75.0","50.0","0","","4","1.00","5.1","18.75","0","","0","0","","","4","100.0","79","0","19.75","75.0","0.5","6.9","2.2","0.2"
"57","George Holani","SEA","RB","10","2025","4","6","0.6","1.50","0","1","1","","0","","0.0","","50.0","50.0","0","","4","1.00","66.7","0.50","0","","0","0","","","4","100.0","6","0","1.50","50.0","0.0","-0.4","1.9","0.2"
"58","James Conner","ARZ","RB","3","2025","4","9","3.0","2.25","1","0","2","","0","","100.0","25.0","50.0","50.0","2","0.50","7","1.75","77.8","0.50","0","","0","0","","","4","100.0","9","1","2.25","50.0","2.3","6.9","4.7","1.6"
"59","Samaje Perine","CIN","RB","15","2025","4","11","0.7","2.75","1","0","1","","0","","100.0","25.0","50.0","50.0","1","0.25","6","1.50","54.5","1.25","0","","0","0","","","4","100.0","11","1","2.75","50.0","0.5","7.1","4.5","0.3"
"60","Jaydon Blue","DAL","RB","5","2025","3","13","2.6","4.33","0","0","1","","0","","25.0","","33.3","66.7","0","","4","1.33","30.8","3.00","0","","0","0","","","3","100.0","13","0","4.33","33.3","0.3","1.3","2.8","0.6"
"61","Hassan Haskins","LAC","RB","11","2025","3","19","1.7","6.33","0","0","2","","0","","0.0","","66.7","33.3","0","","6","2.00","31.6","4.33","0","","0","0","","","3","100.0","19","0","6.33","66.7","0.2","1.9","1.4","0.1"
"62","Kendre Miller","NO","RB","7","2025","3","14","2.0","4.67","0","0","1","","0","","0.0","","33.3","66.7","2","0.67","9","3.00","64.3","1.67","0","","0","0","","","3","100.0","14","0","4.67","33.3","0.2","1.4","1.9","0.3"
"63","DJ Giddens","IND","RB","9","2025","3","24","2.7","8.00","0","0","1","","0","","0.0","","66.7","33.3","0","","13","4.33","54.2","3.67","0","","0","0","","","3","100.0","24","0","8.00","66.7","0.3","2.4","1.3","0.1"
"64","Emanuel Wilson","GB","RB","17","2025","3","7","0.4","2.33","0","0","0","","0","","0.0","","33.3","100.0","0","","5","1.67","71.4","0.67","0","","0","0","","","3","100.0","7","0","2.33","33.3","0.0","0.7","1.3","0.1"
"65","Terrell Jennings","NE","RB","6","2025","3","16","2.7","5.33","0","0","1","","0","","0.0","","33.3","66.7","1","0.33","12","4.00","75.0","1.33","0","","0","0","","","3","100.0","16","0","5.33","33.3","0.3","1.6","1.6","0.3"
"66","Audric Estime","NO","RB","6","2025","2","5","0.8","2.50","0","0","0","","0","","0.0","","50.0","50.0","0","","3","1.50","60.0","1.00","0","","0","0","","","2","100.0","5","0","2.50","50.0","0.1","0.5","1.0","0.2"
"67","Velus Jones","SEA, NO","RB","6","2025","2","29","4.8","14.50","0","0","1","50.0","25","86.2","0.0","","50.0","","0","","2","1.00","6.9","13.50","0","","0","0","","","2","100.0","29","0","14.50","50.0","0.5","2.9","0.9","0.1"
"68","Jeremy McNichols","WAS","RB","17","2025","2","9","0.5","4.50","0","0","0","","0","","0.0","","50.0","50.0","0","","4","2.00","44.4","2.50","0","","0","0","","","2","100.0","9","0","4.50","50.0","0.1","0.9","0.9","0.1"
"69","Raheim Sanders","CLV","RB","4","2025","2","3","0.8","1.50","0","0","0","","0","","100.0","","50.0","50.0","0","","2","1.00","66.7","0.50","0","","0","0","","","2","100.0","3","0","1.50","50.0","0.1","0.3","3.7","0.9"
"70","Saquon Barkley","PHI","RB","16","2025","2","4","0.3","2.00","0","0","1","","0","","0.0","","50.0","50.0","1","0.50","0","","","2.00","0","","0","0","","","2","100.0","4","0","2.00","50.0","0.0","0.4","0.9","0.1"
"71","Kalel Mullings","TEN","RB","5","2025","2","7","1.4","3.50","0","0","2","","0","","0.0","","100.0","","1","0.50","5","2.50","71.4","1.00","0","","0","0","","","2","100.0","7","0","3.50","100.0","0.1","0.7","1.1","0.2"
"72","Ty Johnson","BUF","RB","17","2025","2","1","0.1","0.50","0","0","0","","0","","50.0","","","100.0","0","","1","0.50","100.0","0.00","0","","0","0","","","2","100.0","1","0","0.50","","0.0","0.1","2.3","0.1"
"73","Antonio Gibson","NE","RB","5","2025","2","5","1.0","2.50","0","0","0","","0","","33.3","","50.0","50.0","0","","1","0.50","20.0","2.00","0","","0","0","","","2","100.0","5","0","2.50","50.0","0.1","0.5","2.2","0.4"
"74","Phil Mafah","DAL","RB","1","2025","2","4","4.0","2.00","1","0","1","","0","","50.0","50.0","50.0","50.0","0","","1","0.50","25.0","1.50","0","","0","0","","","2","100.0","4","1","2.00","50.0","6.4","6.4","3.9","3.9"
"75","Jaleel McLaughlin","DEN","RB","8","2025","2","10","1.3","5.00","1","0","1","","0","","100.0","50.0","100.0","","0","","5","2.50","50.0","2.50","0","","0","0","","","2","100.0","10","1","5.00","100.0","0.9","7.0","2.4","0.3"
"76","Bijan Robinson","ATL","RB","17","2025","2","34","2.0","17.00","0","0","2","100.0","34","100.0","0.0","","100.0","","1","0.50","24","12.00","70.6","5.00","0","","0","0","","","2","100.0","34","0","17.00","100.0","0.2","3.4","0.9","0.1"
"77","Tyler Allgeier","ATL","RB","17","2025","1","1","0.1","1.00","0","0","1","","0","","0.0","","100.0","","0","","2","2.00","200.0","-1.00","0","","0","0","","","1","100.0","1","0","1.00","100.0","0.0","0.1","0.4","0.0"
