"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"60","Jordan Mason","MIN","RB","16","2025","21","84.0","-3.0","-6","-2.8","2","0.1","9.1","0.10","2","100.0","8","0.5","3.3","0.38","4.00","4.00","14","7.00","3","1.50","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","83.3","10.0","-1.9","","","","100.0","0.13","0.2","2.8","4.0","0.2","0.19","4.0"
"61","Chris Brooks","GB","RB","17","2025","5","62.5","0.0","0","0.0","1","0.1","16.7","0.20","1","100.0","8","0.5","14.0","1.60","8.00","8.00","8","8.00","2","2.00","0","0.0","0","0","0","0","1","25.0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","100.0","20.0","2.2","","","","100.0","0.36","0.1","1.8","1.2","0.1","0.24","1.2"
"62","Adam Trautman","DEN","TE","17","2025","1","100.0","2.0","2","100.0","1","0.1","100.0","1.00","1","100.0","8","0.5","100.0","8.00","8.00","8.00","6","6.00","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","100.0","1.6","","","","100.0","1.80","0.1","1.8","1.4","0.1","1.42","1.4"
"63","Emari Demercado","ARZ","RB","13","2025","10","90.9","4.0","4","9.8","1","0.1","12.5","0.10","1","100.0","7","0.5","10.4","0.70","7.00","7.00","3","3.00","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","95.8","12.5","0.3","","","","100.0","0.17","0.1","1.7","1.5","0.1","0.15","1.5"
"64","Trey Benson","ARZ","RB","4","2025","10","90.9","-1.0","-2","-3.4","2","0.5","20.0","0.20","2","100.0","7","1.8","17.1","0.70","3.50","3.50","9","4.50","8","4.00","0","0.0","0","0","0","0","0","0.0","1","0.50","0","0.000","0","","2","100.0","0","","0","0","0.0","0","81.3","22.2","-2.3","","","","100.0","0.27","0.7","2.7","3.4","0.9","0.34","3.4"
"65","Drew Sample","CIN","TE","17","2025","6","75.0","-1.0","-1","-3.4","1","0.1","12.5","0.17","1","100.0","7","0.4","7.4","1.17","7.00","7.00","8","8.00","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","95.8","12.5","2.1","","","","100.0","0.28","0.1","1.7","1.4","0.1","0.24","1.4"
"66","Emanuel Wilson","GB","RB","17","2025","13","81.3","-4.0","-8","-7.0","2","0.1","14.3","0.15","2","100.0","6","0.4","8.0","0.46","3.00","3.00","14","7.00","5","2.50","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","79.2","15.4","-2.6","","","","100.0","0.20","0.2","2.6","2.9","0.2","0.23","2.9"
"67","J.K. Dobbins","DEN","RB","10","2025","4","50.0","1.0","1","1.9","1","0.1","12.5","0.25","1","100.0","6","0.6","14.3","1.50","6.00","6.00","5","5.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","91.7","12.5","0.3","","","","100.0","0.40","0.2","1.6","1.6","0.2","0.41","1.6"
"68","Chris Rodriguez","WAS","RB","13","2025","8","66.7","0.0","0","0.0","1","0.1","11.1","0.13","1","100.0","6","0.5","9.4","0.75","6.00","6.00","6","6.00","3","3.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","91.7","12.5","0.2","","","","100.0","0.20","0.1","1.6","1.3","0.1","0.16","1.3"
"69","Miles Sanders","DAL","RB","4","2025","4","100.0","2.5","5","55.6","2","0.5","66.7","0.50","2","100.0","6","1.5","35.3","1.50","3.00","3.00","1","0.50","1","0.50","0","0.0","1","0","0","0","0","0.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","79.2","66.7","-3.5","","","","100.0","0.65","0.7","2.6","2.7","0.7","0.67","2.7"
"70","James Cook","BUF","RB","17","2025","23","92.0","0.8","3","1.7","4","0.2","19.0","0.17","2","50.0","5","0.3","2.3","0.22","1.25","2.50","13","6.50","3","1.50","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","3","75.0","0","","1","0","0.0","0","56.3","20.0","-5.3","","","","100.0","0.11","0.1","2.5","6.1","0.4","0.26","6.1"
"71","Dalton Schultz","HST","TE","17","2025","1","50.0","2.0","2","100.0","1","0.1","50.0","1.00","1","100.0","5","0.3","100.0","5.00","5.00","5.00","3","3.00","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","100.0","-1.4","","","","100.0","1.50","0.1","1.5","1.2","0.1","1.20","1.2"
"72","DJ Moore","CHI","WR","17","2025","2","100.0","-5.0","-5","100.0","1","0.1","50.0","0.50","1","100.0","5","0.3","100.0","2.50","5.00","5.00","10","10.00","1","1.00","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","87.5","100.0","0.8","","","","100.0","0.75","0.1","1.5","1.3","0.1","0.63","1.3"
"73","Zavier Scott","MIN","RB","11","2025","3","60.0","-6.0","-6","-13.0","1","0.1","25.0","0.33","1","100.0","5","0.5","16.1","1.67","5.00","5.00","11","11.00","1","1.00","0","0.0","0","0","0","0","1","33.3","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","87.5","25.0","-0.1","","","","100.0","0.50","0.1","1.5","1.4","0.1","0.46","1.4"
"74","Keaton Mitchell","BLT","RB","13","2025","1","50.0","-5.0","-5","55.6","1","0.1","50.0","1.00","1","100.0","5","0.4","62.5","5.00","5.00","5.00","10","10.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","50.0","-0.9","","","","100.0","1.50","0.1","1.5","1.6","0.1","1.58","1.6"
"75","Rasheen Ali","BLT","RB","15","2025","11","100.0","1.5","3","3.7","2","0.1","18.2","0.18","1","50.0","5","0.3","4.6","0.45","2.50","5.00","3","3.00","2","2.00","0","0.0","0","0","0","0","1","12.5","0","","0","0.000","1","50.0","2","100.0","0","","0","0","0.0","0","56.3","18.2","-3.6","","","","100.0","0.14","0.1","1.5","4.2","0.3","0.38","4.2"
"76","Taysom Hill","NO","TE","13","2025","1","50.0","4.0","4","100.0","1","0.1","50.0","1.00","1","100.0","5","0.4","21.7","5.00","5.00","5.00","1","1.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","50.0","-1.1","","","","100.0","1.50","0.1","1.5","1.3","0.1","1.29","1.3"
"77","Khalil Herbert","NYJ","RB","5","2025","3","100.0","-5.0","-5","-100.0","1","0.2","33.3","0.33","1","100.0","4","0.8","100.0","1.33","4.00","4.00","9","9.00","-1","-1.00","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","83.3","50.0","-1.9","","","","100.0","0.47","0.3","1.4","1.4","0.3","0.46","1.4"
"78","Brian Robinson","SF","RB","17","2025","4","66.7","-2.0","-6","-66.7","3","0.2","50.0","0.75","2","66.7","3","0.2","15.8","0.75","1.00","1.50","8","4.00","3","1.50","0","0.0","0","0","0","0","0","0.0","1","0.50","0","0.000","0","","2","66.7","0","","0","0","0.0","0","70.1","50.0","-4.5","","","","100.0","0.58","0.1","2.3","4.6","0.3","1.14","4.6"
"79","Ty Johnson","BUF","RB","17","2025","6","100.0","1.0","1","10.0","1","0.1","20.0","0.17","1","100.0","3","0.2","12.5","0.50","3.00","3.00","2","2.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","20.0","-2.7","","","","100.0","0.22","0.1","1.3","1.2","0.1","0.20","1.2"
"80","Kareem Hunt","KC","RB","17","2025","21","63.6","5.0","10","3.4","2","0.1","6.7","0.10","1","50.0","3","0.2","1.0","0.14","1.50","3.00","7","7.00","1","1.00","0","0.0","1","0","0","0","0","0.0","0","","0","0.000","0","","1","50.0","0","","1","0","0.0","0","16.7","7.7","-6.3","","","","100.0","0.06","0.1","1.3","3.4","0.2","0.16","3.4"
"81","Jacory Croskey-Merritt","WAS","RB","17","2025","11","73.3","-2.5","-5","-6.6","2","0.1","18.2","0.18","1","50.0","3","0.2","2.8","0.27","1.50","3.00","1","1.00","1","1.00","0","0.0","0","0","0","0","1","12.5","0","","0","0.000","0","","1","50.0","1","50.0","0","0","0.0","0","56.3","18.2","-4.0","","","","100.0","0.12","0.1","1.3","2.5","0.1","0.23","2.5"
"82","Ty Chandler","MIN","RB","3","2025","2","100.0","-6.0","-6","600.0","1","0.3","50.0","0.50","1","100.0","2","0.7","20.0","1.00","2.00","2.00","8","8.00","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","50.0","-3.1","","","","100.0","0.60","0.4","1.2","1.1","0.4","0.55","1.1"
"83","Clyde Edwards-Helaire","KC","RB","2","2025","3","100.0","-4.0","-4","-23.5","1","0.5","33.3","0.33","1","100.0","2","1.0","3.0","0.67","2.00","2.00","6","6.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","33.3","-3.6","","","","100.0","0.40","0.6","1.2","2.4","1.2","0.78","2.4"
"84","Quinshon Judkins","CLV","RB","14","2025","4","100.0","2.0","2","14.3","1","0.1","25.0","0.25","1","100.0","2","0.1","14.3","0.50","2.00","2.00","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","25.0","-4.4","","","","100.0","0.30","0.1","1.2","1.4","0.1","0.34","1.4"
"85","Kylen Granson","PHI","TE","17","2025","1","100.0","-1.0","-1","100.0","1","0.1","100.0","1.00","1","100.0","1","0.1","100.0","1.00","1.00","1.00","2","2.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","100.0","-3.9","","","","100.0","1.10","0.1","1.1","1.5","0.1","1.46","1.5"
"86","Theo Johnson","NYG","TE","15","2025","3","100.0","-2.0","-2","-5.1","1","0.1","33.3","0.33","1","100.0","1","0.1","10.0","0.33","1.00","1.00","3","3.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","33.3","-3.9","","","","100.0","0.37","0.1","1.1","1.6","0.1","0.52","1.6"
"87","Omarion Hampton","LAC","RB","9","2025","15","93.8","1.0","1","2.3","1","0.1","11.1","0.07","1","100.0","1","0.1","3.7","0.07","1.00","1.00","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","12.5","-4.7","","","","100.0","0.07","0.1","1.1","1.4","0.2","0.09","1.4"
"88","Jerome Ford","CLV","RB","13","2025","16","80.0","-1.0","-2","-1.2","2","0.2","11.8","0.13","2","100.0","1","0.1","1.1","0.06","0.50","0.50","3","1.50","2","1.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","79.2","12.5","-5.7","","","","100.0","0.13","0.2","2.1","3.0","0.2","0.19","3.0"
"89","Greg Dortch","ARZ","WR","12","2025","1","100.0","-2.0","-2","100.0","1","0.1","100.0","1.00","1","100.0","-2","-0.2","100.0","-2.00","-2.00","-2.00","0","","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","0","","1","1","100.0","0","79.2","100.0","-7.5","","","","100.0","0.80","0.1","0.8","1.4","0.1","1.36","1.4"
"90","Devin Singletary","NYG","RB","17","2025","9","100.0","-6.0","-6","-11.3","1","0.1","11.1","0.11","1","100.0","-4","-0.2","-15.4","-0.44","-4.00","-4.00","2","2.00","1","1.00","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","79.2","12.5","-9.1","","","","100.0","0.07","0.0","0.6","2.3","0.1","0.26","2.3"
"91","Tahj Brooks","CIN","RB","12","2025","1","33.3","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"92","Derrick Henry","BLT","RB","17","2025","5","62.5","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"93","Jaret Patterson","LAC","RB","6","2025","4","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"94","James Conner","ARZ","RB","3","2025","5","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"95","Charlie Woerner","ATL","TE","17","2025","5","71.4","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"96","Luke Farrell","SF","TE","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"97","Bhayshul Tuten","JAX","RB","15","2025","3","60.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"98","Tyler Warren","IND","TE","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"99","Jack Stoll","NO","TE","15","2025","1","100.0","-1.0","-1","100.0","1","0.1","100.0","1.00","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","100.0","-4.9","","","","100.0","0.00","","0.0","1.4","0.1","1.44","1.4"
"100","Tip Reiman","ARZ","TE","4","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"101","Durham Smythe","CHI","TE","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"102","Juwan Johnson","NO","TE","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"103","Amon-Ra St. Brown","DET","WR","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"104","Brittain Brown","CHI","RB","2","2025","3","100.0","4.0","4","8.9","1","0.5","33.3","0.33","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","33.3","-6.7","","","","100.0","0.00","","0.0","1.3","0.7","0.45","1.3"
"105","Kene Nwangwu","NYJ","RB","10","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"106","Khalil Shakir","BUF","WR","16","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"107","Josiah Deguara","ARZ","TE","12","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"108","Daniel Bellinger","NYG","TE","16","2025","2","50.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"109","DJ Giddens","IND","RB","9","2025","1","33.3","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"110","Sean Tucker","TB","RB","17","2025","4","80.0","6.0","6","6.8","1","0.1","20.0","0.25","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","1","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","20.0","-7.7","","","","100.0","0.00","","0.0","1.4","0.1","0.34","1.4"
"111","Brycen Tremayne","CAR","WR","16","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"112","Jawhar Jordan","HST","RB","4","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"113","Malik Washington","MIA","WR","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"114","Brashard Smith","KC","RB","17","2025","3","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"115","Evan Hull","NO","RB","6","2025","2","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"116","Raheim Sanders","CLV","RB","4","2025","3","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"117","Ollie Gordon","MIA","RB","17","2025","5","62.5","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"118","Ray Davis","BUF","RB","17","2025","2","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"119","Isaiah Bond","CLV","WR","16","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"120","Evan Engram","DEN","TE","16","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"121","AJ Dillon","PHI","RB","7","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"122","Rhamondre Stevenson","NE","RB","14","2025","28","93.3","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"123","Tyler Goodson","IND","RB","11","2025","5","83.3","-1.0","-1","-1.8","1","0.1","16.7","0.20","1","100.0","0","0.0","0.0","","0.00","","1","1.00","1","1.00","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","16.7","-5.8","","","","100.0","0.20","0.1","1.0","1.5","0.1","0.31","1.5"
"124","Trey McBride","ARZ","TE","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"125","Malik Davis","DAL","RB","10","2025","6","40.0","3.0","6","5.8","2","0.2","13.3","0.33","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","13.3","-6.5","","","","100.0","0.00","","0.0","2.9","0.3","0.48","2.9"
"126","Jaleel McLaughlin","DEN","RB","8","2025","3","37.5","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"127","Cole Kmet","CHI","TE","16","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"128","George Kittle","SF","TE","11","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"129","Braelon Allen","NYJ","RB","4","2025","1","50.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"130","Jaydon Blue","DAL","RB","5","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"131","Rashee Rice","KC","WR","8","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"132","Blake Corum","LA","RB","17","2025","10","90.9","16.0","16","19.0","1","0.1","10.0","0.10","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","10.0","-10.7","","","","100.0","0.00","","0.0","1.6","0.1","0.16","1.6"
"133","Hassan Haskins","LAC","RB","11","2025","8","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"134","Jeff Wilson","MIA","RB","2","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"135","Zamir White","LV","RB","5","2025","3","75.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
