"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Kenneth Gainwell","PIT","RB","17","2025","18","90.0","-3.2","-19","-18.6","6","0.4","30.0","0.33","6","100.0","37","2.2","21.1","2.06","6.17","6.17","56","9.33","17","2.83","0","0.0","1","0","0","0","3","25.0","2","0.33","2","0.111","0","","6","100.0","3","50.0","0","0","0.0","0","92.4","33.3","0.6","","","","100.0","0.54","0.6","9.7","11.4","0.7","0.64","11.4"
"16","Tyrone Tracy","NYG","RB","15","2025","27","93.1","2.3","9","3.9","4","0.3","16.0","0.15","3","75.0","36","2.4","37.9","1.33","9.00","12.00","44","14.67","33","11.00","0","0.0","1","0","0","0","2","11.1","1","0.33","2","0.074","0","","3","75.0","1","25.0","0","0","0.0","0","102.1","17.4","3.6","","","","100.0","0.24","0.4","6.6","6.8","0.5","0.25","6.8"
"17","Rico Dowdle","CAR","RB","17","2025","18","90.0","-1.4","-10","-18.2","7","0.4","36.8","0.39","4","57.1","32","1.9","27.6","1.78","4.57","8.00","33","8.25","2","0.50","0","0.0","0","0","0","0","2","22.2","0","","1","0.056","2","28.6","6","85.7","2","28.6","0","0","0.0","0","29.2","41.2","-1.4","","","","100.0","0.40","0.4","7.2","9.5","0.6","0.53","9.5"
"18","Tony Pollard","TEN","RB","17","2025","33","78.6","-1.3","-10","-3.9","8","0.5","21.1","0.24","8","100.0","32","1.9","17.7","0.97","4.00","4.00","42","5.25","12","1.50","0","0.0","0","0","0","0","3","12.0","2","0.25","0","0.000","0","","8","100.0","2","25.0","0","0","0.0","0","83.3","22.9","-1.9","","","","100.0","0.34","0.7","11.2","12.0","0.7","0.36","12.0"
"19","De'Von Achane","MIA","RB","16","2025","15","71.4","-3.2","-16","-9.5","5","0.3","26.3","0.33","4","80.0","30","1.9","16.7","2.00","6.00","7.50","39","9.75","4","1.00","0","0.0","1","0","0","0","2","16.7","0","","1","0.067","1","20.0","5","100.0","2","40.0","0","0","0.0","0","91.7","26.3","0.2","","","","100.0","0.47","0.4","7.0","9.6","0.6","0.64","9.6"
"20","Bijan Robinson","ATL","RB","17","2025","29","76.3","-1.3","-5","-1.5","4","0.2","11.4","0.14","3","75.0","27","1.6","10.7","0.93","6.75","9.00","28","9.33","4","1.33","0","0.0","0","0","0","0","1","4.5","1","0.33","1","0.034","1","25.0","4","100.0","1","25.0","0","0","0.0","0","92.7","12.5","1.0","","","","100.0","0.20","0.3","5.7","7.1","0.4","0.24","7.1"
"21","Michael Carter","ARZ","RB","13","2025","28","84.8","1.3","4","1.7","3","0.2","11.1","0.11","3","100.0","26","2.0","14.6","0.93","8.67","8.67","22","7.33","19","6.33","0","0.0","1","0","0","0","1","5.9","2","0.67","1","0.036","0","","3","100.0","0","","0","0","0.0","0","102.8","11.5","2.6","","","","100.0","0.20","0.4","5.6","4.2","0.3","0.15","4.2"
"22","Javonte Williams","DAL","RB","16","2025","40","81.6","0.2","2","0.6","9","0.6","19.1","0.23","7","77.8","24","1.5","9.1","0.60","2.67","3.43","26","3.71","8","1.14","0","0.0","0","0","0","0","1","3.3","0","","0","0.000","0","","8","88.9","0","","1","0","0.0","0","79.2","19.6","-3.5","","","","100.0","0.21","0.5","8.4","15.3","1.0","0.38","15.3"
"23","Aaron Jones","MIN","RB","12","2025","24","96.0","-3.2","-16","-11.4","5","0.4","27.8","0.21","3","60.0","23","1.9","28.0","0.96","4.60","7.67","31","10.33","4","1.33","0","0.0","0","0","0","0","4","30.8","0","","2","0.083","0","","3","60.0","2","40.0","0","0","0.0","0","71.3","29.4","-1.3","","","","100.0","0.22","0.4","5.3","6.7","0.6","0.28","6.7"
"24","Saquon Barkley","PHI","RB","16","2025","21","95.5","5.0","20","12.9","4","0.3","21.1","0.19","3","75.0","23","1.4","16.7","1.10","5.75","7.67","24","8.00","","","0","0.0","0","0","0","1","1","9.1","0","","1","0.048","0","","3","75.0","1","25.0","0","0","0.0","0","88.5","21.1","-0.9","","","","100.0","0.25","0.3","5.3","6.4","0.4","0.30","6.4"
