"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Chase Brown","CIN","RB","17","2025","84","86.6","0.1","3","0.6","28","1.6","31.1","0.33","23","82.1","148","8.7","25.4","1.76","5.29","6.43","128","5.57","46","2.00","0","0.0","1","0","0","0","4","8.2","6","0.26","4","0.048","1","3.6","25","89.3","1","3.6","3","2","66.7","0","88.7","32.6","-1.0","","","","100.0","0.45","2.2","37.8","40.4","2.4","0.48","40.4"
"2","De'Von Achane","MIA","RB","16","2025","46","73.0","-0.9","-14","-5.0","15","0.9","27.3","0.33","13","86.7","115","7.2","28.8","2.50","7.67","8.85","132","10.15","25","1.92","0","0.0","0","0","0","0","6","18.8","1","0.08","5","0.109","0","","13","86.7","2","13.3","0","0","0.0","0","98.6","28.3","1.7","","","","100.0","0.53","1.5","24.5","23.6","1.5","0.51","23.6"
"3","Tyrone Tracy","NYG","RB","15","2025","31","68.9","-0.7","-9","-2.9","13","0.9","31.0","0.42","11","84.6","77","5.1","30.9","2.48","5.92","7.00","90","8.18","28","2.55","0","0.0","0","0","0","0","4","17.4","3","0.27","2","0.065","1","7.7","12","92.3","3","23.1","0","0","0.0","0","91.3","33.3","0.0","","","","100.0","0.57","1.2","17.7","20.0","1.3","0.65","20.0"
"4","Kenneth Gainwell","PIT","RB","17","2025","27","75.0","-2.5","-20","-13.2","8","0.5","24.2","0.30","8","100.0","75","4.4","20.7","2.78","9.38","9.38","95","11.88","23","2.88","0","0.0","0","0","0","0","1","5.0","0","","5","0.185","0","","8","100.0","1","12.5","0","0","0.0","0","105.7","25.8","3.8","","","","100.0","0.57","0.9","15.5","11.3","0.7","0.42","11.3"
"5","Justice Hill","BLT","RB","10","2025","30","96.8","-1.6","-18","-10.5","11","1.1","40.7","0.37","10","90.9","69","6.9","42.9","2.30","6.27","6.90","84","8.40","15","1.50","0","0.0","0","0","0","0","4","30.8","1","0.10","2","0.067","1","9.1","11","100.0","4","36.4","1","1","100.0","0","92.8","44.0","0.3","","","","100.0","0.56","1.7","16.9","15.3","1.5","0.51","15.3"
"6","Christian McCaffrey","SF","RB","17","2025","46","90.2","-0.5","-6","-1.8","12","0.7","27.3","0.26","11","91.7","68","4.0","14.7","1.48","5.67","6.18","75","6.82","7","0.64","0","0.0","1","0","0","0","3","13.0","2","0.18","3","0.065","0","","11","91.7","2","16.7","0","0","0.0","0","90.3","28.6","-0.3","","","","100.0","0.39","1.0","17.8","17.9","1.1","0.39","17.9"
"7","Rico Dowdle","CAR","RB","17","2025","25","73.5","-0.9","-9","-9.3","10","0.6","34.5","0.40","9","90.0","64","3.8","43.2","2.56","6.40","7.11","71","7.89","23","2.56","0","0.0","0","0","0","0","1","7.1","2","0.22","3","0.120","0","","9","90.0","1","10.0","0","0","0.0","0","93.3","37.0","0.3","","","","100.0","0.62","0.9","15.4","16.6","1.0","0.67","16.6"
"8","Jahmyr Gibbs","DET","RB","17","2025","58","77.3","4.8","76","14.4","16","0.9","22.5","0.28","13","81.3","64","3.8","11.6","1.10","4.00","4.92","72","5.54","16","1.23","0","0.0","0","0","0","1","7","16.7","3","0.23","3","0.052","0","","14","87.5","5","31.3","1","0","0.0","0","83.3","24.2","-2.2","","","","100.0","0.33","1.1","19.4","23.1","1.4","0.40","23.1"
"9","Bijan Robinson","ATL","RB","17","2025","39","70.9","-2.1","-15","-4.4","7","0.4","14.0","0.18","5","71.4","63","3.7","18.9","1.62","9.00","12.60","73","14.60","34","6.80","0","0.0","0","0","0","0","4","14.8","4","0.80","3","0.077","0","","5","71.4","3","42.9","0","0","0.0","0","99.1","15.2","3.2","","","","100.0","0.29","0.7","11.3","9.7","0.6","0.25","9.7"
"10","RJ Harvey","DEN","RB","17","2025","25","64.1","0.3","3","1.5","10","0.6","28.6","0.40","7","70.0","62","3.6","32.6","2.48","6.20","8.86","56","8.00","28","4.00","0","0.0","0","0","0","0","1","7.7","4","0.57","3","0.120","1","10.0","8","80.0","1","10.0","0","0","0.0","0","86.3","34.5","0.1","","","","100.0","0.53","0.8","13.2","15.3","0.9","0.61","15.3"
