"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Rachaad White","TB","RB","17","2025","34","73.9","-3.8","-30","-11.1","8","0.5","20.0","0.24","8","100.0","49","2.9","21.6","1.44","6.13","6.13","79","9.88","23","2.88","0","0.0","4","0","0","0","5","18.5","5","0.63","2","0.059","0","","8","100.0","5","62.5","0","0","0.0","0","92.2","21.6","0.5","","","","100.0","0.38","0.8","12.9","14.6","0.9","0.43","14.6"
"16","Isiah Pacheco","KC","RB","13","2025","42","70.0","-1.0","-10","-3.6","10","0.8","21.3","0.24","9","90.0","48","3.7","16.0","1.14","4.80","5.33","57","6.33","8","0.89","0","0.0","0","0","0","0","6","18.8","1","0.11","1","0.024","1","10.0","10","100.0","2","20.0","0","0","0.0","0","86.7","23.3","-1.5","","","","100.0","0.33","1.1","13.8","16.9","1.3","0.40","16.9"
"17","Devin Neal","NO","RB","9","2025","33","76.7","-3.3","-26","-6.6","8","0.9","19.5","0.24","8","100.0","48","5.3","19.1","1.45","6.00","6.00","74","9.25","47","5.88","0","0.0","0","0","0","0","1","4.2","4","0.50","3","0.091","0","","8","100.0","1","12.5","0","0","0.0","0","91.7","21.1","0.3","","","","100.0","0.39","1.4","12.8","11.4","1.3","0.35","11.4"
"18","Saquon Barkley","PHI","RB","16","2025","37","62.7","-2.4","-24","-7.7","10","0.6","20.4","0.27","7","70.0","46","2.9","13.9","1.24","4.60","6.57","60","8.57","36","5.14","0","0.0","0","0","0","0","2","6.5","6","0.86","1","0.027","1","10.0","8","80.0","1","10.0","0","0","0.0","0","79.6","21.3","-1.2","","","","100.0","0.31","0.7","11.6","14.7","0.9","0.40","14.7"
"19","RJ Harvey","DEN","RB","17","2025","31","68.9","1.5","9","3.1","6","0.4","14.6","0.19","5","83.3","45","2.6","14.4","1.45","7.50","9.00","35","7.00","8","1.60","1","100.0","1","0","0","1","3","12.0","0","","1","0.032","1","16.7","6","100.0","2","33.3","0","0","0.0","0","137.5","15.0","0.8","","","","100.0","0.50","0.9","15.5","10.6","0.6","0.34","10.6"
"20","James Cook","BUF","RB","17","2025","24","77.4","0.6","3","1.6","5","0.3","17.9","0.21","5","100.0","43","2.5","21.5","1.79","8.60","8.60","40","8.00","9","1.80","0","0.0","0","0","0","0","0","0.0","1","0.20","2","0.083","0","","5","100.0","0","","0","0","0.0","0","102.5","19.2","2.2","","","","100.0","0.39","0.5","9.3","6.9","0.4","0.29","6.9"
"21","Bucky Irving","TB","RB","10","2025","23","67.6","-1.9","-13","-3.0","7","0.7","20.6","0.30","6","85.7","40","4.0","10.7","1.74","5.71","6.67","65","10.83","9","1.50","0","0.0","1","0","0","0","3","13.6","3","0.50","2","0.087","0","","6","85.7","2","28.6","0","0","0.0","0","90.5","20.6","-0.1","","","","100.0","0.43","1.0","10.0","10.9","1.1","0.47","10.9"
"22","David Montgomery","DET","RB","17","2025","22","78.6","-1.3","-4","-2.0","3","0.2","11.1","0.14","3","100.0","39","2.3","16.5","1.77","13.00","13.00","43","14.33","8","2.67","0","0.0","0","0","0","0","1","5.6","0","","2","0.091","0","","3","100.0","1","33.3","0","0","0.0","0","118.8","12.5","6.8","","","","100.0","0.31","0.4","6.9","4.3","0.3","0.20","4.3"
"23","Javonte Williams","DAL","RB","16","2025","39","57.4","-3.4","-24","-5.2","7","0.4","11.9","0.18","6","85.7","37","2.3","9.1","0.95","5.29","6.17","57","9.50","27","4.50","0","0.0","2","0","0","0","2","5.3","2","0.33","1","0.026","0","","6","85.7","2","28.6","0","0","0.0","0","88.7","12.5","-0.5","","","","100.0","0.25","0.6","9.7","12.1","0.8","0.31","12.1"
"24","Devin Singletary","NYG","RB","17","2025","14","82.4","4.0","16","10.1","4","0.2","26.7","0.29","4","100.0","36","2.1","37.9","2.57","9.00","9.00","20","5.00","9","2.25","0","0.0","1","0","0","1","2","22.2","0","","1","0.071","0","","4","100.0","0","","2","2","100.0","1","104.2","28.6","1.4","","","","100.0","0.54","0.4","7.6","7.8","0.5","0.56","7.8"
