"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Kyle Monangai","CHI","RB","17","2025","3","20.0","0.0","0","0.0","1","0.1","7.1","0.33","1","100.0","7","0.4","35.0","2.33","7.00","7.00","7","7.00","6","6.00","0","0.0","0","0","0","0","1","10.0","2","2.00","1","0.333","0","","1","100.0","0","","0","0","0.0","0","95.8","7.7","1.2","","","","100.0","0.57","0.1","1.7","2.7","0.2","0.89","2.7"
"16","Tyjae Spears","TEN","RB","13","2025","2","28.6","-3.0","-3","25.0","1","0.1","16.7","0.50","1","100.0","7","0.5","58.3","3.50","7.00","7.00","10","10.00","2","2.00","0","0.0","1","0","0","0","1","25.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","95.8","25.0","0.9","","","","100.0","0.85","0.1","1.7","2.2","0.2","1.12","2.2"
"17","Isiah Pacheco","KC","RB","13","2025","2","50.0","-1.5","-3","-50.0","2","0.2","50.0","1.00","1","50.0","5","0.4","31.3","2.50","2.50","5.00","5","5.00","2","2.00","0","0.0","2","0","0","0","2","50.0","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","50.0","-3.5","","","","100.0","0.75","0.1","1.5","4.5","0.3","2.24","4.5"
"18","Kenneth Gainwell","PIT","RB","17","2025","4","57.1","0.0","0","0.0","1","0.1","14.3","0.25","1","100.0","5","0.3","13.5","1.25","5.00","5.00","5","5.00","2","2.00","1","100.0","1","0","0","0","1","20.0","1","1.00","1","0.250","0","","1","100.0","0","","0","0","0.0","0","127.1","16.7","-0.8","","","","100.0","1.88","0.4","7.5","2.6","0.2","0.66","2.6"
"19","Omarion Hampton","LAC","RB","9","2025","3","33.3","0.0","0","0.0","1","0.1","14.3","0.33","1","100.0","4","0.4","10.5","1.33","4.00","4.00","4","4.00","","","1","100.0","1","0","0","0","1","14.3","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","122.9","14.3","-1.8","","","","100.0","2.47","0.8","7.4","3.0","0.3","1.00","3.0"
"20","Javonte Williams","DAL","RB","16","2025","7","36.8","-0.7","-2","-2.1","3","0.2","15.8","0.43","1","33.3","4","0.3","7.8","0.57","1.33","4.00","4","4.00","","","1","25.0","2","0","0","0","2","13.3","0","","1","0.143","0","","3","100.0","1","33.3","2","0","0.0","0","81.9","16.7","-4.7","","","","100.0","1.06","0.5","7.4","6.0","0.4","0.85","6.0"
"21","LeQuint Allen","JAX","RB","17","2025","3","33.3","-2.0","-2","-2.2","1","0.1","11.1","0.33","1","100.0","3","0.2","2.6","1.00","3.00","3.00","5","5.00","3","3.00","0","0.0","0","0","0","0","1","14.3","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","79.2","11.1","-3.2","","","","100.0","0.43","0.1","1.3","1.5","0.1","0.49","1.5"
"22","TreVeyon Henderson","NE","RB","17","2025","1","20.0","1.0","1","1.8","1","0.1","20.0","1.00","1","100.0","2","0.1","66.7","2.00","2.00","2.00","1","1.00","-1","-1.00","0","0.0","1","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","33.3","-3.7","","","","100.0","1.20","0.1","1.2","2.6","0.2","2.62","2.6"
"23","Chuba Hubbard","CAR","RB","15","2025","3","50.0","-4.5","-9","-50.0","2","0.1","40.0","0.67","2","100.0","-5","-0.3","166.7","-1.67","-2.50","-2.50","4","2.00","1","0.50","0","0.0","1","0","0","0","2","40.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","79.2","40.0","-8.1","","","","100.0","0.50","0.1","1.5","3.3","0.2","1.09","3.3"
"24","Charlie Woerner","ATL","TE","17","2025","3","42.9","-7.0","-7","-15.9","1","0.1","14.3","0.33","1","100.0","-5","-0.3","-25.0","-1.67","-5.00","-5.00","2","2.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","1","1","100.0","0","79.2","14.3","-11.1","","","","100.0","0.17","0.0","0.5","0.9","0.1","0.30","0.9"
"25","Malik Davis","DAL","RB","10","2025","1","20.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"26","Kimani Vidal","LAC","RB","13","2025","2","50.0","3.0","3","9.1","1","0.1","33.3","0.50","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","1","0","0","0","1","33.3","0","","0","0.000","0","","0","","0","","0","0","0.0","0","39.6","33.3","-6.5","","","","100.0","0.00","","0.0","1.8","0.1","0.91","1.8"
"27","Ty Johnson","BUF","RB","17","2025","1","20.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"28","AJ Dillon","PHI","RB","7","2025","1","50.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"29","Connor Heyward","PIT","TE","16","2025","1","50.0","17.0","17","100.0","1","0.1","100.0","1.00","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","1","1","0","0","1","100.0","0","","0","0.000","1","100.0","1","100.0","0","","0","0","0.0","0","39.6","100.0","-11.7","","","","100.0","0.00","","0.0","3.0","0.2","2.98","3.0"
"30","Dawson Knox","BUF","TE","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"31","Jeremy McNichols","WAS","RB","17","2025","2","18.2","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"32","Zach Charbonnet","SEA","RB","16","2025","1","14.3","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"33","Devin Neal","NO","RB","9","2025","2","40.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"34","J.K. Dobbins","DEN","RB","10","2025","1","16.7","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"35","Rachaad White","TB","RB","17","2025","2","40.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"36","Jonathan Taylor","IND","RB","17","2025","7","36.8","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","3.0","0.2","0.43","3.0"
"37","Colston Loveland","CHI","TE","16","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"38","DK Metcalf","PIT","WR","15","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"39","Ray Davis","BUF","RB","17","2025","1","20.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
