"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Dak Prescott","DAL","QB","17","2025","110","99","69","69.7","875","51.5","8.84","2","2","32","95.3","5","4.5","30","7.64","6","42","0","7.8","8.8","793","16.2","16","48.1","80.5","50.5","56.6","75.8","11.1","6.1","4.0","2","1.0","5","2.77","2.55","4.3","4.6","1","41","37.3","12.2","3.14","16.2","1.8","5","4","0","0.41","0.41","2.7","45.2","110"
"2","Jared Goff","DET","QB","17","2025","106","98","78","79.6","869","51.1","8.87","1","3","38","94.3","7","6.6","40","6.80","1","6","0","10.6","7.2","680","7.1","7","49.6","86.0","63.3","74.5","83.7","11.2","5.1","4.1","0","2.0","9","2.65","2.52","3.3","5.0","0","37","34.9","18.9","1.85","12.2","1.9","4","0","0","0.33","0.33","2.1","35.4","106"
"3","Drake Maye","NE","QB","17","2025","97","77","56","72.7","644","37.9","8.36","1","1","26","96.5","7","7.2","20","7.13","13","80","1","14.0","8.0","556","11.7","9","40.8","87.3","49.4","58.4","83.1","7.8","3.9","","0","7.8","67","3.11","2.73","4.3","4.3","4","41","42.3","17.1","7.59","19.5","","5","0","0","0.44","0.44","2.5","42.8","97"
"4","Aaron Rodgers","PIT","QB","16","2025","75","68","55","80.9","620","38.8","9.12","2","0","25","114.5","7","9.3","35","8.33","0","0","0","8.8","4.3","277","5.9","4","73.2","89.2","61.8","82.4","88.2","7.4","2.9","","0","4.4","28","2.26","2.38","3.4","","1","19","25.3","36.8","-1.00","17.6","8.0","3","0","0","0.44","0.44","2.1","32.8","75"
"5","Trevor Lawrence","JAX","QB","17","2025","80","71","48","67.6","597","35.1","8.41","2","0","28","102.8","6","7.5","25","7.95","3","16","0","12.5","8.0","509","12.7","9","52.8","85.7","62.0","62.0","84.5","4.2","5.6","","1","8.5","62","2.60","2.55","3.9","4.9","3","28","35.0","21.4","3.96","7.0","2.5","2","5","0","0.42","0.42","2.0","33.5","80"
"6","Bo Nix","DEN","QB","17","2025","103","96","64","66.7","596","35.1","6.21","2","2","36","81.8","3","2.9","12","5.39","4","21","0","4.8","6.8","590","9.4","9","51.8","81.6","55.2","57.3","75.0","15.6","1.0","6.3","3","7.3","30","2.88","2.53","3.3","4.5","1","38","36.9","7.9","-0.20","15.6","8.7","8","1","0","0.31","0.31","1.9","31.9","103"
"7","Justin Herbert","LAC","QB","16","2025","73","61","49","80.3","579","36.2","9.49","2","1","23","110.3","5","6.8","26","8.30","7","70","0","15.9","9.2","544","19.7","12","32.5","87.9","52.5","70.5","86.9","8.2","13.1","","2","3.3","29","2.66","2.42","3.1","4.2","1","27","37.0","18.5","6.90","11.5","","0","2","0","0.51","0.51","2.3","37.2","73"
"8","Baker Mayfield","TB","QB","17","2025","88","78","54","69.2","577","33.9","7.40","1","2","30","84.2","5","5.7","30","5.75","5","26","0","3.2","7.7","582","9.0","7","54.9","77.0","62.8","62.8","78.2","16.7","5.1","3.8","3","3.8","32","2.69","2.63","2.7","5.8","1","27","30.7","18.5","-1.59","9.0","1.1","2","0","0","0.31","0.31","1.6","27.7","88"
"9","Jalen Hurts","PHI","QB","16","2025","89","80","59","73.8","576","36.0","7.20","2","0","24","101.9","5","5.6","24","6.96","4","15","0","12.8","7.1","481","6.3","5","41.5","88.6","46.3","60.0","78.8","8.8","5.0","1.3","0","3.8","29","2.94","2.50","4.2","5.0","1","39","43.8","12.8","7.11","21.3","1.1","7","2","0","0.35","0.35","2.0","31.5","89"
"10","Cam Ward","TEN","QB","17","2025","99","87","53","60.9","544","32.0","6.25","0","1","22","74.1","6","6.1","41","4.92","6","38","0","-4.4","7.1","590","10.3","9","48.9","71.1","58.6","56.3","70.1","25.3","4.6","3.4","0","6.9","61","2.82","2.65","3.7","5.4","2","31","31.3","19.4","-2.66","16.1","4.0","4","0","0","0.25","0.25","1.4","24.6","99"
