"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Jaylen Warren","PIT","RB","16","2025","2","66.7","-2.0","-2","-7.7","1","0.1","33.3","0.50","1","100.0","5","0.3","50.0","2.50","5.00","5.00","7","7.00","3","3.00","0","0.0","0","0","0","0","1","33.3","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","87.5","33.3","-1.2","","","","100.0","0.75","0.1","1.5","1.4","0.1","0.72","1.4"
"16","Dylan Sampson","CLV","RB","15","2025","3","100.0","0.0","0","0.0","1","0.1","50.0","0.33","1","100.0","3","0.2","100.0","1.00","3.00","3.00","3","3.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","50.0","-2.8","","","","100.0","0.43","0.1","1.3","1.3","0.1","0.43","1.3"
"17","Antonio Gibson","NE","RB","5","2025","1","100.0","-4.0","-4","100.0","1","0.2","100.0","1.00","1","100.0","1","0.2","100.0","1.00","1.00","1.00","5","5.00","3","3.00","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","79.2","100.0","-4.6","","","","100.0","1.10","0.2","1.1","1.5","0.3","1.51","1.5"
"18","Jerome Ford","CLV","RB","13","2025","8","80.0","1.0","1","2.1","1","0.1","14.3","0.13","1","100.0","1","0.1","1.9","0.13","1.00","1.00","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","79.2","16.7","-4.7","","","","100.0","0.14","0.1","1.1","1.2","0.1","0.15","1.2"
"19","Jordan Mason","MIN","RB","16","2025","7","87.5","-2.5","-5","-16.1","2","0.1","33.3","0.29","2","100.0","-3","-0.2","-12.5","-0.43","-1.50","-1.50","2","1.00","4","2.00","0","0.0","1","0","0","0","1","25.0","0","","0","0.000","0","","2","100.0","1","50.0","0","0","0.0","0","79.2","40.0","-7.3","","","","100.0","0.24","0.1","1.7","3.1","0.2","0.45","3.1"
"20","Quinshon Judkins","CLV","RB","14","2025","3","100.0","-6.0","-6","100.0","1","0.1","100.0","0.33","1","100.0","-6","-0.4","100.0","-2.00","-6.00","-6.00","0","","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","1","100.0","1","1","100.0","0","79.2","100.0","-11.1","","","","100.0","0.13","0.0","0.4","1.4","0.1","0.46","1.4"
"21","Kareem Hunt","KC","RB","17","2025","8","80.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"22","Malik Davis","DAL","RB","10","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"23","Kimani Vidal","LAC","RB","13","2025","4","66.7","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"24","Ameer Abdullah","IND","RB","13","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"25","Devin Singletary","NYG","RB","17","2025","1","100.0","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"26","Devin Neal","NO","RB","9","2025","4","66.7","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
"27","TreVeyon Henderson","NE","RB","17","2025","7","87.5","0.0","0","0.0","0","0.0","0.0","","0","","0","0.0","0.0","","0.00","","0","","","","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","0","","0","","0","","0","0","0.0","0","0.0","","","","","","100.0","0.00","","0.0","0.0","0.0","0.00","0.0"
