"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Detroit Lions","17","2025","Detroit","Lions","280","15.0","1008","67","0.24","38","56.7","665","39.1","2.38","9.93","17.50","166","4.37","39","1.03","7","10","6","3","2","0.05","26","0.093","7","10.4","53","79.1","2","3.0","21","9","42.9","2","113.1","55","82.1","0.7","100.0","","",""
"2","Baltimore Ravens","17","2025","Baltimore","Ravens","333","13.9","1039","75","0.23","39","52.0","600","35.3","1.80","8.00","15.38","139","3.56","49","1.26","2","12","8","2","4","0.10","26","0.078","5","6.7","52","69.3","1","1.3","22","12","54.5","0","82.1","63","84.0","-1.0","100.0","","",""
"3","New York Giants","17","2025","New York","Giants","286","12.2","807","66","0.23","40","60.6","547","32.2","1.91","8.29","13.68","155","3.88","65","1.63","3","6","5","1","0","","28","0.098","9","13.6","53","80.3","1","1.5","11","6","54.5","1","102.3","57","86.4","-0.2","100.0","","",""
"4","Dallas Cowboys","17","2025","Dallas","Cowboys","186","14.9","639","43","0.23","26","60.5","526","30.9","2.83","12.23","20.23","185","7.12","92","3.54","4","8","7","3","7","0.27","22","0.118","1","2.3","28","65.1","1","2.3","8","6","75.0","1","134.4","38","88.4","3.0","100.0","","",""
"5","Pittsburgh Steelers","17","2025","Pittsburgh","Steelers","261","12.0","744","62","0.24","39","62.9","476","28.0","1.82","7.68","12.21","121","3.10","50","1.28","4","8","4","2","3","0.08","25","0.096","3","4.8","48","77.4","1","1.6","16","10","62.5","1","101.3","52","83.9","-0.8","100.0","","",""
"6","Cleveland Browns","17","2025","Cleveland","Browns","273","13.5","865","64","0.23","34","53.1","453","26.6","1.66","7.08","13.32","94","2.76","32","0.94","5","10","8","3","2","0.06","26","0.095","6","9.4","48","75.0","2","3.1","17","7","41.2","2","95.4","54","84.4","-1.9","100.0","","",""
"7","Indianapolis Colts","17","2025","Indianapolis","Colts","229","14.9","776","52","0.23","28","53.8","431","25.4","1.88","8.29","15.39","119","4.25","38","1.36","2","6","1","1","2","0.07","22","0.096","3","5.8","35","67.3","1","1.9","8","4","50.0","0","94.3","43","82.7","-0.5","100.0","","",""
"8","Houston Texans","17","2025","Houston","Texans","177","11.8","483","41","0.23","26","63.4","390","22.9","2.20","9.51","15.00","155","5.96","62","2.38","4","7","5","2","5","0.19","20","0.113","3","7.3","35","85.4","4","9.8","11","3","27.3","0","106.8","35","85.4","0.9","100.0","","",""
"9","Washington Commanders","17","2025","Washington","Commanders","202","12.2","563","46","0.23","28","60.9","387","22.8","1.92","8.41","13.82","167","5.96","67","2.39","3","6","5","2","6","0.21","24","0.119","2","4.3","33","71.7","0","","9","6","66.7","1","109.6","39","84.8","0.0","100.0","","",""
"10","New York Jets","17","2025","New York","Jets","194","10.3","506","49","0.25","27","55.1","369","21.7","1.90","7.53","13.67","132","4.89","33","1.22","4","7","5","1","0","","22","0.113","4","8.2","36","73.5","4","8.2","12","5","41.7","0","106.6","43","87.8","-0.3","100.0","","",""
"11","New England Patriots","17","2025","New England","Patriots","264","13.3","772","58","0.22","27","46.6","368","21.6","1.39","6.34","13.63","130","4.81","28","1.04","4","6","4","3","2","0.07","23","0.087","8","13.8","37","63.8","1","1.7","10","5","50.0","2","75.9","46","79.3","-2.7","100.0","","",""
"12","Chicago Bears","16","2025","Chicago","Bears","179","11.3","453","40","0.22","27","67.5","360","22.5","2.01","9.00","13.33","110","4.07","32","1.19","3","4","4","2","2","0.07","18","0.101","3","7.5","31","77.5","0","","8","6","75.0","2","110.4","35","87.5","1.1","100.0","","",""
"13","Philadelphia Eagles","16","2025","Philadelphia","Eagles","205","12.2","572","47","0.23","26","55.3","353","22.1","1.72","7.51","13.58","132","5.08","41","1.58","1","3","2","0","3","0.12","18","0.088","5","10.6","36","76.6","1","2.1","14","8","57.1","1","86.6","39","83.0","-1.0","100.0","","",""
"14","Denver Broncos","17","2025","Denver","Broncos","267","11.7","734","63","0.24","34","54.0","353","20.8","1.32","5.60","10.38","97","2.85","40","1.18","1","8","5","1","2","0.06","22","0.082","2","3.2","45","71.4","2","3.2","13","5","38.5","1","69.1","58","92.1","-2.7","100.0","","",""
"15","Los Angeles Rams","17","2025","Los Angeles","Rams","210","10.9","500","46","0.22","24","52.2","334","19.6","1.59","7.26","13.92","83","3.46","49","2.04","1","1","0","0","3","0.13","18","0.086","0","","33","71.7","1","2.2","17","7","41.2","1","64.9","36","78.3","-1.1","100.0","","",""
