"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"10","Indianapolis Colts","14","2025","Indianapolis","Colts","49","5.9","65","11","0.22","6","54.5","71","5.1","1.45","6.45","11.83","50","8.33","16","2.67","0","2","2","0","1","0.17","3","0.061","0","","10","90.9","1","9.1","6","2","33.3","0","74.4","8","72.7","-1.0","","","100.0",""
"11","Jacksonville Jaguars","8","2025","Jacksonville","Jaguars","16","3.2","16","5","0.31","5","100.0","66","8.3","4.13","13.20","13.20","50","10.00","8","1.60","0","3","0","0","0","","4","0.250","0","","5","100.0","1","20.0","1","1","100.0","0","118.8","4","80.0","6.8","","","100.0",""
"12","Arizona Cardinals","14","2025","Arizona","Cardinals","63","9.7","146","15","0.24","6","40.0","65","4.6","1.03","4.33","10.83","11","1.83","","","5","9","3","2","0","","5","0.079","4","26.7","12","80.0","1","6.7","4","0","0.0","0","93.1","11","73.3","-3.6","","","100.0",""
"13","Pittsburgh Steelers","13","2025","Pittsburgh","Steelers","46","3.2","35","11","0.24","8","72.7","62","4.8","1.35","5.64","7.75","54","6.75","16","2.00","0","7","1","0","1","0.13","2","0.043","1","9.1","9","81.8","1","9.1","2","1","50.0","0","86.2","9","81.8","-1.1","","","100.0",""
"14","Miami Dolphins","11","2025","Miami","Dolphins","34","0.3","3","9","0.26","9","100.0","60","5.5","1.76","6.67","6.67","57","6.33","7","0.78","0","2","0","0","0","","3","0.088","0","","9","100.0","2","22.2","0","0","0.0","0","94.4","8","88.9","1.7","","","100.0",""
"15","Kansas City Chiefs","13","2025","Kansas City","Chiefs","32","9.1","73","8","0.25","5","62.5","58","4.5","1.81","7.25","11.60","26","5.20","14","2.80","0","0","0","0","0","","3","0.094","0","","6","75.0","0","","1","0","0.0","0","44.8","5","62.5","-1.2","","","100.0",""
"16","Detroit Lions","9","2025","Detroit","Lions","34","5.2","52","10","0.29","5","50.0","58","6.4","1.71","5.80","11.60","31","6.20","13","2.60","0","2","0","0","0","","3","0.088","1","10.0","6","60.0","1","10.0","1","0","0.0","0","67.9","6","60.0","-1.4","","","100.0",""
"17","Seattle Seahawks","14","2025","Seattle","Seahawks","60","4.6","65","14","0.23","9","64.3","54","3.9","0.90","3.86","6.00","40","4.44","8","0.89","1","5","2","0","2","0.22","7","0.117","1","7.1","12","85.7","1","7.1","2","0","0.0","0","95.5","10","71.4","-3.3","","","100.0",""
"18","Dallas Cowboys","12","2025","Dallas","Cowboys","38","4.6","41","9","0.24","6","66.7","52","4.3","1.37","5.78","8.67","35","5.83","11","1.83","0","0","0","0","0","","3","0.079","1","11.1","7","77.8","1","11.1","1","1","100.0","0","81.7","7","77.8","-1.2","","","100.0",""
"19","Philadelphia Eagles","15","2025","Philadelphia","Eagles","56","4.8","62","13","0.23","8","61.5","50","3.3","0.89","3.85","6.25","32","4.00","23","2.88","0","1","1","0","1","0.13","2","0.036","1","7.7","10","76.9","1","7.7","2","2","100.0","0","69.4","9","69.2","-3.0","","","100.0",""
"20","New York Jets","10","2025","New York","Jets","24","4.0","32","8","0.33","6","75.0","44","4.4","1.83","5.50","7.33","32","5.33","7","1.17","1","1","1","1","0","","4","0.167","1","12.5","7","87.5","0","","2","2","100.0","0","127.1","7","87.5","-1.3","","","100.0",""
"21","Carolina Panthers","8","2025","Carolina","Panthers","27","3.5","21","6","0.22","5","83.3","42","5.3","1.56","7.00","8.40","21","4.20","8","1.60","0","1","0","0","1","0.20","2","0.074","1","16.7","6","100.0","1","16.7","2","1","50.0","0","95.8","5","83.3","0.5","","","100.0",""
"22","Los Angeles Rams","16","2025","Los Angeles","Rams","23","0.8","4","5","0.22","4","80.0","36","2.3","1.57","7.20","9.00","29","7.25","18","4.50","0","0","0","0","0","","1","0.043","0","","4","80.0","1","20.0","3","3","100.0","0","96.7","4","80.0","0.9","","","100.0",""
"23","Atlanta Falcons","11","2025","Atlanta","Falcons","16","8.5","34","4","0.25","2","50.0","35","3.2","2.19","8.75","17.50","17","8.50","5","2.50","0","1","0","0","0","","2","0.125","1","25.0","4","100.0","0","","2","0","0.0","0","40.6","3","75.0","0.7","","","100.0",""
"24","New York Giants","14","2025","New York","Giants","38","1.9","21","11","0.29","8","72.7","33","2.4","0.87","3.00","4.13","18","2.25","10","1.25","1","2","0","0","2","0.25","2","0.053","2","18.2","11","100.0","3","27.3","3","1","33.3","0","105.5","10","90.9","-3.1","","","100.0",""
"25","New Orleans Saints","10","2025","New Orleans","Saints","22","5.4","27","5","0.23","4","80.0","33","3.3","1.50","6.60","8.25","26","6.50","10","2.50","0","2","0","0","1","0.25","2","0.091","0","","4","80.0","1","20.0","0","0","0.0","0","94.2","4","80.0","-1.0","","","100.0",""
"26","Buffalo Bills","13","2025","Buffalo","Bills","22","8.2","41","5","0.23","3","60.0","32","2.5","1.45","6.40","10.67","27","9.00","5","1.67","0","1","0","0","0","","1","0.045","0","","4","80.0","0","","1","0","0.0","0","78.8","4","80.0","-1.5","","","100.0",""
"27","Houston Texans","14","2025","Houston","Texans","31","7.4","67","9","0.29","5","55.6","30","2.1","0.97","3.33","6.00","37","7.40","28","5.60","0","2","1","0","1","0.20","2","0.065","0","","6","66.7","1","11.1","1","0","0.0","0","62.3","6","66.7","-4.2","","","100.0",""
"28","Green Bay Packers","12","2025","Green Bay","Packers","13","3.7","11","3","0.23","2","66.7","22","1.8","1.69","7.33","11.00","10","5.00","5","2.50","0","0","0","0","0","","2","0.154","0","","2","66.7","0","","0","0","0.0","0","88.2","1","33.3","1.1","","","100.0",""
"29","Tampa Bay Buccaneers","10","2025","Tampa Bay","Buccaneers","29","7.1","50","7","0.24","3","42.9","18","1.8","0.62","2.57","6.00","22","7.33","28","9.33","0","0","0","0","3","1.00","1","0.034","0","","4","57.1","0","","1","0","0.0","0","10.7","4","57.1","-4.5","","","100.0",""
"30","Los Angeles Chargers","11","2025","Los Angeles","Chargers","7","2.5","5","2","0.29","2","100.0","15","1.4","2.14","7.50","7.50","10","5.00","3","1.50","0","1","0","0","0","","1","0.143","0","","2","100.0","0","","0","0","0.0","0","97.9","2","100.0","1.2","","","100.0",""
"31","Minnesota Vikings","9","2025","Minnesota","Vikings","9","7.0","14","2","0.22","1","50.0","11","1.2","1.22","5.50","11.00","0","","","","0","0","0","0","0","","1","0.111","0","","1","50.0","0","","0","0","0.0","0","66.7","1","50.0","-2.0","","","100.0",""
"32","Las Vegas Raiders","12","2025","Las Vegas","Raiders","6","-0.5","-1","2","0.33","2","100.0","6","0.5","1.00","3.00","3.00","7","3.50","-1","-0.50","1","1","0","0","0","","1","0.167","0","","2","100.0","1","50.0","0","0","0.0","0","118.8","1","50.0","-3.1","","","100.0",""
