"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Cleveland Browns","14","2025","Cleveland","Browns","90","2.7","61","23","0.26","18","78.3","198","14.1","2.20","8.61","11.00","155","8.61","50","2.78","1","4","0","0","3","0.17","11","0.122","2","8.7","20","87.0","1","4.3","1","1","100.0","0","117.0","18","78.3","2.7","","","100.0",""
"2","Washington Commanders","16","2025","Washington","Commanders","98","3.6","87","24","0.24","19","79.2","186","11.6","1.90","7.75","9.79","142","7.47","54","2.84","5","8","3","1","3","0.16","12","0.122","1","4.2","23","95.8","3","12.5","6","3","50.0","0","138.5","18","75.0","1.0","","","95.8",""
"3","Tennessee Titans","12","2025","Tennessee","Titans","62","3.7","52","14","0.23","13","92.9","167","13.9","2.69","11.93","12.85","120","9.23","31","2.38","0","1","0","0","1","0.08","8","0.129","0","","14","100.0","3","21.4","1","0","0.0","0","116.4","11","78.6","5.3","","","100.0",""
"4","Denver Broncos","14","2025","Denver","Broncos","83","5.9","118","20","0.24","15","75.0","132","9.4","1.59","6.60","8.80","50","3.33","14","0.93","1","2","1","1","0","","8","0.096","1","5.0","18","90.0","0","","3","1","33.3","0","108.8","14","70.0","-0.6","","","100.0",""
"5","Baltimore Ravens","10","2025","Baltimore","Ravens","70","6.6","106","16","0.23","11","68.8","92","9.2","1.31","5.75","8.36","46","4.18","22","2.00","1","7","3","1","1","0.09","5","0.071","0","","11","68.8","1","6.3","3","3","100.0","1","104.2","12","75.0","-1.8","","","93.8",""
"6","San Francisco 49ers","15","2025","San Francisco","49ers","59","4.6","69","15","0.25","11","73.3","88","5.9","1.49","5.87","8.00","49","4.45","13","1.18","0","1","0","0","1","0.09","8","0.136","0","","11","73.3","1","6.7","1","1","100.0","0","87.6","8","53.3","-1.2","","","100.0",""
"7","Chicago Bears","15","2025","Chicago","Bears","50","4.2","55","13","0.26","12","92.3","87","5.8","1.74","6.69","7.25","51","4.25","15","1.25","0","2","1","0","0","","6","0.120","0","","13","100.0","2","15.4","3","2","66.7","0","94.6","11","84.6","-0.1","","","100.0",""
"8","Cincinnati Bengals","11","2025","Cincinnati","Bengals","46","8.2","82","10","0.22","7","70.0","80","7.3","1.74","8.00","11.43","52","7.43","14","2.00","0","1","0","0","2","0.29","5","0.109","0","","8","80.0","1","10.0","2","0","0.0","0","93.8","9","90.0","0.5","","","100.0",""
"9","New England Patriots","14","2025","New England","Patriots","54","4.6","55","12","0.22","10","83.3","77","5.5","1.43","6.42","7.70","39","3.90","19","1.90","2","2","2","2","0","","6","0.111","1","8.3","11","91.7","0","","3","3","100.0","0","133.0","10","83.3","-0.8","","","100.0",""
