"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Sam Darnold","SEA","QB","17","2025","101","95","70","73.7","930","54.7","9.79","2","2","39","102.5","5","5.0","22","8.58","1","3","0","8.3","8.7","812","11.6","11","40.1","81.7","72.6","71.6","82.1","14.7","6.3","2.1","2","6.3","31","2.46","2.54","3.6","6.8","2","29","28.7","17.2","-1.85","6.3","3.0","2","0","0","0.42","0.42","2.5","42.5","101"
"2","Baker Mayfield","TB","QB","17","2025","96","89","59","66.3","750","44.1","8.43","4","1","28","102.7","2","2.1","8","8.54","5","28","0","2.3","9.5","796","19.1","17","58.9","73.8","62.9","62.9","78.7","15.7","7.9","5.6","4","3.4","35","2.63","2.55","2.9","5.6","0","24","25.0","8.3","-7.87","10.1","3.1","2","2","0","0.50","0.50","2.8","47.8","96"
"3","Tyler Shough","NO","QB","11","2025","106","96","65","67.7","729","66.3","7.59","3","3","32","87.5","5","4.7","42","6.06","5","25","0","3.1","8.3","780","13.5","13","55.4","76.1","71.9","63.5","80.2","15.6","6.3","5.2","8","5.2","51","2.42","2.31","2.9","4.9","2","37","34.9","13.5","6.15","13.5","4.7","1","2","0","0.38","0.38","3.7","40.7","106"
"4","Jacoby Brissett","ARZ","QB","14","2025","112","106","68","64.2","717","51.2","6.76","7","2","31","97.9","6","5.4","27","6.61","0","0","0","3.8","8.8","831","10.4","11","41.7","76.6","61.3","53.8","72.6","14.2","3.8","1.9","11","3.8","65","2.87","2.71","4.2","","2","38","33.9","15.8","-3.50","11.3","","10","2","0","0.49","0.49","3.9","54.7","112"
"5","Jared Goff","DET","QB","17","2025","85","82","60","73.2","717","42.2","8.74","4","0","30","115.8","2","2.4","17","9.29","1","6","0","13.5","8.6","614","11.0","9","51.0","88.0","69.5","69.5","81.7","9.8","4.9","","4","7.3","53","2.51","2.60","2.6","5.3","0","22","25.9","9.1","-6.29","4.9","","6","0","0","0.53","0.53","2.7","45.3","85"
"6","Matthew Stafford","LA","QB","17","2025","113","106","64","60.4","699","41.1","6.59","2","1","27","82.2","5","4.4","34","5.95","2","5","0","2.0","9.0","855","13.2","14","41.5","75.3","64.2","59.4","73.6","17.0","1.9","2.8","3","8.5","66","2.69","2.81","3.2","5.3","1","34","30.1","14.7","-4.13","8.5","","7","1","0","0.31","0.31","2.1","35.5","113"
"7","Trevor Lawrence","JAX","QB","17","2025","102","91","58","63.7","685","40.3","7.53","1","3","31","76.5","4","3.9","22","5.77","7","43","1","1.5","9.4","836","14.3","13","37.5","72.7","72.5","61.5","78.0","15.4","5.5","4.4","3","6.6","41","2.62","2.78","3.9","6.3","2","28","27.5","14.3","-3.98","6.6","1.0","1","1","0","0.38","0.38","2.3","38.7","102"
"8","Dak Prescott","DAL","QB","17","2025","105","90","61","67.8","658","38.7","7.31","2","4","28","77.9","8","7.6","67","4.60","7","45","0","0.9","9.1","771","15.6","14","50.6","74.1","62.2","57.8","77.8","12.2","3.3","5.6","6","2.2","26","2.72","2.68","3.6","5.2","2","45","42.9","17.8","11.16","8.9","1.0","3","2","0","0.33","0.33","2.0","34.8","105"
"9","Bryce Young","CAR","QB","16","2025","114","103","73","70.9","657","41.1","6.38","4","2","28","92.6","5","4.4","40","5.62","6","41","0","3.0","5.4","502","4.9","5","57.2","81.3","64.1","56.3","75.7","12.6","2.9","1.9","4","1.0","14","2.60","2.40","2.8","5.1","2","38","33.3","13.2","1.77","8.7","1.8","7","2","0","0.39","0.39","2.8","44.4","114"
"10","Bo Nix","DEN","QB","17","2025","116","106","66","62.3","645","37.9","6.08","5","0","29","95.0","2","1.7","19","6.72","8","69","0","1.9","8.2","810","13.2","14","54.0","76.5","62.3","57.5","74.5","16.0","3.8","0.9","6","8.5","46","2.78","2.66","3.2","4.7","0","42","36.2","4.8","1.49","9.4","6.9","4","3","0","0.45","0.45","3.1","52.7","116"
