"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"11","Daniel Jones","IND","QB","13","2025","88","78","58","74.4","611","47.0","7.83","1","1","31","95.6","6","6.8","37","6.54","4","45","0","7.9","6.8","512","6.4","5","45.7","84.0","80.8","60.3","85.9","9.0","","1.3","1","6.4","32","2.41","2.60","2.9","5.3","1","23","26.1","26.1","-1.92","7.7","5.7","1","2","0","0.35","0.35","2.4","30.9","88"
"12","Caleb Williams","CHI","QB","17","2025","81","76","47","61.8","605","35.6","7.96","4","0","24","104.3","0","","0","9.01","5","42","0","7.7","11.7","782","17.1","13","33.6","76.1","56.6","59.2","73.7","13.2","5.3","2.6","6","5.3","35","3.16","2.76","","6.1","0","31","38.3","","-3.57","5.3","","7","2","0","0.55","0.55","2.6","44.4","81"
"13","Justin Herbert","LAC","QB","16","2025","93","77","60","77.9","603","37.7","7.83","2","3","28","91.7","11","11.8","61","5.08","5","31","0","10.3","6.1","454","13.0","10","58.0","87.8","62.3","71.4","87.0","9.1","9.1","1.3","4","6.5","10","2.51","2.61","3.9","4.8","3","37","39.8","29.7","12.13","13.0","5.4","2","1","0","0.34","0.34","2.0","31.2","93"
"14","Jordan Love","GB","QB","15","2025","72","66","48","72.7","578","38.5","8.76","2","1","26","103.0","3","4.2","24","7.96","3","22","0","11.8","10.1","607","16.7","11","40.5","83.3","62.1","59.1","75.8","15.2","6.1","3.0","5","3.0","-1","2.79","2.91","3.7","7.2","2","24","33.3","12.5","-1.66","12.1","5.6","5","1","0","0.45","0.45","2.2","32.3","72"
"15","Drake Maye","NE","QB","17","2025","70","60","48","80.0","534","31.4","8.90","2","1","22","107.9","5","7.1","23","7.78","5","40","0","12.9","10.9","653","20.0","12","41.0","83.3","75.0","71.7","88.3","10.0","6.7","1.7","6","3.3","14","2.57","2.77","5.0","5.2","2","23","32.9","21.7","3.36","10.0","1.4","0","0","0","0.46","0.46","1.9","32.4","70"
"16","Patrick Mahomes","KC","QB","14","2025","99","81","56","69.1","532","38.0","6.57","1","0","27","91.2","5","5.1","27","6.10","13","97","0","-0.7","6.3","492","7.4","6","63.9","76.6","72.8","60.5","76.5","16.0","","2.5","0","3.7","7","2.21","2.87","4.7","5.4","3","29","29.3","17.2","6.15","6.2","10.1","2","1","0","0.35","0.35","2.5","35.0","99"
"17","C.J. Stroud","HST","QB","14","2025","68","64","41","64.1","512","36.6","8.00","1","1","21","87.5","3","4.4","15","7.04","1","15","0","-3.0","8.5","511","17.2","11","46.7","68.3","73.4","51.6","67.2","26.6","7.8","3.1","0","","0","2.56","2.63","3.1","5.5","1","20","29.4","15.0","-2.83","12.5","1.5","2","2","0","0.37","0.37","1.8","25.0","68"
"18","Aaron Rodgers","PIT","QB","16","2025","79","74","54","73.0","479","29.9","6.47","1","0","18","94.4","3","3.8","14","6.30","2","10","0","5.7","6.3","433","12.2","9","59.5","82.6","74.3","62.2","83.8","9.5","5.4","","1","4.1","60","2.28","2.75","3.5","5.5","2","19","24.1","15.8","-3.52","8.1","6.3","5","0","0","0.31","0.31","1.5","24.2","79"
"19","Geno Smith","LV","QB","15","2025","94","77","45","58.4","445","29.7","5.78","4","2","17","81.4","13","13.8","97","3.76","4","9","0","-5.9","6.4","467","9.1","7","63.6","71.2","70.1","57.1","74.0","20.8","2.6","1.3","4","9.1","41","2.64","2.64","3.8","5.5","4","32","34.0","40.6","4.84","9.1","2.1","4","0","0","0.35","0.35","2.2","32.7","94"
"20","Mac Jones","SF","QB","11","2025","75","70","45","64.3","435","39.5","6.21","1","1","17","80.4","2","2.7","17","5.46","3","28","0","-0.1","8.4","566","10.0","7","47.8","73.1","68.6","61.4","75.7","18.6","5.7","1.4","2","5.7","70","2.49","2.54","3.2","5.6","1","20","26.7","10.0","-4.23","10.0","","2","1","0","0.31","0.31","2.1","23.2","75"
"21","Jalen Hurts","PHI","QB","16","2025","87","73","48","65.8","435","27.2","5.96","0","2","17","70.3","4","4.6","23","4.18","10","63","0","-3.7","7.7","540","9.6","7","43.7","71.4","65.8","61.6","78.1","17.8","2.7","2.7","3","2.7","1","2.83","2.64","4.3","5.6","1","36","41.4","11.1","8.70","11.0","6.9","3","0","0","0.25","0.25","1.4","21.7","87"
"22","Tua Tagovailoa","MIA","QB","14","2025","60","53","40","75.5","432","30.9","8.15","2","2","23","95.8","4","6.7","24","6.28","3","11","0","5.8","6.6","344","9.4","5","53.9","82.4","58.5","67.9","79.2","17.0","3.8","5.7","2","3.8","12","2.50","2.35","3.7","5.4","2","24","40.0","16.7","10.67","13.2","6.7","1","0","0","0.41","0.41","1.7","24.4","60"
"23","Cam Ward","TEN","QB","17","2025","86","73","48","65.8","428","25.2","5.86","1","1","18","80.2","9","10.5","87","3.85","4","23","0","-1.2","6.0","403","6.8","5","67.5","74.6","57.5","54.8","74.0","16.4","1.4","5.5","0","2.7","13","2.70","2.80","3.8","5.8","4","32","37.2","28.1","6.12","16.4","7.0","5","1","0","0.25","0.25","1.3","21.4","86"
"24","Spencer Rattler","NO","QB","9","2025","59","53","38","71.7","398","44.2","7.51","2","0","15","105.7","4","6.8","34","7.09","2","8","0","9.9","8.5","418","13.2","7","48.5","83.7","69.8","62.3","77.4","13.2","5.7","1.9","3","5.7","34","2.67","2.66","3.4","6.0","2","27","45.8","14.8","13.24","7.5","8.5","4","0","0","0.42","0.42","2.7","24.7","59"
"25","Josh Allen","BUF","QB","17","2025","59","51","36","70.6","370","21.8","7.25","4","2","19","100.9","2","3.4","14","6.53","6","64","0","5.3","7.3","350","17.6","9","63.0","80.9","66.7","60.8","80.4","11.8","7.8","3.9","4","3.9","-6","2.45","2.76","2.7","5.4","0","17","28.8","11.8","0.81","15.7","8.5","1","2","0","0.60","0.60","2.1","35.2","59"
"26","Brock Purdy","SF","QB","9","2025","52","45","36","80.0","336","37.3","7.47","0","2","16","79.3","1","1.9","14","5.04","6","45","0","5.7","5.4","238","6.7","3","60.4","84.1","62.2","64.4","86.7","8.9","2.2","4.4","0","2.2","12","2.67","2.94","4.5","5.6","0","17","32.7","5.9","1.44","26.7","5.8","1","0","0","0.31","0.31","1.8","15.9","52"
"27","Kyler Murray","ARZ","QB","5","2025","50","43","33","76.7","307","61.4","7.14","1","1","9","93.8","4","8.0","32","5.32","3","17","0","5.8","5.4","223","9.3","4","60.3","85.4","62.8","74.4","83.7","11.6","2.3","2.3","1","4.7","17","2.51","2.25","3.2","4.9","1","14","28.0","28.6","-0.76","14.0","2.0","0","2","0","0.34","0.34","3.4","17.0","50"
"28","Kirk Cousins","ATL","QB","10","2025","44","41","29","70.7","273","27.3","6.66","1","1","13","86.7","3","6.8","20","5.18","0","0","0","-3.7","6.9","275","7.3","3","55.3","72.5","56.1","70.7","80.5","9.8","2.4","","1","","0","2.79","2.48","2.3","","1","17","38.6","17.6","2.99","22.0","","1","0","0","0.32","0.32","1.4","13.9","44"
"29","Jaxson Dart","NYG","QB","14","2025","58","47","31","66.0","264","18.9","5.62","1","0","10","87.5","6","10.3","26","4.87","5","64","0","8.4","6.6","276","14.9","7","79.5","81.0","59.6","57.4","76.6","12.8","4.3","6.4","3","6.4","59","2.70","2.96","4.3","5.4","1","22","37.9","27.3","8.26","8.5","8.6","3","2","0","0.34","0.34","1.4","20.0","58"
"30","Joe Flacco","CIN, CLV","QB","13","2025","48","46","28","60.9","240","18.5","5.22","1","1","9","72.7","2","4.2","16","4.15","0","0","0","-6.7","5.3","223","4.3","2","55.8","70.7","58.7","56.5","67.4","19.6","","6.5","1","2.2","4","2.70","2.59","3.0","","0","14","29.2","14.3","-5.89","17.4","2.1","4","0","0","0.24","0.24","0.9","11.6","48"
"31","Shedeur Sanders","CLV","QB","8","2025","46","40","22","55.0","221","27.6","5.53","1","2","9","58.4","3","6.5","22","3.00","3","35","0","-5.2","5.6","196","7.5","3","71.5","71.4","45.0","55.0","72.5","15.0","","5.0","0","7.5","12","3.23","3.08","3.8","5.7","1","23","50.0","13.0","10.14","10.0","","4","1","0","0.31","0.31","1.8","14.3","46"
"32","Michael Penix","ATL","QB","9","2025","33","32","25","78.1","201","22.3","6.28","0","0","10","92.8","0","","0","6.28","1","5","0","7.3","6.7","200","3.1","1","37.3","83.3","75.0","53.1","78.1","12.5","","","1","","0","2.48","2.54","","6.1","0","11","33.3","","1.40","","6.1","1","1","0","0.26","0.26","0.9","8.5","33"
"33","Lamar Jackson","BLT","QB","13","2025","35","27","16","59.3","196","15.1","7.26","0","1","6","66.3","3","8.6","33","3.93","5","29","0","2.5","9.2","220","18.5","5","58.2","75.0","51.9","55.6","70.4","18.5","","","0","7.4","49","3.26","2.82","4.0","5.1","0","19","54.3","15.8","18.52","11.1","2.9","2","1","0","0.28","0.28","0.7","9.7","35"
"34","J.J. McCarthy","MIN","QB","10","2025","42","39","24","61.5","194","19.4","4.97","0","2","12","52.7","2","4.8","3","2.46","1","6","0","-0.9","6.8","250","7.7","3","58.2","75.0","79.5","48.7","71.8","17.9","2.6","","2","7.7","13","2.57","2.76","4.4","5.7","0","13","31.0","15.4","-1.03","","2.4","2","0","0","0.15","0.15","0.6","6.4","42"
"35","Joe Burrow","CIN","QB","8","2025","25","22","15","68.2","180","22.5","8.18","2","1","9","104.4","1","4.0","8","7.26","2","3","0","-0.2","7.4","147","13.6","3","52.8","75.0","68.2","68.2","72.7","18.2","9.1","4.5","2","","0","2.35","2.70","2.6","7.0","0","8","32.0","12.5","5.13","9.1","8.0","0","2","0","0.58","0.58","1.8","14.5","25"
"36","Jake Browning","CIN","QB","5","2025","20","19","16","84.2","172","34.4","9.05","1","0","7","121.9","0","","0","10.11","1","13","0","10.9","6.3","114","15.8","3","61.6","88.9","73.7","68.4","89.5","5.3","5.3","","0","","0","2.50","3.05","","6.6","0","6","30.0","","-1.54","10.5","5.0","1","0","0","0.61","0.61","2.4","12.2","20"
"37","Marcus Mariota","WAS","QB","11","2025","36","28","18","64.3","162","14.7","5.79","1","2","7","61.9","4","11.1","27","2.03","4","32","0","8.8","8.8","229","17.9","5","43.2","80.8","67.9","53.6","78.6","10.7","7.1","3.6","0","10.7","18","2.80","2.45","2.9","3.3","0","13","36.1","30.8","6.21","3.6","5.6","2","0","0","0.30","0.30","1.0","10.7","36"
"38","Russell Wilson","NYG","QB","6","2025","18","15","11","73.3","157","26.2","10.47","2","0","5","146.4","1","5.6","5","12.00","2","18","0","7.5","12.6","177","20.0","3","40.8","78.6","60.0","66.7","80.0","13.3","6.7","","2","","0","2.59","2.20","3.3","4.6","1","6","33.3","16.7","4.32","6.7","5.6","1","0","0","0.89","0.89","2.7","16.1","18"
"39","Tyrod Taylor","NYJ","QB","6","2025","27","19","13","68.4","151","25.2","7.95","1","1","8","87.8","6","22.2","34","3.68","2","4","0","12.2","10.0","180","15.8","3","26.5","83.3","73.7","63.2","84.2","10.5","","5.3","0","10.5","29","3.03","2.67","4.1","4.9","1","14","51.9","42.9","22.03","10.5","","1","0","0","0.35","0.35","1.6","9.4","27"
"40","Jayden Daniels","WAS","QB","7","2025","21","15","12","80.0","146","20.9","9.73","0","0","5","107.2","2","9.5","3","8.41","4","43","0","16.7","7.6","99","6.7","1","35.6","92.3","60.0","46.7","80.0","6.7","6.7","","0","","0","2.52","2.70","5.7","3.9","0","7","33.3","28.6","9.37","","9.5","1","1","0","0.48","0.48","1.4","10.1","21"
"41","Brady Cook","NYJ","QB","5","2025","29","26","16","61.5","115","23.0","4.42","0","2","5","39.7","3","10.3","26","-0.03","0","0","0","-12.3","5.0","120","3.8","1","49.6","66.7","73.1","42.3","65.4","26.9","","11.5","1","","0","2.26","2.59","3.1","","0","7","24.1","42.9","-1.94","3.8","3.4","0","2","0","0.09","0.09","0.5","2.6","29"
"42","Dillon Gabriel","CLV","QB","10","2025","25","19","12","63.2","109","10.9","5.74","0","0","4","78.6","4","16.0","29","3.48","2","21","0","-15.2","5.2","98","","0","50.5","63.2","73.7","42.1","73.7","26.3","","15.8","1","","0","2.48","2.73","3.6","6.8","2","10","40.0","40.0","15.04","15.8","","0","0","0","0.26","0.26","0.6","6.5","25"
"43","Justin Fields","NYJ","QB","9","2025","22","20","11","55.0","99","11.0","4.95","0","0","3","68.5","1","4.5","0","4.71","1","7","0","-4.2","5.5","105","","0","53.5","73.7","45.0","70.0","80.0","15.0","","","0","15.0","20","2.61","2.63","7.7","4.7","0","6","27.3","16.7","-4.56","20.0","9.1","0","1","0","0.21","0.21","0.5","4.7","22"
"44","Tanner McKee","PHI","QB","4","2025","17","13","8","61.5","98","24.5","7.54","1","1","5","78.4","2","11.8","7","4.40","2","3","0","-1.9","11.2","134","15.4","2","39.8","66.7","61.5","61.5","61.5","30.8","","7.7","1","","0","2.84","2.94","4.1","5.9","1","9","52.9","22.2","23.08","7.7","","1","0","0","0.42","0.42","1.8","7.2","17"
"45","Quinn Ewers","MIA","QB","4","2025","15","13","9","69.2","97","24.3","7.46","0","0","5","90.9","2","13.3","11","5.73","0","0","0","-2.3","9.7","126","15.4","2","54.6","69.2","76.9","61.5","69.2","23.1","","7.7","0","","0","2.77","2.69","4.8","","2","7","46.7","28.6","13.86","7.7","","0","0","0","0.26","0.26","1.0","3.9","15"
"46","Carson Wentz","MIN","QB","5","2025","22","22","15","68.2","97","19.4","4.41","0","0","4","77.3","0","","0","4.41","0","0","0","-8.6","4.3","90","4.5","1","81.4","71.4","77.3","54.5","68.2","27.3","","4.5","1","","0","2.53","2.30","","","0","6","27.3","","-6.40","4.5","13.6","1","0","0","0.18","0.18","0.8","3.9","22"
"47","Riley Leonard","IND","QB","5","2025","9","9","5","55.6","91","18.2","10.11","1","1","3","88.0","0","","0","7.33","0","0","0","9.0","6.9","57","11.1","1","42.9","83.3","11.1","33.3","55.6","22.2","11.1","11.1","0","","0","3.46","2.68","","","0","5","55.6","","5.87","33.3","","1","0","0","0.74","0.74","1.3","6.6","9"
"48","Trey Lance","LAC","QB","4","2025","16","13","9","69.2","91","22.8","7.00","0","0","3","88.9","3","18.8","16","4.69","0","0","0","-2.7","8.7","113","15.4","2","46.2","69.2","84.6","69.2","84.6","15.4","7.7","15.4","0","","0","2.52","2.63","3.9","","1","3","18.8","100.0","-8.44","7.7","","0","0","0","0.17","0.17","0.7","2.6","16"
"49","Philip Rivers","IND","QB","3","2025","11","11","7","63.6","75","25.0","6.82","1","0","5","113.8","0","","0","8.64","0","0","0","-2.7","11.7","129","18.2","2","40.0","63.6","90.9","63.6","81.8","18.2","9.1","","1","","0","2.30","2.45","","","0","2","18.2","","-11.57","9.1","","0","0","0","0.64","0.64","2.3","7.0","11"
"50","Chris Oladokun","KC","QB","3","2025","12","10","9","90.0","62","20.7","6.20","0","0","1","92.5","1","8.3","9","4.82","1","5","0","8.9","6.0","60","10.0","1","85.5","90.0","80.0","70.0","90.0","10.0","","10.0","1","","0","2.68","2.93","3.6","5.3","0","3","25.0","33.3","-5.26","10.0","8.3","0","0","0","0.25","0.25","1.0","3.0","12"
"51","Cooper Rush","BLT","QB","4","2025","12","11","9","81.8","61","15.3","5.55","0","1","3","51.9","1","8.3","16","","0","0","0","20.4","3.9","43","","0","41.0","100.0","54.5","72.7","90.9","","","","0","9.1","7","2.40","2.20","5.7","","0","2","16.7","50.0","-12.19","18.2","16.7","0","0","0","0.12","0.12","0.4","1.4","12"
"52","Shane Buechele","KC","QB","1","2025","3","3","2","66.7","56","56.0","18.67","0","0","1","109.7","0","","0","18.67","0","0","0","34.4","18.5","37","33.3","1","33.9","100.0","33.3","66.7","66.7","","33.3","","0","","0","2.97","","","","0","0","","","-41.26","33.3","","0","1","0","0.75","0.75","2.2","2.2","3"
"53","Jameis Winston","NYG","QB","3","2025","5","5","4","80.0","48","16.0","9.60","0","0","2","106.7","0","","0","9.60","0","0","0","16.2","15.0","75","20.0","1","29.2","80.0","80.0","60.0","80.0","20.0","20.0","20.0","0","","0","2.56","1.70","","","0","1","20.0","","-14.24","","","0","0","0","0.38","0.38","0.6","1.9","5"
"54","Josh Johnson","WAS","QB","5","2025","12","11","6","54.5","44","8.8","4.00","0","1","4","26.3","0","","0","-0.09","1","3","0","-18.6","4.9","49","","0","75.0","60.0","63.6","36.4","63.6","27.3","","9.1","0","","0","2.69","2.42","","4.1","0","6","50.0","","16.54","","","1","0","0","0.09","0.09","0.2","1.1","12"
"55","Malik Willis","GB","QB","4","2025","6","3","2","66.7","42","10.5","14.00","0","0","2","109.7","1","16.7","6","9.00","2","21","0","10.6","18.0","54","66.7","2","61.9","66.7","33.3","66.7","66.7","33.3","","","0","","0","4.17","3.00","2.9","6.9","0","6","100.0","16.7","69.02","33.3","","0","0","0","0.63","0.63","0.9","3.8","6"
"56","Davis Mills","HST","QB","6","2025","21","17","7","41.2","42","7.0","2.47","0","0","2","48.9","3","14.3","15","1.35","1","14","1","-13.1","8.0","120","11.8","2","26.2","60.0","76.5","41.2","52.9","35.3","","","3","11.8","-8","2.17","2.30","4.2","4.6","1","6","28.6","50.0","6.29","5.9","","0","2","0","0.43","0.43","1.5","9.1","21"
"57","Mason Rudolph","PIT","QB","5","2025","8","8","6","75.0","38","7.6","4.75","0","1","2","44.8","0","","0","-0.88","0","0","0","-6.6","3.5","28","","0","81.6","75.0","62.5","75.0","75.0","25.0","","12.5","0","","0","2.83","3.40","","","0","1","12.5","","-26.31","25.0","","0","0","0","0.07","0.07","0.1","0.5","8"
"58","Max Brosmer","MIN","QB","7","2025","6","6","6","100.0","30","4.3","5.00","0","0","1","87.5","0","","0","5.00","0","0","0","12.2","-0.7","-4","","0","113.3","100.0","66.7","50.0","100.0","","","","0","","0","1.70","","","","0","0","","","-19.41","","16.7","0","0","0","0.20","0.20","0.2","1.2","6"
"59","Tyler Huntley","BLT","QB","5","2025","6","6","6","100.0","27","5.4","4.50","0","0","0","85.4","0","","0","4.50","0","0","0","14.2","1.3","8","","0","70.4","100.0","66.7","50.0","100.0","","","","0","","0","2.65","2.63","","","0","4","66.7","","30.87","16.7","","0","0","0","0.18","0.18","0.2","1.1","6"
"60","Joe Milton","DAL","QB","4","2025","5","5","3","60.0","26","6.5","5.20","0","0","1","73.8","0","","0","5.20","0","0","0","-2.7","6.3","25","","0","38.5","75.0","80.0","20.0","60.0","20.0","","","0","","0","2.78","2.30","","","0","1","20.0","","-18.04","","","1","0","0","0.21","0.21","0.3","1.0","5"
"61","Kenny Pickett","LV","QB","6","2025","8","6","4","66.7","20","3.3","3.33","0","0","2","71.5","1","12.5","8","1.71","1","9","0","-1.0","3.0","18","","0","85.0","83.3","66.7","66.7","100.0","","","","0","16.7","2","2.58","2.48","3.3","7.0","1","4","50.0","25.0","24.02","33.3","12.5","0","0","0","0.21","0.21","0.3","1.7","8"
"62","Gardner Minshew","KC","QB","4","2025","6","6","3","50.0","15","3.8","2.50","0","0","1","56.3","0","","0","2.50","0","0","0","10.0","-2.0","-6","","0","140.0","100.0","50.0","33.3","50.0","","","","0","","0","2.65","2.40","","","0","1","16.7","","-19.13","","16.7","1","2","0","0.10","0.10","0.2","0.6","6"
"63","Andy Dalton","CAR","QB","4","2025","4","3","2","66.7","12","3.0","4.00","0","0","0","74.3","1","25.0","7","1.25","0","0","0","-12.7","5.7","17","","0","16.7","66.7","66.7","100.0","100.0","","","","0","","0","2.83","2.80","2.8","","1","2","50.0","50.0","20.78","","","0","0","0","0.12","0.12","0.1","0.5","4"
"64","Clayton Tune","GB","QB","2","2025","3","2","1","50.0","8","4.0","4.00","0","0","1","60.4","1","33.3","10","-0.67","0","0","0","15.1","3.0","6","","0","87.5","100.0","50.0","50.0","100.0","","","","0","50.0","5","2.20","2.07","2.4","","0","3","100.0","33.3","81.31","50.0","","0","0","0","0.11","0.11","0.2","0.3","3"
"65","Brandon Allen","TEN","QB","1","2025","7","6","1","16.7","5","5.0","0.83","0","1","0","","1","14.3","7","-6.71","0","0","0","-49.6","12.0","72","16.7","1","","16.7","66.7","16.7","16.7","83.3","","66.7","0","","0","3.22","2.53","3.6","","0","4","57.1","25.0","18.09","","","0","0","0","-0.11","-0.11","-0.8","-0.8","7"
"66","Aidan O'Connell","LV","QB","1","2025","1","1","1","100.0","3","3.0","3.00","0","0","0","79.2","0","","0","3.00","0","0","0","12.0","1.0","1","","0","66.7","100.0","","100.0","100.0","","","","0","","0","2.70","","","","0","0","","","-36.66","","","0","0","0","0.12","0.12","0.1","0.1","1"
"67","Teddy Bridgewater","TB","QB","4","2025","5","4","1","25.0","3","0.8","0.75","0","0","0","39.6","1","20.0","12","-1.80","0","0","0","-45.6","4.0","12","","0","233.3","33.3","75.0","50.0","50.0","25.0","","","0","","0","2.53","2.05","3.6","","1","2","40.0","50.0","13.09","","20.0","1","0","0","0.02","0.02","0.0","0.1","5"
"68","Mitchell Trubisky","BUF","QB","4","2025","1","1","0","","0","0.0","","0","0","0","39.6","0","","0","","0","0","0","-74.3","7.0","7","","0","","","100.0","","","100.0","","","0","","0","2.10","","","","0","0","","","-26.31","","","0","0","0","0.00","0.00","","0.0","1"
