"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Houston Texans","17","2025","Houston","Texans","233","9.7","535","55","0.24","41","74.5","566","33.3","2.43","10.29","13.80","243","5.93","79","1.93","0","3","0","0","4","0.10","20","0.086","2","3.6","44","80.0","5","9.1","7","6","85.7","0","84.4","44","80.0","2.4","","100.0","",""
"2","Las Vegas Raiders","17","2025","Las Vegas","Raiders","230","8.7","459","53","0.23","39","73.6","479","28.2","2.08","9.04","12.28","174","4.46","55","1.41","4","8","3","2","6","0.15","21","0.091","3","5.7","44","83.0","4","7.5","3","0","0.0","0","110.5","41","77.4","1.3","","100.0","",""
"3","Baltimore Ravens","17","2025","Baltimore","Ravens","197","9.8","440","45","0.23","37","82.2","477","28.1","2.42","10.60","12.89","137","3.70","38","1.03","1","0","0","0","3","0.08","19","0.096","2","4.4","41","91.1","4","8.9","11","9","81.8","1","109.0","32","71.1","2.5","","100.0","",""
"4","Atlanta Falcons","17","2025","Atlanta","Falcons","216","8.8","455","52","0.24","36","69.2","465","27.4","2.15","8.94","12.92","257","7.14","102","2.83","1","5","3","1","12","0.33","21","0.097","5","9.6","44","84.6","7","13.5","11","6","54.5","2","103.4","36","69.2","1.1","","100.0","",""
"5","Indianapolis Colts","17","2025","Indianapolis","Colts","189","9.7","425","44","0.23","34","77.3","460","27.1","2.43","10.45","13.53","227","6.68","61","1.79","2","7","7","2","4","0.12","18","0.095","1","2.3","35","79.5","5","11.4","7","5","71.4","1","96.8","32","72.7","2.5","","100.0","",""
"6","Arizona Cardinals","17","2025","Arizona","Cardinals","192","8.3","366","44","0.23","36","81.8","449","26.4","2.34","10.20","12.47","159","4.42","78","2.17","2","2","0","0","4","0.11","20","0.104","3","6.8","39","88.6","4","9.1","4","3","75.0","0","114.9","31","70.5","2.6","","100.0","",""
"7","Carolina Panthers","17","2025","Carolina","Panthers","245","9.4","544","58","0.24","40","69.0","449","26.4","1.83","7.74","11.23","187","4.68","58","1.45","1","7","3","0","3","0.08","22","0.090","3","5.2","45","77.6","6","10.3","8","6","75.0","0","90.4","41","70.7","-0.1","","100.0","",""
"8","San Francisco 49ers","17","2025","San Francisco","49ers","264","10.1","577","57","0.22","42","73.7","443","26.1","1.68","7.77","10.55","130","3.10","50","1.19","3","1","1","1","3","0.07","16","0.061","1","1.8","45","78.9","4","7.0","10","8","80.0","1","98.8","42","73.7","-0.2","","100.0","",""
"9","Washington Commanders","17","2025","Washington","Commanders","168","10.4","416","40","0.24","32","80.0","437","25.7","2.60","10.93","13.66","189","5.91","66","2.06","3","3","2","2","2","0.06","21","0.125","1","2.5","34","85.0","6","15.0","7","5","71.4","0","105.9","34","85.0","2.6","","100.0","",""
"10","Chicago Bears","16","2025","Chicago","Bears","189","10.4","479","46","0.24","33","71.7","420","26.3","2.22","9.13","12.73","146","4.42","46","1.39","4","6","4","1","3","0.09","16","0.085","2","4.3","35","76.1","5","10.9","2","2","100.0","0","101.7","35","76.1","1.0","","100.0","",""
"11","Miami Dolphins","17","2025","Miami","Dolphins","175","6.6","264","40","0.23","34","85.0","378","22.2","2.16","9.45","11.12","192","5.65","46","1.35","0","0","0","0","6","0.18","12","0.069","1","2.5","35","87.5","3","7.5","1","1","100.0","0","106.0","25","62.5","2.2","","100.0","",""
"12","Dallas Cowboys","17","2025","Dallas","Cowboys","180","5.4","241","45","0.25","37","82.2","378","22.2","2.10","8.40","10.22","205","5.54","39","1.05","2","8","2","2","8","0.22","19","0.106","1","2.2","40","88.9","10","22.2","5","3","60.0","0","116.5","36","80.0","1.5","","100.0","",""
"13","Pittsburgh Steelers","17","2025","Pittsburgh","Steelers","181","8.4","344","41","0.23","30","73.2","369","21.7","2.04","9.00","12.30","116","3.87","21","0.70","2","1","1","1","1","0.03","17","0.094","5","12.2","37","90.2","3","7.3","7","4","57.1","1","106.7","36","87.8","1.3","","100.0","",""
