"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"14","Tampa Bay Buccaneers","17","2025","Tampa Bay","Buccaneers","210","6.6","325","49","0.23","34","69.4","366","21.5","1.74","7.47","10.76","183","5.38","71","2.09","2","3","2","1","4","0.12","18","0.086","5","10.2","43","87.8","5","10.2","8","4","50.0","0","87.6","37","75.5","0.0","","100.0","",""
"15","New York Giants","17","2025","New York","Giants","131","10.0","329","33","0.25","24","72.7","366","21.5","2.79","11.09","15.25","147","6.13","26","1.08","0","1","1","0","1","0.04","14","0.107","2","6.1","31","93.9","6","18.2","5","0","0.0","0","108.9","24","72.7","3.6","","100.0","",""
"16","Los Angeles Chargers","17","2025","Los Angeles","Chargers","125","6.3","221","35","0.28","27","77.1","348","20.5","2.78","9.94","12.89","180","6.67","39","1.44","1","2","0","0","6","0.22","11","0.088","1","2.9","29","82.9","10","28.6","2","2","100.0","0","117.3","27","77.1","2.7","","100.0","",""
"17","Los Angeles Rams","17","2025","Los Angeles","Rams","291","6.6","441","67","0.23","45","67.2","337","19.8","1.16","5.03","7.49","120","2.67","32","0.71","2","6","3","2","0","","18","0.062","3","4.5","53","79.1","8","11.9","11","5","45.5","0","76.5","51","76.1","-2.1","","100.0","",""
"18","New Orleans Saints","17","2025","New Orleans","Saints","222","7.9","394","50","0.23","32","64.0","327","19.2","1.47","6.54","10.22","126","3.94","36","1.13","1","5","1","1","4","0.13","15","0.068","4","8.0","41","82.0","4","8.0","9","4","44.4","0","89.3","40","80.0","-1.1","","100.0","",""
"19","Tennessee Titans","17","2025","Tennessee","Titans","158","7.3","276","38","0.24","28","73.7","309","18.2","1.96","8.13","11.04","164","5.86","50","1.79","1","3","1","1","3","0.11","15","0.095","1","2.6","32","84.2","5","13.2","4","1","25.0","0","95.2","32","84.2","0.8","","100.0","",""
"20","Cincinnati Bengals","17","2025","Cincinnati","Bengals","184","8.1","381","47","0.26","30","63.8","303","17.8","1.65","6.45","10.10","187","6.23","59","1.97","1","7","2","0","4","0.13","15","0.082","2","4.3","36","76.6","8","17.0","4","1","25.0","0","62.6","35","74.5","-1.4","","100.0","",""
"21","Buffalo Bills","17","2025","Buffalo","Bills","166","6.7","293","44","0.27","29","65.9","293","17.2","1.77","6.66","10.10","153","5.28","42","1.45","3","3","3","3","9","0.31","16","0.096","2","4.5","32","72.7","13","29.5","6","3","50.0","0","107.5","33","75.0","-0.6","","100.0","",""
"22","New York Jets","17","2025","New York","Jets","123","7.2","223","31","0.25","23","74.2","292","17.2","2.37","9.42","12.70","156","6.78","29","1.26","2","1","0","0","1","0.04","12","0.098","2","6.5","25","80.6","5","16.1","1","1","100.0","0","124.7","24","77.4","2.1","","100.0","",""
"23","Detroit Lions","17","2025","Detroit","Lions","133","7.0","231","33","0.25","25","75.8","289","17.0","2.17","8.76","11.56","166","6.64","63","2.52","1","5","2","1","6","0.24","13","0.098","1","3.0","26","78.8","5","15.2","1","0","0.0","1","111.8","25","75.8","1.5","","100.0","",""
"24","Philadelphia Eagles","17","2025","Philadelphia","Eagles","198","6.9","312","45","0.23","30","66.7","287","16.9","1.45","6.38","9.57","146","4.87","43","1.43","0","1","0","0","5","0.17","12","0.061","4","8.9","38","84.4","6","13.3","4","1","25.0","0","75.0","29","64.4","-1.0","","100.0","",""
"25","Jacksonville Jaguars","17","2025","Jacksonville","Jaguars","197","7.9","403","51","0.26","35","68.6","281","16.5","1.43","5.51","8.03","113","3.23","51","1.46","0","3","0","0","5","0.14","13","0.066","1","2.0","40","78.4","10","19.6","11","7","63.6","0","57.7","41","80.4","-2.1","","100.0","",""
"26","Denver Broncos","17","2025","Denver","Broncos","162","9.5","369","39","0.24","28","71.8","279","16.4","1.72","7.15","9.96","99","3.54","43","1.54","0","2","1","0","4","0.14","12","0.074","0","","29","74.4","4","10.3","4","3","75.0","0","91.7","28","71.8","-0.9","","100.0","",""
"27","Kansas City Chiefs","17","2025","Kansas City","Chiefs","157","6.9","263","38","0.24","28","73.7","267","15.7","1.70","7.03","9.54","163","5.82","47","1.68","2","3","2","2","2","0.07","14","0.089","2","5.3","30","78.9","3","7.9","6","6","100.0","2","110.3","28","73.7","-0.3","","100.0","",""
"28","Seattle Seahawks","17","2025","Seattle","Seahawks","152","7.3","299","41","0.27","28","68.3","263","15.5","1.73","6.41","9.39","119","4.25","37","1.32","0","2","1","0","1","0.04","14","0.092","2","4.9","34","82.9","12","29.3","7","4","57.1","0","65.4","36","87.8","-1.1","","100.0","",""
"29","New England Patriots","17","2025","New England","Patriots","154","4.8","193","40","0.26","34","85.0","252","14.8","1.64","6.30","7.41","149","4.38","39","1.15","1","2","1","1","3","0.09","9","0.058","0","","35","87.5","9","22.5","3","2","66.7","1","90.8","32","80.0","-0.6","","100.0","",""
"30","Minnesota Vikings","17","2025","Minnesota","Vikings","116","7.5","239","32","0.28","23","71.9","224","13.2","1.93","7.00","9.74","122","5.30","37","1.61","1","2","1","1","3","0.13","10","0.086","1","3.1","24","75.0","6","18.8","0","0","0.0","0","88.5","25","78.1","-0.5","","100.0","",""
"31","Green Bay Packers","16","2025","Green Bay","Packers","118","6.2","167","27","0.23","22","81.5","223","13.9","1.89","8.26","10.14","85","3.86","39","1.77","2","3","2","2","6","0.27","12","0.102","0","","24","88.9","4","14.8","6","6","100.0","1","110.3","20","74.1","1.1","","100.0","",""
"32","Cleveland Browns","17","2025","Cleveland","Browns","81","7.0","140","20","0.25","12","60.0","161","9.5","1.99","8.05","13.42","76","6.33","23","1.92","1","2","0","0","0","","8","0.099","1","5.0","13","65.0","3","15.0","1","1","100.0","0","62.7","13","65.0","1.0","","100.0","",""
