"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Roman Wilson","PIT","WR","13","2025","7","100.0","21.5","43","56.6","2","0.2","40.0","0.29","1","50.0","17","1.3","58.6","2.43","8.50","17.00","2","2.00","","","0","0.0","0","0","0","1","1","33.3","0","","1","0.143","0","","1","50.0","0","","0","0","0.0","0","79.2","40.0","-2.2","100.0","","","","0.39","0.2","2.7","4.0","0.3","0.57","4.0"
"16","Michael Pittman","IND","WR","17","2025","4","100.0","10.0","10","66.7","1","0.1","33.3","0.25","1","100.0","16","0.9","45.7","4.00","16.00","16.00","6","6.00","3","3.00","0","0.0","0","0","0","0","1","50.0","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","118.8","33.3","8.5","100.0","","","","0.65","0.2","2.6","1.5","0.1","0.36","1.5"
"17","Darren Waller","MIA","TE","9","2025","3","100.0","7.0","7","21.2","1","0.1","33.3","0.33","1","100.0","14","1.6","58.3","4.67","14.00","14.00","7","7.00","1","1.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","118.8","33.3","6.7","100.0","","","","0.80","0.3","2.4","1.5","0.2","0.49","1.5"
"18","Kendrick Bourne","SF","WR","16","2025","5","100.0","9.0","18","66.7","2","0.1","50.0","0.40","1","50.0","14","0.9","60.9","2.80","7.00","14.00","-1","-1.00","","","0","0.0","0","0","0","0","1","100.0","0","","1","0.200","0","","2","100.0","0","","1","0","0.0","0","72.9","66.7","-0.9","100.0","","","","0.48","0.2","2.4","2.9","0.2","0.58","2.9"
"19","Tee Higgins","CIN","WR","15","2025","22","100.0","14.5","87","59.2","6","0.4","30.0","0.27","1","16.7","12","0.8","9.2","0.55","2.00","12.00","1","1.00","1","1.00","0","0.0","0","0","0","2","5","33.3","0","","1","0.045","0","","3","50.0","0","","3","1","33.3","0","39.6","30.0","-7.1","100.0","","","","0.10","0.1","2.2","11.6","0.8","0.53","11.6"
"20","Jalen Tolbert","DAL","WR","13","2025","4","100.0","5.0","5","26.3","1","0.1","33.3","0.25","1","100.0","12","0.9","41.4","3.00","12.00","12.00","7","7.00","3","3.00","0","0.0","0","0","0","0","1","33.3","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","116.7","33.3","5.6","100.0","","","","0.55","0.2","2.2","1.5","0.1","0.39","1.5"
"21","Konata Mumpfield","LA","WR","17","2025","1","100.0","10.0","10","100.0","1","0.1","100.0","1.00","1","100.0","11","0.6","100.0","11.00","11.00","11.00","1","1.00","","","0","0.0","0","0","0","0","0","0.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","112.5","100.0","3.5","100.0","","","","2.10","0.1","2.1","1.6","0.1","1.58","1.6"
"22","Tory Horton","SEA","WR","8","2025","4","100.0","5.0","5","25.0","1","0.1","25.0","0.25","1","100.0","11","1.4","25.0","2.75","11.00","11.00","6","6.00","2","2.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.250","0","","1","100.0","0","","0","0","0.0","0","112.5","25.0","4.6","100.0","","","","0.53","0.3","2.1","1.4","0.2","0.35","1.4"
"23","Jaxon Smith-Njigba","SEA","WR","17","2025","11","100.0","6.0","6","20.0","1","0.1","10.0","0.09","1","100.0","11","0.6","16.9","1.00","11.00","11.00","5","5.00","1","1.00","0","0.0","0","0","0","0","1","16.7","1","1.00","1","0.091","0","","1","100.0","0","","0","0","0.0","0","112.5","12.5","4.1","100.0","","","","0.19","0.1","2.1","1.3","0.1","0.12","1.3"
"24","Jack Bech","LV","WR","16","2025","6","100.0","7.0","14","82.4","2","0.1","50.0","0.33","1","50.0","10","0.6","100.0","1.67","5.00","10.00","0","","","","0","0.0","0","0","0","0","1","50.0","0","","1","0.167","1","50.0","2","100.0","0","","2","1","50.0","0","64.6","66.7","-1.8","100.0","","","","0.33","0.1","2.0","2.9","0.2","0.49","2.9"
"25","CeeDee Lamb","DAL","WR","14","2025","11","100.0","1.5","3","5.1","2","0.1","22.2","0.18","1","50.0","10","0.7","11.9","0.91","5.00","10.00","14","14.00","3","3.00","0","0.0","0","0","0","0","1","20.0","0","","1","0.091","0","","1","50.0","0","","0","0","0.0","0","64.6","25.0","-0.8","100.0","","","","0.18","0.1","2.0","3.1","0.2","0.28","3.1"
"26","Chris Olave","NO","WR","16","2025","8","100.0","11.0","11","16.2","1","0.1","16.7","0.13","1","100.0","10","0.6","31.3","1.25","10.00","10.00","-1","-1.00","-1","-1.00","0","0.0","0","0","0","0","1","25.0","0","","1","0.125","0","","1","100.0","0","","1","1","100.0","0","108.3","20.0","1.7","100.0","","","","0.25","0.1","2.0","1.6","0.1","0.20","1.6"
"27","Elijah Arroyo","SEA","TE","13","2025","1","100.0","6.0","6","100.0","1","0.1","100.0","1.00","1","100.0","10","0.8","100.0","10.00","10.00","10.00","4","4.00","2","2.00","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","108.3","100.0","2.9","100.0","","","","2.00","0.2","2.0","1.6","0.1","1.59","1.6"
"28","Jerry Jeudy","CLV","WR","17","2025","19","100.0","6.0","6","6.9","1","0.1","7.7","0.05","1","100.0","9","0.5","9.1","0.47","9.00","9.00","3","3.00","2","2.00","0","0.0","0","0","0","0","1","12.5","0","","1","0.053","0","","1","100.0","0","","0","0","0.0","0","104.2","8.3","2.1","100.0","","","","0.10","0.1","1.9","1.5","0.1","0.08","1.5"
"29","Zay Flowers","BLT","WR","17","2025","2","100.0","2.0","2","100.0","1","0.1","100.0","0.50","1","100.0","9","0.5","100.0","4.50","9.00","9.00","7","7.00","7","7.00","0","0.0","0","0","0","0","0","0.0","1","1.00","1","0.500","0","","1","100.0","0","","0","0","0.0","0","104.2","100.0","3.7","100.0","","","","0.95","0.1","1.9","1.4","0.1","0.70","1.4"
"30","Keenan Allen","LAC","WR","17","2025","3","100.0","5.0","10","55.6","2","0.1","66.7","0.67","1","50.0","9","0.5","36.0","3.00","4.50","9.00","3","3.00","1","1.00","0","0.0","0","0","0","0","1","50.0","0","","1","0.333","1","50.0","2","100.0","0","","0","0","0.0","0","62.5","66.7","-2.0","100.0","","","","0.63","0.1","1.9","2.8","0.2","0.93","2.8"
"31","Tre Tucker","LV","WR","17","2025","13","100.0","-1.0","-1","-1.5","1","0.1","9.1","0.08","1","100.0","9","0.5","18.8","0.69","9.00","9.00","10","10.00","","","0","0.0","0","0","0","0","1","14.3","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","104.2","11.1","2.8","100.0","","","","0.15","0.1","1.9","1.5","0.1","0.12","1.5"
"32","Sterling Shepard","TB","WR","13","2025","5","100.0","4.5","9","29.0","2","0.2","66.7","0.40","2","100.0","8","0.6","100.0","1.60","4.00","4.00","-1","-0.50","-1","-0.50","0","0.0","1","0","0","0","1","50.0","0","","0","0.000","0","","2","100.0","0","","0","0","0.0","0","83.3","66.7","-2.2","100.0","","","","0.56","0.2","2.8","2.9","0.2","0.57","2.9"
"33","Nico Collins","HST","WR","15","2025","13","100.0","9.7","29","31.5","3","0.2","25.0","0.23","1","33.3","8","0.5","18.2","0.62","2.67","8.00","2","2.00","1","1.00","0","0.0","0","0","0","0","3","37.5","0","","0","0.000","0","","3","100.0","0","","3","1","33.3","0","42.4","30.0","-5.1","100.0","","","","0.14","0.1","1.8","5.6","0.4","0.43","5.6"
"34","Rashid Shaheed","SEA, NO","WR","18","2025","9","100.0","6.0","6","8.2","1","0.1","12.5","0.11","1","100.0","7","0.4","25.0","0.78","7.00","7.00","1","1.00","","","0","0.0","0","0","0","0","1","16.7","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","95.8","14.3","0.1","100.0","","","","0.19","0.1","1.7","1.2","0.1","0.13","1.2"
"35","Kyle Pitts","ATL","TE","17","2025","1","100.0","-1.0","-1","100.0","1","0.1","100.0","1.00","1","100.0","7","0.4","100.0","7.00","7.00","7.00","8","8.00","4","4.00","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","95.8","100.0","2.1","100.0","","","","1.70","0.1","1.7","1.3","0.1","1.31","1.3"
"36","Jake Ferguson","DAL","TE","17","2025","2","100.0","5.5","11","100.0","2","0.1","100.0","1.00","1","50.0","6","0.4","100.0","3.00","3.00","6.00","0","","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","50.0","0","","0","0","0.0","0","56.3","100.0","-3.8","100.0","","","","0.80","0.1","1.6","3.0","0.2","1.51","3.0"
"37","Tyreek Hill","MIA","WR","4","2025","7","100.0","11.0","22","56.4","2","0.5","28.6","0.29","1","50.0","5","1.3","8.1","0.71","2.50","5.00","1","1.00","","","0","0.0","0","0","0","0","2","33.3","0","","1","0.143","0","","1","50.0","0","","0","0","0.0","0","56.3","28.6","-6.0","100.0","","","","0.21","0.4","1.5","3.3","0.8","0.47","3.3"
"38","Marquise Brown","KC","WR","16","2025","7","100.0","24.0","72","55.0","3","0.2","42.9","0.43","1","33.3","4","0.3","22.2","0.57","1.33","4.00","-1","-1.00","","","0","0.0","0","0","0","1","3","60.0","0","","0","0.000","0","","1","33.3","0","","0","0","0.0","0","42.4","42.9","-8.1","100.0","","","","0.20","0.1","1.4","4.6","0.3","0.66","4.6"
"39","David Sills","ATL","WR","17","2025","7","100.0","9.5","19","25.0","2","0.1","33.3","0.29","1","50.0","4","0.2","100.0","0.57","2.00","4.00","1","1.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","0","0.000","1","50.0","2","100.0","0","","1","1","100.0","0","56.3","40.0","-5.8","100.0","","","","0.20","0.1","1.4","3.1","0.2","0.44","3.1"
"40","Calvin Austin","PIT","WR","14","2025","11","100.0","10.5","21","41.2","2","0.1","22.2","0.18","1","50.0","2","0.1","5.7","0.18","1.00","2.00","0","","","","0","0.0","0","0","0","0","2","33.3","0","","0","0.000","0","","2","100.0","0","","2","1","50.0","0","56.3","25.0","-7.6","100.0","","","","0.11","0.1","1.2","3.4","0.2","0.31","3.4"
"41","Luke McCaffrey","WAS","WR","9","2025","2","100.0","0.0","0","0.0","1","0.1","100.0","0.50","1","100.0","-2","-0.2","100.0","-1.00","-2.00","-2.00","-2","-2.00","-1","-1.00","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","1","100.0","1","1","100.0","0","79.2","100.0","-8.0","100.0","","","","0.40","0.1","0.8","1.2","0.1","0.60","1.2"
