"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","George Pickens","DAL","WR","17","2025","67","97.1","8.3","99","22.4","12","0.7","18.5","0.18","9","75.0","81","4.8","19.3","1.21","6.75","9.00","28","3.11","22","2.44","1","100.0","2","2","1","1","11","28.9","1","0.11","7","0.104","1","8.3","11","91.7","0","","3","2","66.7","0","120.5","18.8","-0.3","100.0","","","","0.34","1.4","23.1","26.6","1.6","0.40","26.6"
"16","Jauan Jennings","SF","WR","15","2025","34","97.1","12.4","112","45.7","9","0.6","27.3","0.26","6","66.7","79","5.3","32.5","2.32","8.78","13.17","14","2.33","8","1.33","1","100.0","3","1","1","2","8","53.3","1","0.17","4","0.118","0","","7","77.8","0","","2","1","50.0","0","91.7","27.3","0.2","100.0","","","","0.59","1.3","19.9","19.5","1.3","0.57","19.5"
"17","Jameson Williams","DET","WR","17","2025","35","87.5","12.3","49","46.2","4","0.2","10.8","0.11","3","75.0","77","4.5","23.3","2.20","19.25","25.67","39","13.00","29","9.67","0","0.0","0","0","0","0","3","10.7","3","1.00","2","0.057","1","25.0","4","100.0","0","","0","0","0.0","0","116.7","11.4","10.3","100.0","","","","0.31","0.6","10.7","6.8","0.4","0.19","6.8"
"18","DeVonta Smith","PHI","WR","17","2025","14","100.0","21.8","87","64.0","4","0.2","33.3","0.29","3","75.0","77","4.5","49.0","5.50","19.25","25.67","5","1.67","4","1.33","0","0.0","0","0","0","1","4","57.1","0","","2","0.143","1","25.0","4","100.0","0","","1","1","100.0","1","116.7","33.3","7.9","100.0","","","","0.76","0.6","10.7","6.9","0.4","0.49","6.9"
"19","DJ Moore","CHI","WR","17","2025","42","91.3","15.4","123","35.9","8","0.5","20.0","0.19","4","50.0","74","4.4","22.8","1.76","9.25","18.50","20","5.00","10","2.50","0","0.0","0","1","0","2","4","21.1","0","","3","0.071","0","","5","62.5","2","25.0","1","0","0.0","0","82.3","22.2","-0.7","100.0","","","","0.27","0.7","11.4","15.3","0.9","0.36","15.3"
"20","Justin Jefferson","MIN","WR","17","2025","51","100.0","13.3","120","29.0","9","0.5","20.9","0.18","5","55.6","71","4.2","19.3","1.39","7.89","14.20","18","3.60","5","1.00","0","0.0","1","0","0","3","8","29.6","0","","2","0.039","1","11.1","7","77.8","1","11.1","3","2","66.7","0","81.3","22.5","-1.3","100.0","","","","0.24","0.7","12.1","16.1","0.9","0.32","16.1"
"21","Michael Pittman","IND","WR","17","2025","46","95.8","14.3","143","32.9","10","0.6","22.2","0.22","6","60.0","66","3.9","23.2","1.43","6.60","11.00","8","1.33","5","0.83","2","66.7","1","1","1","3","10","27.8","0","","2","0.043","1","10.0","9","90.0","1","10.0","3","1","33.3","1","119.2","23.3","-2.3","100.0","","","","0.53","1.4","24.6","18.0","1.1","0.39","18.0"
"22","Kayshon Boutte","NE","WR","14","2025","29","100.0","25.2","126","56.5","5","0.4","22.7","0.17","3","60.0","64","4.6","39.5","2.21","12.80","21.33","3","1.00","1","0.33","1","50.0","1","0","0","2","5","33.3","0","","2","0.069","0","","4","80.0","0","","2","1","50.0","0","104.2","26.3","1.7","100.0","","","","0.53","1.1","15.4","11.0","0.8","0.38","11.0"
"23","Jaylen Waddle","MIA","WR","16","2025","21","87.5","18.2","109","57.4","6","0.4","27.3","0.29","4","66.7","63","3.9","30.3","3.00","10.50","15.75","4","1.00","","","0","0.0","0","0","0","2","6","35.3","0","","4","0.190","0","","4","66.7","0","","1","1","100.0","0","61.8","28.6","0.1","100.0","","","","0.51","0.7","10.6","12.2","0.8","0.58","12.2"
"24","Jerry Jeudy","CLV","WR","17","2025","44","97.8","17.2","86","37.6","5","0.3","13.2","0.11","3","60.0","62","3.6","22.8","1.41","12.40","20.67","4","1.33","1","0.33","0","0.0","1","0","0","1","4","21.1","0","","3","0.068","1","20.0","4","80.0","0","","0","0","0.0","0","64.2","13.9","1.4","100.0","","","","0.21","0.5","9.2","8.3","0.5","0.19","8.3"
"25","DeAndre Hopkins","BLT","WR","17","2025","11","91.7","19.7","59","51.8","3","0.2","27.3","0.27","3","100.0","62","3.6","60.2","5.64","20.67","20.67","3","1.00","2","0.67","1","100.0","0","0","0","1","3","42.9","0","","3","0.273","0","","3","100.0","0","","2","2","100.0","1","158.3","30.0","9.2","100.0","","","","1.38","0.9","15.2","6.2","0.4","0.56","6.2"
"26","Romeo Doubs","GB","WR","16","2025","39","97.5","10.9","98","21.6","9","0.6","25.0","0.23","6","66.7","55","3.4","27.2","1.41","6.11","9.17","10","1.67","2","0.33","0","0.0","0","0","0","2","7","25.9","1","0.17","4","0.103","1","11.1","7","77.8","0","","3","2","66.7","0","83.1","25.7","-2.3","100.0","","","","0.29","0.7","11.5","16.9","1.1","0.43","16.9"
"27","Elic Ayomanor","TEN","WR","16","2025","42","85.7","8.3","66","17.8","8","0.5","17.0","0.19","5","62.5","54","3.4","22.0","1.29","6.75","10.80","17","3.40","11","2.20","0","0.0","0","0","0","1","6","18.8","1","0.20","3","0.071","0","","6","75.0","1","12.5","1","0","0.0","0","82.3","20.5","-0.9","100.0","","","","0.25","0.7","10.4","12.8","0.8","0.31","12.8"
"28","Jayden Higgins","HST","WR","17","2025","30","90.9","15.2","152","59.1","10","0.6","33.3","0.33","6","60.0","53","3.1","25.7","1.77","5.30","8.83","7","1.17","2","0.33","0","0.0","1","1","0","3","9","37.5","0","","4","0.133","0","","6","60.0","0","","1","1","100.0","0","74.2","34.5","-3.8","100.0","","","","0.38","0.7","11.3","17.9","1.1","0.60","17.9"
"29","Travis Kelce","KC","TE","17","2025","19","95.0","5.2","26","31.0","5","0.3","29.4","0.26","5","100.0","52","3.1","40.9","2.74","10.40","10.40","26","5.20","6","1.20","0","0.0","0","0","0","0","5","55.6","0","","3","0.158","0","","5","100.0","1","20.0","1","1","100.0","0","110.0","33.3","3.3","100.0","","","","0.54","0.6","10.2","7.7","0.5","0.41","7.7"
"30","JuJu Smith-Schuster","KC","WR","17","2025","19","90.5","6.3","19","11.1","3","0.2","15.8","0.16","3","100.0","51","3.0","29.3","2.68","17.00","17.00","32","10.67","13","4.33","0","0.0","0","0","0","0","2","13.3","2","0.67","2","0.105","0","","3","100.0","1","33.3","0","0","0.0","0","118.8","15.8","9.6","100.0","","","","0.43","0.5","8.1","4.8","0.3","0.25","4.8"
"31","Michael Wilson","ARZ","WR","17","2025","44","97.8","10.2","61","28.9","6","0.4","17.1","0.14","4","66.7","49","2.9","26.1","1.11","8.17","12.25","14","3.50","4","1.00","1","100.0","1","0","0","0","4","22.2","0","","3","0.068","0","","4","66.7","0","","1","1","100.0","0","131.3","18.2","0.3","100.0","","","","0.34","0.9","14.9","10.7","0.6","0.24","10.7"
"32","Rashid Shaheed","SEA, NO","WR","18","2025","23","100.0","14.0","42","30.7","3","0.2","13.6","0.13","3","100.0","49","2.7","49.0","2.13","16.33","16.33","7","2.33","34","11.33","0","0.0","0","0","0","0","3","33.3","0","","2","0.087","0","","3","100.0","0","","1","1","100.0","0","118.8","14.3","6.6","100.0","","","","0.34","0.4","7.9","5.0","0.3","0.22","5.0"
"33","Darnell Mooney","ATL","WR","15","2025","30","88.2","20.4","143","58.8","7","0.5","22.6","0.23","4","57.1","49","3.3","19.7","1.63","7.00","12.25","4","1.00","-3","-0.75","0","0.0","0","0","0","3","6","31.6","0","","2","0.067","1","14.3","5","71.4","0","","0","0","0.0","0","78.9","25.0","-3.8","100.0","","","","0.30","0.6","8.9","12.1","0.8","0.40","12.1"
"34","Drake London","ATL","WR","12","2025","17","94.4","11.6","58","50.0","5","0.4","29.4","0.29","2","40.0","48","4.0","36.4","2.82","9.60","24.00","14","7.00","1","0.50","0","0.0","0","0","0","1","5","50.0","0","","1","0.059","0","","2","40.0","0","","0","0","0.0","0","75.4","31.3","0.9","100.0","","","","0.34","0.5","5.8","9.0","0.7","0.53","9.0"
"35","Jaylin Noel","HST","WR","17","2025","10","100.0","40.0","40","39.6","1","0.1","10.0","0.10","1","100.0","43","2.5","39.8","4.30","43.00","43.00","3","3.00","","","1","100.0","0","0","0","1","1","11.1","0","","1","0.100","0","","1","100.0","0","","0","0","0.0","0","158.3","10.0","28.0","100.0","","","","1.13","0.7","11.3","3.0","0.2","0.30","3.0"
"36","Calvin Austin","PIT","WR","14","2025","15","83.3","13.3","40","54.8","3","0.2","18.8","0.20","3","100.0","42","3.0","29.6","2.80","14.00","14.00","2","0.67","","","1","100.0","0","1","1","1","3","27.3","0","","1","0.067","0","","3","100.0","0","","0","0","0.0","0","158.3","20.0","5.0","100.0","","","","0.88","0.9","13.2","5.5","0.4","0.37","5.5"
"37","Wan'Dale Robinson","NYG","WR","16","2025","16","100.0","4.7","28","17.3","6","0.4","42.9","0.38","6","100.0","41","2.6","64.1","2.56","6.83","6.83","13","2.17","5","0.83","0","0.0","0","0","0","0","4","44.4","2","0.33","1","0.063","0","","6","100.0","1","16.7","1","1","100.0","0","95.1","42.9","0.5","100.0","","","","0.63","0.6","10.1","9.0","0.6","0.56","9.0"
"38","Jalen Tolbert","DAL","WR","13","2025","20","100.0","5.8","29","42.6","5","0.4","26.3","0.25","4","80.0","39","3.0","40.2","1.95","7.80","9.75","24","6.00","10","2.50","0","0.0","1","0","0","0","3","42.9","1","0.25","2","0.100","0","","4","80.0","0","","0","0","0.0","0","99.2","27.8","0.6","100.0","","","","0.40","0.6","7.9","7.5","0.6","0.37","7.5"
"39","Isaiah Likely","BLT","TE","14","2025","2","100.0","15.0","30","100.0","2","0.1","100.0","1.00","2","100.0","38","2.7","100.0","19.00","19.00","19.00","8","4.00","3","1.50","0","0.0","0","0","0","1","1","100.0","1","0.50","1","0.500","0","","2","100.0","0","","0","0","0.0","0","118.8","100.0","10.4","100.0","","","","2.90","0.4","5.8","2.9","0.2","1.47","2.9"
"40","Keon Coleman","BUF","WR","13","2025","14","100.0","12.7","38","50.0","3","0.2","30.0","0.21","3","100.0","38","2.9","47.5","2.71","12.67","12.67","0","","","","0","0.0","0","0","0","1","3","50.0","0","","2","0.143","0","","3","100.0","0","","1","1","100.0","0","118.8","33.3","3.9","100.0","","","","0.49","0.5","6.8","4.8","0.4","0.35","4.8"
"41","Chris Olave","NO","WR","16","2025","19","95.0","9.3","37","31.4","4","0.3","25.0","0.21","4","100.0","38","2.4","30.4","2.00","9.50","9.50","1","0.25","-1","-0.25","0","0.0","0","0","0","1","3","27.3","0","","2","0.105","0","","4","100.0","0","","0","0","0.0","0","106.3","25.0","2.3","100.0","","","","0.41","0.5","7.8","6.4","0.4","0.34","6.4"
"42","A.J. Brown","PHI","WR","15","2025","28","100.0","6.2","31","13.0","5","0.3","22.7","0.18","5","100.0","38","2.5","19.0","1.36","7.60","7.60","7","1.40","3","0.60","0","0.0","0","0","0","0","4","30.8","0","","1","0.036","0","","5","100.0","0","","1","1","100.0","0","98.3","22.7","0.9","100.0","","","","0.31","0.6","8.8","7.5","0.5","0.27","7.5"
"43","Tre Tucker","LV","WR","17","2025","36","90.0","11.3","34","23.9","3","0.2","8.6","0.08","2","66.7","38","2.2","16.9","1.06","12.67","19.00","13","6.50","3","1.50","0","0.0","0","0","0","1","2","8.7","0","","2","0.056","0","","3","100.0","0","","1","0","0.0","0","109.7","9.1","4.4","100.0","","","","0.16","0.3","5.8","6.8","0.4","0.19","6.8"
"44","Xavier Hutchinson","HST","WR","17","2025","44","100.0","13.4","67","19.2","5","0.3","12.5","0.11","3","60.0","37","2.2","11.1","0.84","7.40","12.33","4","1.33","","","0","0.0","0","0","0","2","4","17.4","0","","1","0.023","0","","3","60.0","0","","0","0","0.0","0","82.9","12.8","-1.8","100.0","","","","0.15","0.4","6.7","10.0","0.6","0.23","10.0"
"45","Rashee Rice","KC","WR","8","2025","13","100.0","9.7","29","22.8","3","0.4","27.3","0.23","2","66.7","36","4.5","23.4","2.77","12.00","18.00","16","8.00","3","1.50","0","0.0","0","0","0","1","1","20.0","0","","1","0.077","0","","3","100.0","1","33.3","1","0","0.0","0","107.6","33.3","3.7","100.0","","","","0.43","0.7","5.6","4.9","0.6","0.38","4.9"
"46","Cooper Kupp","SEA","WR","16","2025","22","91.7","11.3","45","40.5","4","0.3","19.0","0.18","3","75.0","36","2.3","26.7","1.64","9.00","12.00","7","2.33","2","0.67","0","0.0","1","1","0","1","3","21.4","0","","1","0.045","0","","3","75.0","0","","0","0","0.0","1","102.1","20.0","0.7","100.0","","","","0.30","0.4","6.6","8.3","0.5","0.38","8.3"
"47","Dyami Brown","JAX","WR","14","2025","12","100.0","8.0","24","18.5","3","0.2","30.0","0.25","3","100.0","35","2.5","68.6","2.92","11.67","11.67","11","3.67","4","1.33","0","0.0","0","0","0","0","3","60.0","1","0.33","1","0.083","0","","3","100.0","1","33.3","1","1","100.0","0","115.3","30.0","3.8","100.0","","","","0.54","0.5","6.5","4.5","0.3","0.38","4.5"
"48","Tyler Johnson","NYJ","WR","12","2025","5","100.0","8.0","16","51.6","2","0.2","50.0","0.40","2","100.0","35","2.9","87.5","7.00","17.50","17.50","19","9.50","","","0","0.0","0","0","0","0","1","50.0","0","","2","0.400","0","","2","100.0","0","","0","0","0.0","0","118.8","50.0","10.3","100.0","","","","1.10","0.5","5.5","3.2","0.3","0.65","3.2"
"49","Adonai Mitchell","NYJ, IND","WR","16","2025","35","97.2","24.5","147","51.6","6","0.4","20.7","0.17","2","33.3","34","2.1","23.6","0.97","5.67","17.00","7","3.50","4","2.00","0","0.0","0","0","0","3","5","26.3","0","","1","0.029","0","","3","50.0","0","","2","1","50.0","0","13.9","24.0","-6.0","100.0","","","","0.15","0.3","5.4","9.3","0.6","0.27","9.3"
"50","Christian Kirk","HST","WR","13","2025","7","100.0","3.0","3","6.7","1","0.1","16.7","0.14","1","100.0","33","2.5","51.6","4.71","33.00","33.00","30","30.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","1","0.143","0","","1","100.0","0","","0","0","0.0","0","118.8","16.7","27.6","100.0","","","","0.61","0.3","4.3","1.3","0.1","0.19","1.3"
"51","Keenan Allen","LAC","WR","17","2025","33","97.1","10.5","63","34.4","6","0.4","25.0","0.18","4","66.7","33","1.9","35.5","1.00","5.50","8.25","14","3.50","3","0.75","0","0.0","0","0","0","1","5","35.7","0","","3","0.091","0","","6","100.0","1","16.7","1","0","0.0","0","80.6","31.6","-2.5","100.0","","","","0.22","0.4","7.3","9.9","0.6","0.30","9.9"
