"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Scrambles","","","Passing Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","SCRM","YDS","TD","CPOE","aDOT","AY","Deep Throw %","Deep Throw","YAC %","ADJ CMP %","1Read %","ACC %","CATCH %","OFF %","HERO %","TWT %","EZATT","DROP %","DROP YDS","TTT","TTP","TTSK","TTSC","QB SK","QBP","PRESS %","PRESS SK %","PrROE","CHK %","RPO %","TA","BAT","SPK","FP/DB","FP/OPP","FP/G","FP","OPP"
"1","Drake Maye","NE","QB","17","2025","120","96","70","72.9","1153","67.8","12.01","11","1","54","146.7","11","9.2","64","11.81","13","150","0","9.7","10.6","978","15.6","15","44.6","78.3","88.5","61.5","78.1","16.7","8.3","3.1","6","2.1","14","2.59","2.71","3.6","4.7","5","48","40.0","22.9","12.23","2.1","0.8","1","2","0","0.86","0.86","6.1","103.1","120"
"2","Matthew Stafford","LA","QB","17","2025","130","124","76","61.3","1030","60.6","8.31","8","3","52","99.2","4","3.1","29","8.02","2","5","0","2.3","10.2","1179","15.3","19","43.0","71.2","75.0","50.8","75.0","16.9","7.3","4.8","7","6.5","64","2.52","2.50","3.2","5.4","0","46","35.4","8.7","3.43","2.4","","3","1","0","0.54","0.54","4.2","70.7","130"
"3","Justin Herbert","LAC","QB","16","2025","161","139","79","56.8","903","56.4","6.50","4","2","49","80.1","12","7.5","79","5.39","10","145","0","-3.2","8.0","1045","7.9","11","47.2","70.1","74.1","52.5","71.2","19.4","2.9","1.4","8","7.2","61","2.47","2.29","2.9","4.3","1","69","42.9","17.4","14.60","1.4","0.6","6","1","0","0.40","0.40","4.0","64.6","161"
"4","Josh Allen","BUF","QB","17","2025","146","125","78","62.4","902","53.1","7.22","5","4","46","84.2","9","6.2","87","5.49","12","125","0","3.5","8.5","990","12.8","16","53.4","76.1","74.4","60.8","75.2","17.6","2.4","4.0","3","8.8","130","2.66","2.53","5.0","5.9","5","62","42.5","14.5","11.71","0.8","3.4","6","2","0","0.44","0.44","3.8","64.6","146"
"5","Dak Prescott","DAL","QB","17","2025","105","97","61","62.9","901","53.0","9.29","5","2","41","101.8","4","3.8","24","8.78","4","39","1","4.2","9.6","910","16.5","16","43.4","74.5","78.4","61.9","78.4","17.5","9.3","3.1","11","9.3","84","2.42","2.55","4.4","4.6","0","41","39.0","9.8","9.69","3.1","3.8","1","1","0","0.61","0.61","3.8","63.9","105"
"6","Jordan Love","GB","QB","15","2025","120","110","63","57.3","888","59.2","8.07","6","2","49","94.1","4","3.3","30","7.79","6","42","0","3.2","10.8","1119","18.2","20","42.1","71.6","67.3","54.5","76.4","16.4","7.3","1.8","5","9.1","107","2.65","2.37","4.5","4.8","1","57","47.5","7.0","14.75","3.6","5.0","5","1","0","0.51","0.51","4.1","61.7","120"
"7","Jared Goff","DET","QB","17","2025","111","103","61","59.2","833","49.0","8.09","11","0","44","120.7","7","6.3","47","9.15","1","7","0","3.4","7.9","746","6.8","7","58.5","76.8","76.7","56.3","75.7","13.6","3.9","","5","11.7","100","2.42","2.44","3.4","5.9","1","39","35.1","17.9","5.63","2.9","","5","3","0","0.69","0.69","4.5","77.0","111"
"8","Trevor Lawrence","JAX","QB","17","2025","114","100","56","56.0","820","48.2","8.20","6","3","42","90.4","8","7.0","61","6.89","6","59","0","0.2","10.2","947","14.0","14","36.2","68.9","73.0","44.0","69.0","18.0","7.0","1.0","5","6.0","69","2.60","2.61","3.6","5.6","1","51","44.7","15.7","14.14","2.0","","1","6","0","0.52","0.52","3.5","59.7","114"
"9","Lamar Jackson","BLT","QB","13","2025","94","82","49","59.8","748","57.5","9.12","6","2","34","104.1","7","7.4","40","8.29","5","44","0","3.6","10.9","857","15.9","13","40.2","71.4","67.1","51.2","70.7","19.5","6.1","2.4","8","7.3","57","2.82","2.71","4.1","5.3","3","41","43.6","17.1","9.86","4.9","2.1","1","2","0","0.60","0.60","4.3","56.3","94"
"10","Patrick Mahomes","KC","QB","14","2025","152","131","66","50.4","743","53.1","5.67","4","3","40","68.3","8","5.3","69","4.45","13","131","2","-11.7","9.4","1122","15.3","20","54.0","60.5","69.5","48.9","61.8","26.7","8.4","3.8","4","4.6","64","2.66","2.65","3.8","4.6","2","63","41.4","12.7","10.39","1.5","9.9","9","2","0","0.45","0.45","4.8","67.8","152"
"11","Caleb Williams","CHI","QB","17","2025","104","91","51","56.0","656","38.6","7.21","3","0","35","89.8","4","3.8","19","7.34","9","103","1","0.7","8.5","720","12.1","11","54.6","72.9","73.6","50.5","74.7","18.7","4.4","2.2","5","12.1","87","2.87","2.74","5.4","5.4","2","39","37.5","10.3","2.86","2.2","2.9","5","1","0","0.52","0.52","3.2","54.5","104"
"12","Sam Darnold","SEA","QB","17","2025","84","78","50","64.1","643","37.8","8.24","7","4","31","98.4","3","3.6","22","7.17","3","40","0","4.0","10.0","719","10.3","8","35.8","73.2","74.4","61.5","75.6","12.8","10.3","6.4","4","2.6","21","2.39","2.41","2.8","4.2","1","25","29.8","12.0","0.74","","3.6","3","3","0","0.64","0.64","3.2","53.7","84"
"13","C.J. Stroud","HST","QB","14","2025","85","76","50","65.8","632","45.1","8.32","5","1","35","108.0","4","4.7","36","8.14","5","66","0","1.4","9.0","607","11.8","9","48.1","73.5","76.3","53.9","69.7","18.4","2.6","2.6","4","","0","2.54","2.34","3.4","4.9","1","35","41.2","11.4","10.86","2.6","3.5","4","3","0","0.60","0.60","3.6","50.9","85"
"14","Aaron Rodgers","PIT","QB","16","2025","102","94","49","52.1","614","38.4","6.53","6","0","28","94.0","5","4.9","26","7.15","3","31","0","-6.7","11.1","998","22.3","21","38.8","61.8","76.6","43.6","64.9","27.7","8.5","1.1","11","6.4","19","2.40","2.59","5.0","6.0","1","36","35.3","13.9","6.35","5.3","3.9","4","0","0","0.51","0.51","3.2","51.7","102"
"15","Geno Smith","LV","QB","15","2025","105","90","51","56.7","605","40.3","6.72","2","2","32","75.5","10","9.5","66","4.89","5","46","0","-9.0","9.2","808","16.7","15","52.9","62.1","78.9","53.3","64.4","33.3","3.3","4.4","3","3.3","21","2.44","2.38","2.9","6.3","0","49","46.7","20.4","19.11","1.1","3.8","2","0","0","0.33","0.33","2.3","34.8","105"
"16","Joe Flacco","CIN, CLV","QB","13","2025","109","99","53","53.5","586","45.1","5.92","6","5","31","70.5","7","6.4","52","4.05","3","17","0","2.7","9.5","867","13.1","13","33.4","73.3","70.7","55.6","72.7","16.2","10.1","4.0","5","13.1","137","2.48","2.47","3.1","4.8","2","45","41.3","15.6","11.41","8.1","2.8","5","3","0","0.40","0.40","3.4","44.1","109"
