"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Atlanta Falcons","17","2025","Atlanta","Falcons","243","16.6","928","56","0.23","35","62.5","550","32.4","2.26","9.82","15.71","75","2.14","27","0.77","6","5","8","4","4","0.11","21","0.086","2","3.6","41","73.2","2","3.6","9","5","55.6","2","108.5","52","92.9","0.6","100.0","","",""
"2","Arizona Cardinals","17","2025","Arizona","Cardinals","225","12.4","669","54","0.24","33","61.1","486","28.6","2.16","9.00","14.73","129","3.91","55","1.67","2","2","0","0","2","0.06","25","0.111","1","1.9","39","72.2","4","7.4","14","6","42.9","2","87.4","46","85.2","0.3","100.0","","",""
"3","Tennessee Titans","16","2025","Tennessee","Titans","171","11.4","457","40","0.23","29","72.5","456","28.5","2.67","11.40","15.72","165","5.69","59","2.03","3","4","4","2","2","0.07","19","0.111","2","5.0","33","82.5","2","5.0","5","4","80.0","1","135.0","34","85.0","3.3","100.0","","",""
"4","Los Angeles Chargers","17","2025","Los Angeles","Chargers","235","12.0","648","54","0.23","34","63.0","433","25.5","1.84","8.02","12.74","142","4.18","38","1.12","2","5","4","1","2","0.06","18","0.077","1","1.9","38","70.4","5","9.3","11","7","63.6","1","69.4","48","88.9","-0.2","100.0","","",""
"5","Detroit Lions","14","2025","Detroit","Lions","195","16.3","667","41","0.21","25","61.0","392","28.0","2.01","9.56","15.68","85","3.40","19","0.76","2","2","0","0","2","0.08","13","0.067","2","4.9","34","82.9","1","2.4","5","0","0.0","0","98.8","35","85.4","0.2","100.0","","",""
"6","Washington Commanders","17","2025","Washington","Commanders","171","11.4","480","42","0.25","29","69.0","377","22.2","2.20","8.98","13.00","142","4.90","63","2.17","2","4","2","0","6","0.21","18","0.105","0","","31","73.8","5","11.9","5","3","60.0","0","112.9","36","85.7","0.6","100.0","","",""
"7","New Orleans Saints","17","2025","New Orleans","Saints","141","14.7","470","32","0.23","22","68.8","352","20.7","2.50","11.00","16.00","98","4.45","28","1.27","2","0","1","0","1","0.05","14","0.099","0","","24","75.0","2","6.3","5","3","60.0","0","113.0","25","78.1","2.1","100.0","","",""
"8","San Francisco 49ers","17","2025","San Francisco","49ers","195","12.6","541","43","0.22","31","72.1","348","20.5","1.78","8.09","11.23","61","1.97","23","0.74","2","4","3","2","0","","17","0.087","3","7.0","37","86.0","2","4.7","8","5","62.5","0","111.4","35","81.4","-0.5","100.0","","",""
"9","Tampa Bay Buccaneers","15","2025","Tampa Bay","Buccaneers","183","12.8","537","42","0.23","27","64.3","340","22.7","1.86","8.10","12.59","92","3.41","33","1.22","0","2","3","0","5","0.19","13","0.071","2","4.8","30","71.4","3","7.1","6","4","66.7","1","79.5","37","88.1","-0.6","100.0","","",""
"10","Jacksonville Jaguars","17","2025","Jacksonville","Jaguars","173","9.7","409","42","0.24","28","66.7","332","19.5","1.92","7.90","11.86","133","4.75","26","0.93","1","2","2","0","3","0.11","11","0.064","1","2.4","33","78.6","9","21.4","10","5","50.0","2","78.7","34","81.0","0.0","100.0","","",""
"11","Kansas City Chiefs","17","2025","Kansas City","Chiefs","98","14.0","351","25","0.26","18","72.0","321","18.9","3.28","12.84","17.83","101","5.61","28","1.56","2","2","2","2","1","0.06","13","0.133","1","4.0","19","76.0","0","","3","3","100.0","1","140.8","19","76.0","4.0","100.0","","",""
"12","Los Angeles Rams","16","2025","Los Angeles","Rams","177","13.4","535","40","0.23","24","60.0","313","19.6","1.77","7.83","13.04","58","2.42","46","1.92","4","7","5","3","1","0.04","16","0.090","1","2.5","31","77.5","2","5.0","8","4","50.0","1","107.6","34","85.0","-0.9","100.0","","",""
"13","Houston Texans","16","2025","Houston","Texans","180","16.3","669","41","0.23","20","48.8","305","19.1","1.69","7.44","15.25","69","3.45","17","0.85","2","2","3","1","1","0.05","14","0.078","3","7.3","28","68.3","4","9.8","9","3","33.3","0","79.8","35","85.4","-2.0","100.0","","",""
"14","New York Giants","17","2025","New York","Giants","198","13.5","565","42","0.21","26","61.9","288","16.9","1.45","6.86","11.08","63","2.42","30","1.15","0","4","4","0","2","0.08","13","0.066","3","7.1","30","71.4","0","","11","8","72.7","1","72.3","32","76.2","-2.1","100.0","","",""
"15","Dallas Cowboys","17","2025","Dallas","Cowboys","114","13.3","332","25","0.22","19","76.0","285","16.8","2.50","11.40","15.00","53","2.79","32","1.68","2","2","4","2","4","0.21","10","0.088","2","8.0","21","84.0","1","4.0","6","6","100.0","1","139.6","22","88.0","2.6","100.0","","",""
"16","New York Jets","16","2025","New York","Jets","118","13.9","388","28","0.24","19","67.9","283","17.7","2.40","10.11","14.89","109","5.74","37","1.95","0","2","0","0","3","0.16","12","0.102","1","3.6","22","78.6","4","14.3","5","2","40.0","1","100.7","22","78.6","1.2","100.0","","",""
"17","Indianapolis Colts","16","2025","Indianapolis","Colts","130","12.1","350","29","0.22","19","65.5","274","17.1","2.11","9.45","14.42","73","3.84","33","1.74","0","2","0","0","2","0.11","12","0.092","2","6.9","23","79.3","2","6.9","1","0","0.0","0","96.0","24","82.8","1.0","100.0","","",""
"18","Philadelphia Eagles","17","2025","Philadelphia","Eagles","131","14.7","457","31","0.24","16","51.6","273","16.1","2.08","8.81","17.06","121","7.56","19","1.19","1","2","1","0","3","0.19","9","0.069","0","","19","61.3","2","6.5","9","6","66.7","1","65.7","22","71.0","-0.1","100.0","","",""
"19","Green Bay Packers","15","2025","Green Bay","Packers","114","14.1","381","27","0.24","18","66.7","272","18.1","2.39","10.07","15.11","45","2.50","9","0.50","4","6","4","3","1","0.06","13","0.114","1","3.7","22","81.5","1","3.7","9","6","66.7","0","139.2","17","63.0","0.9","100.0","","",""
"20","Las Vegas Raiders","17","2025","Las Vegas","Raiders","121","10.3","300","29","0.24","22","75.9","258","15.2","2.13","8.90","11.73","93","4.23","36","1.64","0","1","2","0","4","0.18","15","0.124","2","6.9","24","82.8","4","13.8","7","6","85.7","0","102.4","25","86.2","0.4","100.0","","",""
"21","Buffalo Bills","17","2025","Buffalo","Bills","124","12.6","377","30","0.24","22","73.3","236","13.9","1.90","7.87","10.73","53","2.41","36","1.64","3","4","5","3","2","0.09","11","0.089","1","3.3","26","86.7","2","6.7","4","2","50.0","2","89.7","26","86.7","-0.5","100.0","","",""
"22","New England Patriots","17","2025","New England","Patriots","125","12.0","349","29","0.23","18","62.1","205","12.1","1.64","7.07","11.39","82","4.56","30","1.67","1","4","3","1","3","0.17","9","0.072","0","","19","65.5","2","6.9","0","0","0.0","0","94.8","18","62.1","-1.5","100.0","","",""
"23","Seattle Seahawks","17","2025","Seattle","Seahawks","140","9.3","315","34","0.24","23","67.6","192","11.3","1.37","5.65","8.35","94","4.09","25","1.09","1","6","1","1","3","0.13","10","0.071","3","8.8","27","79.4","5","14.7","6","4","66.7","0","55.0","28","82.4","-2.2","100.0","","",""
"24","Denver Broncos","15","2025","Denver","Broncos","146","10.3","361","35","0.24","22","62.9","190","12.7","1.30","5.43","8.64","82","3.73","30","1.36","0","6","1","0","3","0.14","8","0.055","3","8.6","29","82.9","3","8.6","3","0","0.0","0","53.3","29","82.9","-2.4","100.0","","",""
"25","Carolina Panthers","16","2025","Carolina","Panthers","82","7.0","148","21","0.26","16","76.2","167","10.4","2.04","7.95","10.44","50","3.13","16","1.00","1","2","0","0","2","0.13","6","0.073","2","9.5","20","95.2","4","19.0","5","2","40.0","0","114.6","18","85.7","0.7","100.0","","",""
"26","Chicago Bears","17","2025","Chicago","Bears","77","14.1","239","17","0.22","11","64.7","156","9.2","2.03","9.18","14.18","53","4.82","9","0.82","1","2","2","0","0","","6","0.078","1","5.9","13","76.5","1","5.9","5","2","40.0","1","89.3","12","70.6","0.1","100.0","","",""
"27","Minnesota Vikings","16","2025","Minnesota","Vikings","93","12.6","278","22","0.24","11","50.0","148","9.3","1.59","6.73","13.45","84","7.64","49","4.45","0","3","1","0","4","0.36","8","0.086","3","13.6","15","68.2","1","4.5","4","3","75.0","0","52.8","18","81.8","-2.0","100.0","","",""
