"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Tetairoa McMillan","CAR","WR","17","2025","61","98.4","13.1","183","52.6","14","0.8","23.7","0.23","11","78.6","203","11.9","43.3","3.33","14.50","18.45","55","5.00","24","2.18","1","50.0","1","1","1","3","8","28.6","2","0.18","9","0.148","0","","12","85.7","0","","1","0","0.0","0","142.6","26.4","5.6","100.0","","","","0.61","2.2","37.3","22.6","1.3","0.37","22.6"
"2","Ja'Marr Chase","CIN","WR","16","2025","99","100.0","9.9","159","36.2","16","1.0","17.8","0.16","13","81.3","197","12.3","32.5","1.99","12.31","15.15","69","5.31","28","2.15","0","0.0","0","0","0","2","13","28.9","1","0.08","10","0.101","0","","15","93.8","0","","5","3","60.0","1","118.0","19.3","4.2","100.0","","","","0.33","2.0","32.7","25.9","1.6","0.26","25.9"
"3","Amon-Ra St. Brown","DET","WR","17","2025","44","95.7","10.6","138","44.5","13","0.8","31.0","0.30","11","84.6","195","11.5","45.1","4.43","15.00","17.73","89","8.09","15","1.36","0","0.0","0","0","0","0","10","38.5","3","0.27","8","0.182","0","","11","84.6","0","","1","1","100.0","0","79.2","31.7","6.4","100.0","","","","0.69","1.8","30.5","21.4","1.3","0.49","21.4"
"4","CeeDee Lamb","DAL","WR","14","2025","61","98.4","12.4","161","30.6","13","0.9","22.8","0.21","11","84.6","193","13.8","33.9","3.16","14.85","17.55","67","6.09","10","0.91","0","0.0","0","0","0","5","8","28.6","2","0.18","7","0.115","0","","12","92.3","1","7.7","1","0","0.0","0","118.8","26.5","6.4","100.0","","","","0.50","2.2","30.3","23.2","1.7","0.38","23.2"
"5","Zay Flowers","BLT","WR","17","2025","58","95.1","15.3","184","52.6","12","0.7","25.0","0.21","8","66.7","189","11.1","49.7","3.26","15.75","23.63","50","6.25","1","0.13","3","100.0","1","1","1","4","7","29.2","0","","6","0.103","3","25.0","11","91.7","1","8.3","1","1","100.0","0","149.3","26.7","6.1","100.0","","","","0.77","2.6","44.9","19.3","1.1","0.33","19.3"
"6","DK Metcalf","PIT","WR","15","2025","49","92.5","8.2","107","54.9","13","0.9","27.1","0.27","9","69.2","172","11.5","40.9","3.51","13.23","19.11","112","12.44","13","1.44","1","50.0","0","0","0","0","11","40.7","4","0.44","7","0.143","1","7.7","11","84.6","2","15.4","2","1","50.0","1","137.5","28.9","5.3","100.0","","","","0.66","2.1","32.2","19.9","1.3","0.41","19.9"
"7","DeVonta Smith","PHI","WR","17","2025","38","97.4","18.7","187","61.3","10","0.6","29.4","0.26","7","70.0","166","9.8","52.2","4.37","16.60","23.71","49","7.00","22","3.14","1","50.0","0","0","0","2","7","50.0","0","","4","0.105","1","10.0","8","80.0","0","","1","1","100.0","1","145.8","32.3","6.5","100.0","","","","0.78","1.7","29.6","19.6","1.2","0.52","19.6"
"8","Mack Hollins","NE","WR","15","2025","38","100.0","12.1","109","42.7","9","0.6","29.0","0.24","9","100.0","148","9.9","52.1","3.89","16.44","16.44","39","4.33","5","0.56","0","0.0","0","0","0","1","7","58.3","1","0.11","7","0.184","0","","9","100.0","0","","0","0","0.0","0","118.8","30.0","7.7","100.0","","","","0.63","1.6","23.8","13.4","0.9","0.35","13.4"
"9","Michael Pittman","IND","WR","17","2025","47","94.0","9.4","141","63.2","15","0.9","31.9","0.32","11","73.3","145","8.5","39.1","3.09","9.67","13.18","56","5.09","22","2.00","1","50.0","0","0","0","2","13","43.3","1","0.09","8","0.170","0","","12","80.0","2","13.3","1","0","0.0","0","86.1","33.3","2.0","100.0","","","","0.67","1.9","31.5","22.6","1.3","0.48","22.6"
"10","Jameson Williams","DET","WR","17","2025","70","94.6","15.9","127","25.7","8","0.5","11.8","0.11","7","87.5","132","7.8","23.7","1.89","16.50","18.86","30","4.29","8","1.14","0","0.0","0","0","0","3","6","13.6","1","0.14","6","0.086","0","","7","87.5","0","","0","0","0.0","0","118.8","12.5","6.4","100.0","","","","0.29","1.2","20.2","15.8","0.9","0.23","15.8"
