"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Brenton Strange","JAX","TE","12","2025","2","100.0","17.5","35","100.0","2","0.2","100.0","1.00","2","100.0","49","4.1","100.0","24.50","24.50","24.50","14","7.00","5","2.50","0","0.0","0","0","0","0","2","100.0","0","","2","1.000","0","","2","100.0","0","","0","0","0.0","0","118.8","100.0","12.2","","","","100.0","3.45","0.6","6.9","3.5","0.3","1.75","3.5"
"16","Christian McCaffrey","SF","RB","17","2025","67","84.8","2.8","37","6.3","13","0.8","17.3","0.19","10","76.9","46","2.7","9.5","0.69","3.54","4.60","53","5.30","15","1.50","2","28.6","5","0","0","1","9","18.0","0","","4","0.060","1","7.7","11","84.6","5","38.5","1","1","100.0","0","120.5","19.1","-3.8","","","","100.0","0.40","1.6","26.6","23.2","1.4","0.35","23.2"
"17","Ty Johnson","BUF","RB","17","2025","34","77.3","0.0","0","0.0","7","0.4","19.4","0.21","5","71.4","46","2.7","20.7","1.35","6.57","9.20","37","7.40","17","3.40","1","100.0","2","0","0","0","6","20.7","2","0.40","3","0.088","1","14.3","6","85.7","3","42.9","0","0","0.0","0","128.6","20.6","0.0","","","","100.0","0.46","0.9","15.6","14.9","0.9","0.44","14.9"
"18","Audric Estime","NO","RB","6","2025","11","68.8","4.5","9","5.9","2","0.3","13.3","0.18","2","100.0","38","6.3","29.0","3.45","19.00","19.00","29","14.50","1","0.50","0","0.0","0","0","0","0","1","8.3","0","","2","0.182","0","","2","100.0","1","50.0","0","0","0.0","0","118.8","13.3","11.4","","","","100.0","0.53","1.0","5.8","2.9","0.5","0.27","2.9"
"19","Rico Dowdle","CAR","RB","17","2025","23","52.3","-2.7","-8","-2.3","3","0.2","7.5","0.13","3","100.0","37","2.2","14.9","1.61","12.33","12.33","45","15.00","5","1.67","0","0.0","0","0","0","0","2","7.4","0","","2","0.087","0","","3","100.0","2","66.7","0","0","0.0","0","118.1","8.6","6.5","","","","100.0","0.29","0.4","6.7","5.0","0.3","0.22","5.0"
"20","Sean Tucker","TB","RB","17","2025","8","61.5","4.3","13","12.3","3","0.2","27.3","0.38","2","66.7","34","2.0","49.3","4.25","11.33","17.00","25","12.50","6","3.00","1","100.0","1","0","0","0","2","25.0","1","0.50","1","0.125","0","","2","66.7","0","","0","0","0.0","0","144.4","27.3","4.5","","","","100.0","1.43","0.7","11.4","7.1","0.4","0.89","7.1"
"21","Kareem Hunt","KC","RB","17","2025","58","69.9","-0.3","-1","-0.1","4","0.2","5.7","0.07","3","75.0","31","1.8","7.4","0.53","7.75","10.33","37","12.33","8","2.67","0","0.0","1","0","0","0","3","6.5","1","0.33","1","0.017","1","25.0","4","100.0","1","25.0","0","0","0.0","0","96.9","6.3","1.4","","","","100.0","0.11","0.4","6.1","7.6","0.4","0.13","7.6"
"22","Tyler Allgeier","ATL","RB","17","2025","15","68.2","-6.0","-6","-2.4","1","0.1","4.5","0.07","1","100.0","31","1.8","29.2","2.07","31.00","31.00","37","37.00","7","7.00","0","0.0","0","0","0","0","1","5.6","0","","1","0.067","0","","1","100.0","0","","0","0","0.0","0","118.8","4.8","25.9","","","","100.0","0.27","0.2","4.1","2.5","0.1","0.17","2.5"
"23","Breece Hall","NYJ","RB","16","2025","29","64.4","-1.8","-9","-3.2","5","0.3","13.2","0.17","5","100.0","31","1.9","29.0","1.07","6.20","6.20","40","8.00","7","1.40","0","0.0","2","0","0","0","5","15.6","0","","1","0.034","0","","5","100.0","3","60.0","0","0","0.0","0","92.5","14.3","0.3","","","","100.0","0.28","0.5","8.1","8.4","0.5","0.29","8.4"
"24","Marvin Mims","DEN","WR","15","2025","1","100.0","2.0","2","100.0","1","0.1","100.0","1.00","1","100.0","26","1.7","100.0","26.00","26.00","26.00","24","24.00","30","30.00","0","0.0","0","0","0","0","1","100.0","1","1.00","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","20.7","","","","100.0","3.60","0.2","3.6","1.4","0.1","1.39","1.4"
"25","Trayveon Williams","LAC, CLV","RB","6","2025","6","85.7","-4.0","-8","-400.0","2","0.3","33.3","0.33","1","50.0","26","4.3","42.6","4.33","13.00","26.00","28","28.00","2","2.00","0","0.0","0","0","0","0","2","50.0","0","","1","0.167","0","","1","50.0","2","100.0","0","0","0.0","0","95.8","40.0","7.4","","","","100.0","0.60","0.6","3.6","2.9","0.5","0.49","2.9"
"26","Cam Skattebo","NYG","RB","8","2025","21","80.8","-0.7","-2","-1.3","3","0.4","13.6","0.14","3","100.0","26","3.3","14.4","1.24","8.67","8.67","28","9.33","14","4.67","0","0.0","0","0","0","0","1","7.1","2","0.67","2","0.095","0","","3","100.0","1","33.3","0","0","0.0","0","102.8","15.0","2.6","","","","100.0","0.27","0.7","5.6","4.4","0.5","0.21","4.4"
"27","Ashton Jeanty","LV","RB","17","2025","55","62.5","0.9","7","1.3","8","0.5","11.1","0.15","6","75.0","25","1.5","5.6","0.45","3.13","4.17","27","4.50","14","2.33","0","0.0","0","0","0","0","6","11.1","1","0.17","1","0.018","0","","6","75.0","2","25.0","0","0","0.0","0","77.6","11.6","-3.1","","","","100.0","0.15","0.5","8.5","10.7","0.6","0.19","10.7"
"28","Aaron Jones","MIN","RB","12","2025","25","78.1","-3.4","-17","-7.4","5","0.4","18.5","0.20","4","80.0","24","2.0","15.9","0.96","4.80","6.00","35","8.75","6","1.50","0","0.0","1","0","0","0","5","22.7","0","","1","0.040","0","","4","80.0","3","60.0","0","0","0.0","0","86.7","20.0","-1.8","","","","100.0","0.26","0.5","6.4","8.8","0.7","0.35","8.8"
"29","Omarion Hampton","LAC","RB","9","2025","44","71.0","-3.3","-13","-2.9","4","0.4","7.1","0.09","4","100.0","23","2.6","6.4","0.52","5.75","5.75","36","9.00","8","2.00","0","0.0","0","0","0","0","3","6.3","0","","1","0.023","0","","4","100.0","2","50.0","1","1","100.0","0","90.6","7.4","0.0","","","","100.0","0.14","0.7","6.3","5.7","0.6","0.13","5.7"
"30","Jerome Ford","CLV","RB","13","2025","36","60.0","-0.7","-4","-1.0","6","0.5","11.3","0.17","4","66.7","23","1.8","7.5","0.64","3.83","5.75","25","6.25","5","1.25","0","0.0","1","0","0","0","3","7.9","0","","1","0.028","2","33.3","6","100.0","2","33.3","0","0","0.0","0","73.6","12.2","-2.1","","","","100.0","0.18","0.5","6.3","8.5","0.7","0.24","8.5"
"31","Tyler Badie","DEN","RB","16","2025","24","70.6","-5.7","-17","-5.9","3","0.2","10.0","0.13","3","100.0","23","1.4","9.4","0.96","7.67","7.67","40","13.33","15","5.00","0","0.0","0","0","0","0","2","8.7","1","0.33","2","0.083","0","","3","100.0","2","66.7","0","0","0.0","0","98.6","11.1","2.3","","","","100.0","0.22","0.3","5.3","4.5","0.3","0.19","4.5"
"32","Kyren Williams","LA","RB","17","2025","43","58.9","3.8","15","1.9","4","0.2","5.6","0.09","3","75.0","22","1.3","3.8","0.51","5.50","7.33","10","3.33","2","0.67","1","16.7","2","0","0","0","3","5.9","0","","1","0.023","1","25.0","4","100.0","0","","0","0","0.0","0","127.1","5.9","-1.1","","","","100.0","0.26","0.7","11.2","6.3","0.4","0.15","6.3"
"33","Alvin Kamara","NO","RB","11","2025","21","55.3","-5.5","-11","-3.6","2","0.2","6.1","0.10","2","100.0","22","2.0","10.0","1.05","11.00","11.00","33","16.50","4","2.00","0","0.0","1","0","0","0","1","4.0","1","0.50","1","0.048","0","","2","100.0","1","50.0","0","0","0.0","0","112.5","6.3","5.5","","","","100.0","0.20","0.4","4.2","4.1","0.4","0.19","4.1"
"34","RJ Harvey","DEN","RB","17","2025","9","64.3","6.3","19","10.8","3","0.2","21.4","0.33","2","66.7","21","1.2","19.3","2.33","7.00","10.50","18","9.00","2","1.00","1","50.0","2","0","0","0","3","37.5","0","","2","0.222","0","","2","66.7","0","","0","0","0.0","0","126.4","23.1","-0.6","","","","100.0","1.12","0.6","10.1","7.3","0.4","0.81","7.3"
"35","Chase Brown","CIN","RB","17","2025","42","70.0","1.8","9","1.5","5","0.3","8.6","0.12","4","80.0","21","1.2","6.9","0.50","4.20","5.25","14","3.50","1","0.25","2","28.6","3","1","1","0","2","4.5","2","0.50","2","0.048","1","20.0","5","100.0","0","","1","1","100.0","1","123.8","8.9","-1.8","","","","100.0","0.43","1.1","18.1","13.4","0.8","0.32","13.4"
"36","Ollie Gordon","MIA","RB","17","2025","7","87.5","-2.0","-2","-5.6","1","0.1","14.3","0.14","1","100.0","20","1.2","44.4","2.86","20.00","20.00","22","22.00","","","1","100.0","1","0","0","0","1","20.0","0","","1","0.143","0","","1","100.0","1","100.0","0","0","0.0","0","158.3","16.7","13.8","","","","100.0","1.29","0.5","9.0","1.6","0.1","0.23","1.6"
"37","Jonathan Taylor","IND","RB","17","2025","51","60.0","-2.0","-6","-0.8","3","0.2","3.9","0.06","2","66.7","20","1.2","4.0","0.39","6.67","10.00","26","13.00","19","9.50","0","0.0","0","0","0","0","1","1.5","0","","2","0.039","0","","2","66.7","1","33.3","1","0","0.0","0","85.4","4.2","0.8","","","","100.0","0.08","0.2","4.0","4.5","0.3","0.09","4.5"
"38","TreVeyon Henderson","NE","RB","17","2025","29","69.0","1.5","3","0.8","2","0.1","6.1","0.07","2","100.0","20","1.2","4.6","0.69","10.00","10.00","17","8.50","4","2.00","0","0.0","0","0","0","0","2","6.7","1","0.50","1","0.034","0","","2","100.0","1","50.0","0","0","0.0","0","108.3","6.3","3.5","","","","100.0","0.14","0.2","4.0","3.0","0.2","0.11","3.0"
"39","Ameer Abdullah","IND","RB","13","2025","6","85.7","-1.7","-5","-17.9","3","0.2","50.0","0.50","3","100.0","20","1.5","58.8","3.33","6.67","6.67","25","8.33","3","1.00","0","0.0","0","0","0","0","3","60.0","0","","2","0.333","0","","3","100.0","1","33.3","0","0","0.0","0","94.4","50.0","0.8","","","","100.0","0.83","0.4","5.0","4.1","0.3","0.69","4.1"
"40","Calvin Austin","PIT","WR","14","2025","1","100.0","18.0","18","100.0","1","0.1","100.0","1.00","1","100.0","18","1.3","100.0","18.00","18.00","18.00","0","","","","1","100.0","1","1","1","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","158.3","100.0","7.1","","","","100.0","8.80","0.6","8.8","3.2","0.2","3.18","3.2"
"41","Harold Fannin","CLV","TE","16","2025","2","66.7","11.0","11","44.0","1","0.1","33.3","0.50","1","100.0","18","1.1","75.0","9.00","18.00","18.00","7","7.00","","","1","100.0","1","0","0","0","1","33.3","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","158.3","33.3","9.3","","","","100.0","4.40","0.6","8.8","1.5","0.1","0.74","1.5"
"42","Hunter Henry","NE","TE","17","2025","3","100.0","13.0","13","56.5","1","0.1","50.0","0.33","1","100.0","18","1.1","64.3","6.00","18.00","18.00","5","5.00","1","1.00","0","0.0","0","0","0","0","1","50.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","8.0","","","","100.0","0.93","0.2","2.8","1.8","0.1","0.61","1.8"
