"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Bijan Robinson","ATL","RB","17","2025","90","75.6","-3.8","-80","-11.6","21","1.2","19.1","0.23","19","90.5","307","18.1","32.7","3.41","14.62","16.16","379","19.95","56","2.95","1","20.0","2","0","0","0","12","16.4","12","0.63","10","0.111","1","4.8","20","95.2","9","42.9","0","0","0.0","0","114.8","21.4","9.0","","","","100.0","0.62","3.3","55.7","32.4","1.9","0.36","32.4"
"2","Christian McCaffrey","SF","RB","17","2025","107","77.0","2.0","43","4.4","21","1.2","16.8","0.20","20","95.2","230","13.5","19.9","2.15","10.95","11.50","189","9.45","75","3.75","0","0.0","3","0","0","0","7","8.4","3","0.15","15","0.140","0","","20","95.2","3","14.3","0","0","0.0","0","112.3","18.4","4.4","","","","100.0","0.40","2.5","43.0","32.6","1.9","0.30","32.6"
"3","Breece Hall","NYJ","RB","16","2025","72","65.5","1.5","19","3.6","13","0.8","14.6","0.18","12","92.3","168","10.5","31.8","2.33","12.92","14.00","153","12.75","38","3.17","0","0.0","1","1","0","0","5","7.7","5","0.42","7","0.097","0","","13","100.0","3","23.1","1","0","0.0","0","118.8","16.3","6.5","","","","100.0","0.40","1.8","28.8","20.1","1.3","0.28","20.1"
"4","Kenneth Walker","SEA","RB","17","2025","46","67.6","-1.8","-21","-3.8","12","0.7","18.8","0.26","12","100.0","159","9.4","21.1","3.46","13.25","13.25","180","15.00","30","2.50","0","0.0","1","0","0","0","4","10.8","3","0.25","7","0.152","0","","12","100.0","2","16.7","0","0","0.0","0","118.8","20.3","7.5","","","","100.0","0.61","1.6","27.9","16.6","1.0","0.36","16.6"
"5","Jahmyr Gibbs","DET","RB","17","2025","73","67.6","-1.1","-21","-3.5","19","1.1","19.0","0.26","19","100.0","142","8.4","18.5","1.95","7.47","7.47","163","8.58","25","1.32","1","100.0","1","0","0","0","9","13.8","9","0.47","6","0.082","0","","19","100.0","2","10.5","1","1","100.0","0","115.4","20.9","1.6","","","","100.0","0.54","2.3","39.2","28.8","1.7","0.39","28.8"
"6","Jonathan Taylor","IND","RB","17","2025","91","67.4","-1.5","-23","-1.9","15","0.9","11.9","0.16","14","93.3","132","7.8","11.4","1.45","8.80","9.43","153","10.93","15","1.07","1","50.0","2","0","0","0","6","6.3","2","0.14","4","0.044","1","6.7","15","100.0","2","13.3","0","0","0.0","0","125.6","12.4","3.0","","","","100.0","0.36","2.0","33.2","26.9","1.6","0.30","26.9"
"7","Quinshon Judkins","CLV","RB","14","2025","47","73.4","-1.2","-17","-5.6","14","1.0","24.1","0.30","12","85.7","123","8.8","30.8","2.62","8.79","10.25","136","11.33","26","2.17","0","0.0","1","0","0","0","7","18.4","3","0.25","5","0.106","0","","13","92.9","5","35.7","1","0","0.0","1","103.3","25.5","2.9","","","","100.0","0.52","1.7","24.3","21.3","1.5","0.45","21.3"
"8","Woody Marks","HST","RB","16","2025","52","65.0","0.8","12","1.9","15","0.9","21.1","0.29","10","66.7","101","6.3","16.2","1.94","6.73","10.10","111","11.10","25","2.50","0","0.0","3","1","0","0","7","14.9","3","0.30","2","0.038","0","","12","80.0","4","26.7","1","0","0.0","0","85.7","22.7","0.2","","","","100.0","0.39","1.3","20.1","24.9","1.6","0.48","24.9"
"9","Travis Etienne","JAX","RB","17","2025","85","68.5","-2.4","-41","-4.3","17","1.0","15.5","0.20","15","88.2","98","5.8","13.9","1.15","5.76","6.53","132","8.80","31","2.07","1","16.7","3","0","0","0","10","12.7","5","0.33","5","0.059","0","","15","88.2","9","52.9","0","0","0.0","0","110.3","16.3","-0.2","","","","100.0","0.36","1.8","30.8","30.4","1.8","0.36","30.4"
"10","RJ Harvey","DEN","RB","17","2025","67","76.1","-0.2","-3","-0.5","16","0.9","19.8","0.24","13","81.3","98","5.8","14.0","1.46","6.13","7.54","113","8.69","32","2.46","0","0.0","2","0","0","0","6","12.0","1","0.08","5","0.075","1","6.3","14","87.5","1","6.3","0","0","0.0","0","92.2","20.8","-0.1","","","","100.0","0.34","1.3","22.8","26.5","1.6","0.40","26.5"
