"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Ashton Dulin","IND","WR","12","2025","1","100.0","6.0","6","100.0","1","0.1","100.0","1.00","1","100.0","48","4.0","100.0","48.00","48.00","48.00","42","42.00","15","15.00","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","41.1","","","100.0","","5.80","0.5","5.8","1.3","0.1","1.32","1.3"
"2","Ben Sinnott","WAS","TE","16","2025","3","100.0","22.0","22","66.7","1","0.1","33.3","0.33","1","100.0","36","2.3","94.7","12.00","36.00","36.00","14","14.00","6","6.00","0","0.0","0","0","0","1","1","50.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","25.4","","","100.0","","1.53","0.3","4.6","2.0","0.1","0.67","2.0"
"3","Josh Oliver","MIN","TE","15","2025","3","60.0","15.0","15","55.6","1","0.1","25.0","0.33","1","100.0","32","2.1","88.9","10.67","32.00","32.00","17","17.00","","","1","50.0","0","0","0","0","1","25.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","158.3","25.0","21.4","","","100.0","","3.40","0.7","10.2","1.9","0.1","0.63","1.9"
"4","Terrance Ferguson","LA","TE","13","2025","2","50.0","35.0","35","53.8","1","0.1","25.0","0.50","1","100.0","31","2.4","96.9","15.50","31.00","31.00","0","","","","1","50.0","0","1","1","1","1","25.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","158.3","25.0","31.0","","","100.0","","5.05","0.8","10.1","3.3","0.3","1.63","3.3"
"5","Jackson Hawes","BUF","TE","17","2025","5","45.5","26.0","52","57.1","2","0.1","20.0","0.40","1","50.0","29","1.7","42.0","5.80","14.50","29.00","4","4.00","4","4.00","0","0.0","0","0","0","2","1","14.3","0","","1","0.200","0","","1","50.0","0","","2","1","50.0","0","95.8","20.0","2.9","","","100.0","","0.78","0.2","3.9","4.5","0.3","0.90","4.5"
"6","Brenton Strange","JAX","TE","12","2025","8","88.9","4.3","13","21.7","3","0.3","33.3","0.38","3","100.0","25","2.1","30.9","3.13","8.33","8.33","16","5.33","5","1.67","1","50.0","1","1","1","0","3","42.9","1","0.33","2","0.250","0","","3","100.0","0","","1","1","100.0","0","141.0","37.5","1.7","","","100.0","","1.44","1.0","11.5","5.7","0.5","0.71","5.7"
"7","Tyler Higbee","LA","TE","10","2025","8","47.1","2.8","11","10.4","4","0.4","25.0","0.50","3","75.0","15","1.5","34.1","1.88","3.75","5.00","11","3.67","1","0.33","2","25.0","4","1","1","0","4","26.7","0","","2","0.250","0","","3","75.0","0","","0","0","0.0","0","119.8","25.0","-2.7","","","100.0","","2.06","1.7","16.5","11.1","1.1","1.39","11.1"
"8","Charlie Kolar","BLT","TE","17","2025","4","100.0","5.0","10","31.3","2","0.1","50.0","0.50","2","100.0","13","0.8","68.4","3.25","6.50","6.50","5","2.50","","","2","50.0","2","1","1","0","2","66.7","0","","2","0.500","0","","2","100.0","0","","0","0","0.0","0","133.3","50.0","0.0","","","100.0","","3.83","0.9","15.3","5.2","0.3","1.31","5.2"
"9","Luke Schoonmaker","DAL","TE","17","2025","11","100.0","2.0","2","3.4","1","0.1","9.1","0.09","1","100.0","11","0.6","27.5","1.00","11.00","11.00","9","9.00","3","3.00","0","0.0","0","0","0","0","1","11.1","0","","1","0.091","0","","1","100.0","0","","0","0","0.0","0","112.5","9.1","4.6","","","100.0","","0.19","0.1","2.1","1.5","0.1","0.14","1.5"
"10","Dallas Goedert","PHI","TE","15","2025","6","66.7","1.3","5","8.8","4","0.3","44.4","0.67","3","75.0","10","0.7","13.7","1.67","2.50","3.33","12","4.00","1","0.33","3","100.0","4","1","1","0","4","44.4","0","","3","0.500","1","25.0","4","100.0","2","50.0","0","0","0.0","0","116.7","44.4","-3.1","","","100.0","","3.67","1.5","22.0","12.8","0.9","2.14","12.8"
