"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"20","Seattle Seahawks","14","2025","Seattle","Seahawks","88","7.8","163","21","0.24","14","66.7","154","11.0","1.75","7.33","11.00","97","6.93","30","2.14","1","1","1","1","5","0.36","9","0.102","0","","16","76.2","4","19.0","3","1","33.3","0","64.5","16","76.2","-0.5","","100.0","",""
"21","Kansas City Chiefs","14","2025","Kansas City","Chiefs","81","4.3","90","21","0.26","16","76.2","146","10.4","1.80","6.95","9.13","102","6.38","27","1.69","0","1","0","0","1","0.06","7","0.086","2","9.5","18","85.7","5","23.8","1","1","100.0","0","94.5","15","71.4","0.2","","100.0","",""
"22","Tampa Bay Buccaneers","17","2025","Tampa Bay","Buccaneers","99","8.8","210","24","0.24","17","70.8","140","8.2","1.41","5.83","8.24","69","4.06","22","1.29","0","1","0","0","5","0.29","9","0.091","0","","19","79.2","3","12.5","4","1","25.0","0","68.1","18","75.0","-1.8","","100.0","",""
"23","Denver Broncos","16","2025","Denver","Broncos","97","11.1","244","22","0.23","16","72.7","134","8.4","1.38","6.09","8.38","49","3.06","13","0.81","0","1","0","0","0","","5","0.052","0","","18","81.8","2","9.1","6","3","50.0","0","69.1","20","90.9","-1.8","","100.0","",""
"24","Las Vegas Raiders","15","2025","Las Vegas","Raiders","78","5.3","96","18","0.23","15","83.3","109","7.3","1.40","6.06","7.27","46","3.07","16","1.07","0","2","0","0","0","","6","0.077","1","5.6","16","88.9","2","11.1","3","3","100.0","0","91.9","14","77.8","-0.7","","100.0","",""
"25","New York Giants","16","2025","New York","Giants","62","7.4","104","14","0.23","10","71.4","104","6.5","1.68","7.43","10.40","50","5.00","30","3.00","0","0","0","0","2","0.20","2","0.032","1","7.1","12","85.7","2","14.3","2","2","100.0","0","62.8","12","85.7","-0.3","","100.0","",""
"26","Carolina Panthers","12","2025","Carolina","Panthers","50","9.2","110","12","0.24","9","75.0","95","7.9","1.90","7.92","10.56","37","4.11","10","1.11","0","1","1","0","0","","2","0.040","0","","9","75.0","2","16.7","2","2","100.0","0","97.6","8","66.7","-0.1","","100.0","",""
"27","Houston Texans","15","2025","Houston","Texans","65","7.4","119","16","0.25","13","81.3","91","6.1","1.40","5.69","7.00","53","4.08","16","1.23","0","0","0","0","2","0.15","4","0.062","1","6.3","15","93.8","4","25.0","1","1","100.0","0","90.4","12","75.0","-2.0","","100.0","",""
"28","Buffalo Bills","13","2025","Buffalo","Bills","62","8.2","107","13","0.21","8","61.5","72","5.5","1.16","5.54","9.00","31","3.88","13","1.63","0","0","0","0","1","0.13","2","0.032","2","15.4","10","76.9","1","7.7","3","3","100.0","0","76.4","10","76.9","-2.5","","100.0","",""
"29","San Francisco 49ers","15","2025","San Francisco","49ers","40","4.0","40","10","0.25","7","70.0","65","4.3","1.63","6.50","9.29","42","6.00","8","1.14","0","2","0","0","0","","3","0.075","1","10.0","8","80.0","3","30.0","1","1","100.0","0","87.5","6","60.0","-0.1","","100.0","",""
"30","New Orleans Saints","13","2025","New Orleans","Saints","20","2.8","17","6","0.30","5","83.3","34","2.6","1.70","5.67","6.80","15","3.00","5","1.00","0","0","0","0","0","","3","0.150","0","","5","83.3","3","50.0","0","0","0.0","0","90.3","4","66.7","-0.8","","100.0","",""
"31","Philadelphia Eagles","13","2025","Philadelphia","Eagles","28","10.3","62","6","0.21","2","33.3","12","0.9","0.43","2.00","6.00","9","4.50","6","3.00","0","1","0","0","0","","0","0.000","1","16.7","5","83.3","0","","2","0","0.0","0","42.4","3","50.0","-6.7","","100.0","",""
