"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","Seattle Seahawks","15","2025","Seattle","Seahawks","167","12.0","433","36","0.22","25","69.4","370","24.7","2.22","10.28","14.80","141","5.64","65","2.60","2","6","3","1","4","0.16","14","0.084","0","","28","77.8","2","5.6","5","2","40.0","0","121.3","28","77.8","1.4","","100.0","",""
"2","Arizona Cardinals","17","2025","Arizona","Cardinals","211","7.7","368","48","0.23","37","77.1","364","21.4","1.73","7.58","9.84","220","5.95","69","1.86","0","6","4","0","7","0.19","19","0.090","1","2.1","38","79.2","3","6.3","4","4","100.0","0","89.2","41","85.4","0.3","","100.0","",""
"3","New York Giants","15","2025","New York","Giants","116","10.6","264","25","0.22","20","80.0","309","20.6","2.66","12.36","15.45","126","6.30","21","1.05","1","0","1","0","2","0.10","13","0.112","2","8.0","23","92.0","1","4.0","5","4","80.0","0","131.5","19","76.0","4.5","","100.0","",""
"4","San Francisco 49ers","17","2025","San Francisco","49ers","147","7.7","254","33","0.22","26","78.8","304","17.9","2.07","9.21","11.69","126","4.85","42","1.62","2","2","2","2","6","0.23","17","0.116","1","3.0","27","81.8","4","12.1","3","3","100.0","0","125.3","24","72.7","1.8","","100.0","",""
"5","Atlanta Falcons","16","2025","Atlanta","Falcons","185","6.2","247","40","0.22","32","80.0","292","18.3","1.58","7.30","9.13","147","4.59","28","0.88","0","3","0","0","3","0.09","15","0.081","1","2.5","36","90.0","4","10.0","9","6","66.7","0","86.7","31","77.5","0.2","","100.0","",""
"6","New Orleans Saints","17","2025","New Orleans","Saints","139","5.1","158","31","0.22","27","87.1","247","14.5","1.78","7.97","9.15","167","6.19","46","1.70","0","2","0","0","6","0.22","10","0.072","1","3.2","28","90.3","2","6.5","3","2","66.7","0","99.9","23","74.2","1.2","","100.0","",""
"7","Kansas City Chiefs","17","2025","Kansas City","Chiefs","123","3.8","136","36","0.29","30","83.3","239","14.1","1.94","6.64","7.97","139","4.63","36","1.20","0","4","0","0","2","0.07","12","0.098","2","5.6","33","91.7","12","33.3","3","2","66.7","1","71.2","31","86.1","0.2","","100.0","",""
"8","Las Vegas Raiders","15","2025","Las Vegas","Raiders","136","8.2","280","34","0.25","26","76.5","229","15.3","1.68","6.74","8.81","107","4.12","47","1.81","0","6","3","0","4","0.15","9","0.066","0","","28","82.4","4","11.8","4","2","50.0","0","93.9","27","79.4","-0.6","","100.0","",""
"9","Tennessee Titans","17","2025","Tennessee","Titans","117","6.3","169","27","0.23","19","70.4","225","13.2","1.92","8.33","11.84","136","7.16","43","2.26","2","1","1","1","6","0.32","6","0.051","0","","22","81.5","5","18.5","3","1","33.3","0","120.1","21","77.8","1.2","","100.0","",""
"10","Washington Commanders","16","2025","Washington","Commanders","116","7.8","242","31","0.27","22","71.0","219","13.7","1.89","7.06","9.95","120","5.45","37","1.68","1","5","1","0","1","0.05","13","0.112","1","3.2","25","80.6","7","22.6","6","3","50.0","0","88.0","25","80.6","-0.2","","100.0","",""
"11","Detroit Lions","15","2025","Detroit","Lions","82","7.0","139","20","0.24","16","80.0","208","13.9","2.54","10.40","13.00","96","6.00","39","2.44","1","1","1","1","2","0.13","10","0.122","2","10.0","18","90.0","3","15.0","4","3","75.0","0","126.7","17","85.0","3.1","","100.0","",""
"12","New York Jets","10","2025","New York","Jets","82","7.7","147","19","0.23","17","89.5","201","20.1","2.45","10.58","11.82","99","5.82","29","1.71","1","5","0","0","1","0.06","9","0.110","0","","17","89.5","3","15.8","1","1","100.0","0","128.3","17","89.5","3.1","","100.0","",""
"13","New England Patriots","14","2025","New England","Patriots","114","7.8","196","25","0.22","17","68.0","182","13.0","1.60","7.28","10.71","73","4.29","26","1.53","2","4","2","1","0","","10","0.088","3","12.0","21","84.0","2","8.0","4","2","50.0","1","82.4","19","76.0","-0.4","","100.0","",""
"14","Los Angeles Chargers","15","2025","Los Angeles","Chargers","99","9.1","209","23","0.23","17","73.9","173","11.5","1.75","7.52","10.18","80","4.71","39","2.29","1","0","1","0","5","0.29","6","0.061","1","4.3","18","78.3","3","13.0","2","2","100.0","0","109.5","20","87.0","-0.1","","100.0","",""
"15","Jacksonville Jaguars","15","2025","Jacksonville","Jaguars","111","10.6","286","27","0.24","13","48.1","170","11.3","1.53","6.30","13.08","105","8.08","37","2.85","1","2","2","0","3","0.23","6","0.054","0","","14","51.9","4","14.8","3","2","66.7","0","65.4","17","63.0","-2.1","","100.0","",""
"16","Houston Texans","17","2025","Houston","Texans","113","10.5","283","27","0.24","14","51.9","163","9.6","1.44","6.04","11.64","93","6.64","37","2.64","2","5","1","1","2","0.14","7","0.062","3","11.1","21","77.8","3","11.1","7","2","28.6","1","55.6","20","74.1","-2.2","","100.0","",""
"17","Pittsburgh Steelers","17","2025","Pittsburgh","Steelers","89","4.8","92","19","0.21","15","78.9","158","9.3","1.78","8.32","10.53","86","5.73","16","1.07","0","4","0","0","5","0.33","8","0.090","0","","17","89.5","1","5.3","4","2","50.0","0","101.3","13","68.4","1.4","","100.0","",""
