"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"162","Tai Felton","MIN","WR","14","2025","4","80.0","7.0","7","22.6","1","0.1","20.0","0.25","1","100.0","9","0.6","52.9","2.25","9.00","9.00","2","2.00","","","0","0.0","0","0","0","0","1","25.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","104.2","20.0","1.9","100.0","","","","0.48","0.1","1.9","3.6","0.3","0.90","3.6"
"163","Jordan Whittington","LA","WR","17","2025","24","100.0","8.5","17","9.0","2","0.1","8.7","0.08","1","50.0","9","0.5","7.4","0.38","4.50","9.00","3","3.00","","","0","0.0","0","0","0","0","2","12.5","0","","0","0.000","1","50.0","2","100.0","0","","0","0","0.0","0","62.5","9.5","-3.1","100.0","","","","0.08","0.1","1.9","4.3","0.3","0.18","4.3"
"164","Dalton Schultz","HST","TE","17","2025","11","100.0","9.0","9","6.8","1","0.1","9.1","0.09","1","100.0","9","0.5","6.9","0.82","9.00","9.00","0","","","","0","0.0","0","0","0","0","0","0.0","0","","1","0.091","0","","1","100.0","0","","0","0","0.0","0","104.2","10.0","1.7","100.0","","","","0.17","0.1","1.9","1.4","0.1","0.13","1.4"
"165","Zach Ertz","WAS","TE","13","2025","12","100.0","5.0","10","8.3","2","0.2","18.2","0.17","1","50.0","9","0.7","19.6","0.75","4.50","9.00","1","1.00","","","0","0.0","1","1","0","0","1","14.3","0","","1","0.083","0","","1","50.0","0","","1","1","100.0","0","62.5","22.2","-2.5","100.0","","","","0.16","0.1","1.9","6.6","0.5","0.55","6.6"
"166","Tyler Warren","IND","TE","17","2025","6","100.0","9.0","9","20.0","1","0.1","16.7","0.17","1","100.0","9","0.5","21.4","1.50","9.00","9.00","0","","","","0","0.0","0","0","0","0","1","16.7","0","","1","0.167","0","","1","100.0","0","","0","0","0.0","0","104.2","16.7","1.7","100.0","","","","0.32","0.1","1.9","1.4","0.1","0.23","1.4"
"167","Tyreek Hill","MIA","WR","4","2025","2","100.0","10.0","10","43.5","1","0.3","50.0","0.50","1","100.0","9","2.3","100.0","4.50","9.00","9.00","-1","-1.00","-1","-1.00","0","0.0","0","0","0","0","1","100.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","104.2","50.0","1.5","100.0","","","","0.95","0.5","1.9","1.6","0.4","0.81","1.6"
"168","Breece Hall","NYJ","RB","16","2025","2","100.0","-4.0","-4","-50.0","1","0.1","50.0","0.50","1","100.0","9","0.6","100.0","4.50","9.00","9.00","13","13.00","","","0","0.0","0","0","0","0","1","100.0","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","104.2","50.0","3.4","100.0","","","","0.95","0.1","1.9","1.3","0.1","0.64","1.3"
"169","Jimmy Horn","CAR","WR","13","2025","4","100.0","-2.0","-2","-33.3","1","0.1","33.3","0.25","1","100.0","8","0.6","50.0","2.00","8.00","8.00","10","10.00","2","2.00","0","0.0","0","0","0","0","1","50.0","0","","0","0.000","0","","1","100.0","1","100.0","0","0","0.0","0","100.0","33.3","2.5","100.0","","","","0.45","0.1","1.8","1.7","0.1","0.42","1.7"
"170","Braxton Berrios","HST","WR","4","2025","3","100.0","7.0","7","29.2","1","0.3","33.3","0.33","1","100.0","8","2.0","21.1","2.67","8.00","8.00","1","1.00","","","0","0.0","0","0","0","0","1","33.3","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","100.0","33.3","0.9","100.0","","","","0.60","0.5","1.8","1.6","0.4","0.53","1.6"
"171","Isaiah Williams","NYJ","WR","15","2025","22","95.7","5.0","10","5.0","2","0.1","9.1","0.09","1","50.0","8","0.5","19.0","0.36","4.00","8.00","4","4.00","1","1.00","0","0.0","0","0","0","0","2","10.5","0","","1","0.045","0","","1","50.0","0","","0","0","0.0","0","60.4","10.0","-2.5","100.0","","","","0.08","0.1","1.8","3.0","0.2","0.13","3.0"
"172","Bryce Oliver","TEN","WR","3","2025","3","100.0","5.0","5","33.3","1","0.3","50.0","0.33","1","100.0","8","2.7","44.4","2.67","8.00","8.00","3","3.00","2","2.00","0","0.0","0","0","0","0","1","50.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","100.0","50.0","1.6","100.0","","","","0.60","0.6","1.8","1.4","0.5","0.47","1.4"
"173","Tucker Kraft","GB","TE","8","2025","6","100.0","11.0","11","23.4","1","0.1","20.0","0.17","1","100.0","8","1.0","57.1","1.33","8.00","8.00","-3","-3.00","","","0","0.0","0","0","0","0","0","0.0","0","","1","0.167","0","","1","100.0","0","","0","0","0.0","0","100.0","20.0","-0.7","100.0","","","","0.30","0.2","1.8","1.7","0.2","0.28","1.7"
"174","KhaDarel Hodge","ATL","WR","11","2025","9","100.0","11.0","33","57.9","3","0.3","33.3","0.33","1","33.3","8","0.7","25.0","0.89","2.67","8.00","1","1.00","","","0","0.0","0","0","0","0","2","33.3","0","","1","0.111","0","","1","33.3","0","","0","0","0.0","0","42.4","37.5","-6.1","100.0","","","","0.20","0.2","1.8","4.7","0.4","0.53","4.7"
