"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"23","Jacory Croskey-Merritt","WAS","RB","17","2025","44","148","8.7","3.36","2","1","11","","0","","70.0","4.5","56.8","40.9","7","0.16","74","1.68","50.0","1.68","44","100.0","148","2","3.36","56.8","0","","0","0","","","1.6","26.8","36.4","2.1"
"24","Bijan Robinson","ATL","RB","17","2025","43","195","11.5","4.53","0","0","8","2.3","18","9.2","100.0","","44.2","39.5","12","0.28","105","2.44","53.8","2.09","43","100.0","195","0","4.53","44.2","0","","0","0","","","1.1","19.5","26.7","1.6"
"25","Isiah Pacheco","KC","RB","13","2025","42","161","12.4","3.83","1","0","12","2.4","16","9.9","0.0","2.4","66.7","35.7","5","0.12","98","2.33","60.9","1.50","42","100.0","161","1","3.83","66.7","0","","0","0","","","1.7","22.1","21.5","1.7"
"26","Kenneth Walker","SEA","RB","17","2025","42","227","13.4","5.40","1","0","9","14.3","142","62.6","23.1","2.4","38.1","57.1","10","0.24","68","1.62","30.0","3.79","42","100.0","227","1","5.40","38.1","0","","0","0","","","1.7","28.7","27.7","1.6"
"27","Bucky Irving","TB","RB","10","2025","41","116","11.6","2.83","0","0","7","","0","","0.0","","39.0","43.9","6","0.15","61","1.49","52.6","1.34","41","100.0","116","0","2.83","39.0","0","","0","0","","","1.2","11.6","20.4","2.0"
"28","Tony Pollard","TEN","RB","17","2025","40","213","12.5","5.33","1","0","6","2.5","65","30.5","0.0","2.5","55.0","42.5","0","","78","1.95","36.6","3.38","40","100.0","213","1","5.33","55.0","0","","0","0","","","1.6","27.3","20.3","1.2"
"29","Devin Singletary","NYG","RB","17","2025","39","151","8.9","3.87","0","0","9","","0","","37.5","","51.3","35.9","2","0.05","83","2.13","55.0","1.74","39","100.0","151","0","3.87","51.3","0","","0","0","","","0.9","15.1","23.3","1.4"
"30","Woody Marks","HST","RB","16","2025","37","135","8.4","3.65","0","0","7","2.7","21","15.6","37.5","","59.5","37.8","3","0.08","74","2.00","54.8","1.65","37","100.0","135","0","3.65","59.5","0","","0","0","","","0.8","13.5","23.9","1.5"
"31","David Montgomery","DET","RB","17","2025","37","139","8.2","3.76","3","0","9","2.7","35","25.2","57.1","8.1","40.5","45.9","4","0.11","84","2.27","60.4","1.49","37","100.0","139","3","3.76","40.5","0","","0","0","","","1.9","31.9","26.1","1.5"
"32","Kyle Monangai","CHI","RB","17","2025","36","129","7.6","3.58","1","0","7","","0","","40.0","2.8","44.4","41.7","2","0.06","64","1.78","49.6","1.81","36","100.0","129","1","3.58","44.4","0","","0","0","","","1.1","18.9","21.1","1.2"
"33","Samaje Perine","CIN","RB","15","2025","35","141","9.4","4.03","1","3","15","2.9","32","22.7","25.0","2.9","54.3","31.4","4","0.11","92","2.63","65.2","1.40","35","100.0","141","1","4.03","54.3","0","","0","0","","","1.2","18.1","17.4","1.2"
"34","Emanuel Wilson","GB","RB","17","2025","33","136","8.0","4.12","0","0","5","","0","","16.7","","57.6","36.4","3","0.09","77","2.33","56.6","1.79","33","100.0","136","0","4.12","57.6","0","","0","0","","","0.8","13.6","17.6","1.0"
"35","Cam Skattebo","NYG","RB","8","2025","33","119","14.9","3.61","1","1","8","3.0","16","13.4","66.7","3.0","45.5","48.5","7","0.21","89","2.70","74.8","0.91","33","100.0","119","1","3.61","45.5","0","","0","0","","","2.1","16.9","21.5","2.7"
"36","Devin Neal","NO","RB","9","2025","33","111","12.3","3.36","1","0","5","","0","","50.0","3.0","57.6","33.3","2","0.06","62","1.88","55.9","1.48","33","100.0","111","1","3.36","57.6","0","","0","0","","","1.9","17.1","23.6","2.6"
"37","Jordan Mason","MIN","RB","16","2025","32","153","9.6","4.78","2","1","10","6.3","46","30.1","50.0","6.3","50.0","46.9","4","0.13","96","3.00","62.7","1.78","32","100.0","153","2","4.78","50.0","0","","0","0","","","1.6","26.3","18.1","1.1"
"38","Kenneth Gainwell","PIT","RB","17","2025","31","174","10.2","5.61","0","0","14","6.5","53","30.5","12.5","","67.7","35.5","7","0.23","87","2.81","50.0","2.81","31","100.0","174","0","5.61","67.7","0","","0","0","","","1.0","17.4","16.3","1.0"
"39","Nick Chubb","HST","RB","15","2025","30","142","9.5","4.73","1","0","3","3.3","25","17.6","40.0","3.3","50.0","43.3","2","0.07","58","1.93","40.8","2.80","30","100.0","142","1","4.73","50.0","0","","0","0","","","1.3","20.2","22.5","1.5"
"40","D'Andre Swift","CHI","RB","16","2025","30","195","12.2","6.50","2","0","8","10.0","65","33.3","60.0","6.7","66.7","13.3","8","0.27","86","2.87","44.1","3.63","30","100.0","195","2","6.50","66.7","0","","0","0","","","2.0","31.5","19.5","1.2"
"41","Aaron Jones","MIN","RB","12","2025","30","129","10.8","4.30","0","0","8","3.3","18","14.0","100.0","","43.3","40.0","2","0.07","65","2.17","50.4","2.13","30","100.0","129","0","4.30","43.3","0","","0","0","","","1.1","12.9","14.7","1.2"
"42","Blake Corum","LA","RB","17","2025","30","109","6.4","3.63","1","0","5","","0","","44.4","3.3","46.7","46.7","8","0.27","53","1.77","48.6","1.87","30","100.0","109","1","3.63","46.7","0","","0","0","","","1.0","16.9","21.7","1.3"
