"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"24","Tank Bigsby","JAX, PHI","RB","16","2025","10","66","4.1","6.60","0","0","3","10.0","17","25.8","66.7","","70.0","40.0","5","0.50","39","3.90","59.1","2.70","0","","0","0","","","10","100.0","66","0","6.60","70.0","0.4","6.6","8.3","0.5"
"25","Devin Singletary","NYG","RB","17","2025","9","34","2.0","3.78","0","0","1","","0","","0.0","","33.3","55.6","0","","12","1.33","35.3","2.44","0","","0","0","","","9","100.0","34","0","3.78","33.3","0.2","3.4","4.7","0.3"
"26","Alvin Kamara","NO","RB","11","2025","9","46","4.2","5.11","0","0","3","11.1","17","37.0","0.0","","44.4","44.4","1","0.11","15","1.67","32.6","3.44","0","","0","0","","","9","100.0","46","0","5.11","44.4","0.4","4.6","4.5","0.4"
"27","Kimani Vidal","LAC","RB","13","2025","8","54","4.2","6.75","0","0","3","12.5","21","38.9","100.0","","62.5","37.5","2","0.25","23","2.88","42.6","3.88","0","","0","0","","","8","100.0","54","0","6.75","62.5","0.4","5.4","6.7","0.5"
"28","James Conner","ARZ","RB","3","2025","8","21","7.0","2.63","0","0","0","","0","","0.0","","37.5","62.5","2","0.25","16","2.00","76.2","0.63","0","","0","0","","","8","100.0","21","0","2.63","37.5","0.7","2.1","4.3","1.4"
"29","Dylan Sampson","CLV","RB","15","2025","7","1","0.1","0.14","0","0","1","","0","","0.0","","14.3","85.7","1","0.14","9","1.29","900.0","-1.14","0","","0","0","","","7","100.0","1","0","0.14","14.3","0.0","0.1","3.4","0.2"
"30","Jaylen Warren","PIT","RB","16","2025","7","49","3.1","7.00","0","0","3","14.3","21","42.9","0.0","","71.4","28.6","3","0.43","31","4.43","63.3","2.57","0","","0","0","","","7","100.0","49","0","7.00","71.4","0.3","4.9","3.6","0.2"
"31","Chris Rodriguez","WAS","RB","13","2025","7","76","5.8","10.86","0","0","2","28.6","65","85.5","0.0","","42.9","57.1","2","0.29","53","7.57","69.7","3.29","0","","0","0","","","7","100.0","76","0","10.86","42.9","0.6","7.6","3.7","0.3"
"32","David Montgomery","DET","RB","17","2025","7","27","1.6","3.86","0","0","1","","0","","0.0","","71.4","28.6","2","0.29","18","2.57","66.7","1.29","0","","0","0","","","7","100.0","27","0","3.86","71.4","0.2","2.7","3.3","0.2"
"33","Jahmyr Gibbs","DET","RB","17","2025","7","15","0.9","2.14","1","0","2","","0","","100.0","14.3","28.6","57.1","3","0.43","26","3.71","173.3","-1.57","0","","0","0","","","7","100.0","15","1","2.14","28.6","0.4","7.5","6.1","0.4"
"34","Zach Charbonnet","SEA","RB","16","2025","7","16","1.0","2.29","0","0","0","","0","","0.0","","28.6","57.1","1","0.14","15","2.14","93.8","0.14","0","","0","0","","","7","100.0","16","0","2.29","28.6","0.1","1.6","3.9","0.2"
"35","Isiah Pacheco","KC","RB","13","2025","7","27","2.1","3.86","0","0","3","","0","","0.0","","42.9","57.1","0","","9","1.29","33.3","2.57","0","","0","0","","","7","100.0","27","0","3.86","42.9","0.2","2.7","3.6","0.3"
"36","Emanuel Wilson","GB","RB","17","2025","7","27","1.6","3.86","0","0","2","","0","","0.0","","57.1","42.9","0","","23","3.29","85.2","0.57","0","","0","0","","","7","100.0","27","0","3.86","57.1","0.2","2.7","3.3","0.2"
"37","Tony Pollard","TEN","RB","17","2025","7","22","1.3","3.14","0","0","2","","0","","0.0","","42.9","42.9","2","0.29","21","3.00","95.5","0.14","0","","0","0","","","7","100.0","22","0","3.14","42.9","0.1","2.2","3.2","0.2"
"38","Omarion Hampton","LAC","RB","9","2025","7","66","7.3","9.43","1","0","1","14.3","54","81.8","0.0","14.3","28.6","71.4","1","0.14","11","1.57","16.7","7.86","0","","0","0","","","7","100.0","66","1","9.43","28.6","1.4","12.6","3.3","0.4"
"39","James Cook","BUF","RB","17","2025","7","73","4.3","10.43","1","0","2","14.3","44","60.3","0.0","14.3","42.9","28.6","2","0.29","41","5.86","56.2","4.57","0","","0","0","","","7","100.0","73","1","10.43","42.9","0.8","13.3","3.0","0.2"
"40","Kenneth Walker","SEA","RB","17","2025","7","15","0.9","2.14","0","0","0","","0","","0.0","","14.3","57.1","0","","14","2.00","93.3","0.14","0","","0","0","","","7","100.0","15","0","2.14","14.3","0.1","1.5","3.7","0.2"
