"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"23","Kenneth Walker","SEA","RB","17","2025","37","173","10.2","4.68","0","0","10","8.1","66","38.2","50.0","","59.5","37.8","17","0.46","76","2.05","43.9","2.62","0","","0","0","","","37","100.0","173","0","4.68","59.5","1.0","17.3","21.5","1.3"
"24","Aaron Jones","MIN","RB","12","2025","36","124","10.3","3.44","1","0","7","2.8","17","13.7","33.3","2.8","50.0","44.4","2","0.06","48","1.33","38.7","2.11","0","","0","0","","","36","100.0","124","1","3.44","50.0","1.5","18.4","17.5","1.5"
"25","Samaje Perine","CIN","RB","15","2025","35","169","11.3","4.83","1","0","12","2.9","21","12.4","20.0","2.9","57.1","34.3","5","0.14","72","2.06","42.6","2.77","0","","0","0","","","35","100.0","169","1","4.83","57.1","1.5","22.9","21.0","1.4"
"26","Chris Rodriguez","WAS","RB","13","2025","35","137","10.5","3.91","4","0","12","2.9","15","10.9","77.8","11.4","62.9","42.9","5","0.14","78","2.23","56.9","1.69","0","","0","0","","","35","100.0","137","4","3.91","62.9","2.9","37.7","30.9","2.4"
"27","Emanuel Wilson","GB","RB","17","2025","34","112","6.6","3.29","3","0","14","2.9","15","13.4","20.0","8.8","55.9","44.1","1","0.03","67","1.97","59.8","1.32","0","","0","0","","","34","100.0","112","3","3.29","55.9","1.7","29.2","24.2","1.4"
"28","David Montgomery","DET","RB","17","2025","34","225","13.2","6.62","4","0","14","8.8","122","54.2","63.6","11.8","58.8","41.2","7","0.21","136","4.00","60.4","2.62","0","","0","0","","","34","100.0","225","4","6.62","58.8","2.7","46.5","33.6","2.0"
"29","Jaylen Warren","PIT","RB","16","2025","33","101","6.3","3.06","1","0","9","","0","","80.0","3.0","60.6","36.4","5","0.15","60","1.82","59.4","1.24","0","","0","0","","","33","100.0","101","1","3.06","60.6","1.0","16.1","25.2","1.6"
"30","Bucky Irving","TB","RB","10","2025","33","81","8.1","2.45","0","0","5","3.0","15","18.5","0.0","","39.4","60.6","2","0.06","63","1.91","77.8","0.55","0","","0","0","","","33","100.0","81","0","2.45","39.4","0.8","8.1","17.2","1.7"
"31","Kyle Monangai","CHI","RB","17","2025","32","140","8.2","4.38","0","0","8","","0","","50.0","","56.3","37.5","6","0.19","75","2.34","53.6","2.03","0","","0","0","","","32","100.0","140","0","4.38","56.3","0.8","14.0","21.7","1.3"
"32","Bijan Robinson","ATL","RB","17","2025","32","127","7.5","3.97","1","1","13","","0","","25.0","3.1","65.6","31.3","9","0.28","64","2.00","50.4","1.97","0","","0","0","","","32","100.0","127","1","3.97","65.6","1.1","18.7","16.9","1.0"
"33","D'Andre Swift","CHI","RB","16","2025","31","158","9.9","5.10","1","1","10","6.5","42","26.6","60.0","3.2","64.5","32.3","9","0.29","71","2.29","44.9","2.81","0","","0","0","","","31","100.0","158","1","5.10","64.5","1.3","20.8","19.0","1.2"
"34","Christian McCaffrey","SF","RB","17","2025","31","154","9.1","4.97","0","0","11","","0","","0.0","","64.5","32.3","7","0.23","68","2.19","44.2","2.77","0","","0","0","","","31","100.0","154","0","4.97","64.5","0.9","15.4","15.5","0.9"
