"Player Details","","","","","","Rushing","","","","","","","Advanced","","","","","","","","","","","","","Zone Concept","","","","","","Man/Gap Concept","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","Success %","STUFF %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success %","ATT","ATT %","YDS","TD","YPC","Success %","FP/G","FP","XFP","XFP/G"
"25","Tyrod Taylor","NYJ","QB","6","2025","22","141","23.5","6.41","1","0","9","4.5","15","10.6","0.0","4.5","54.5","22.7","5","0.23","30","1.36","21.3","0.00","0","","0","0","","","0","","0","0","","","3.4","20.1","10.4","1.7"
"26","Brock Purdy","SF","QB","9","2025","18","131","14.6","7.28","1","0","6","5.6","26","19.8","0.0","5.6","50.0","16.7","3","0.17","19","1.06","14.5","0.00","0","","0","0","","","0","","0","0","","","2.1","19.1","11.3","1.3"
"27","Tyler Shough","NO","QB","11","2025","20","125","11.4","6.25","2","0","6","5.0","29","23.2","100.0","10.0","60.0","25.0","1","0.05","1","0.05","0.8","0.00","0","","0","0","","","0","","0","0","","","2.2","24.5","17.3","1.6"
"28","Spencer Rattler","NO","QB","9","2025","16","114","12.7","7.13","0","1","9","6.3","15","13.2","0.0","","87.5","12.5","4","0.25","28","1.75","24.6","0.00","0","","0","0","","","0","","0","0","","","1.2","10.4","10.1","1.1"
"29","Geno Smith","LV","QB","15","2025","18","109","7.3","6.06","0","0","6","11.1","35","32.1","100.0","","55.6","33.3","3","0.17","9","0.50","8.3","0.00","0","","0","0","","","0","","0","0","","","0.7","10.9","12.2","0.8"
"30","Russell Wilson","NYG","QB","6","2025","12","91","15.2","7.58","0","1","4","16.7","30","33.0","100.0","","50.0","33.3","0","","19","1.58","20.9","0.00","0","","0","0","","","0","","0","0","","","1.5","9.1","7.6","1.3"
"31","Sam Darnold","SEA","QB","17","2025","14","89","5.2","6.36","0","1","6","7.1","24","27.0","0.0","","64.3","14.3","0","","10","0.71","11.2","0.00","0","","0","0","","","0","","0","0","","","0.5","8.9","8.0","0.5"
"32","Dillon Gabriel","CLV","QB","10","2025","11","89","8.9","8.09","0","0","4","18.2","34","38.2","0.0","","54.5","18.2","4","0.36","9","0.82","10.1","0.00","0","","0","0","","","0","","0","0","","","0.9","8.9","6.2","0.6"
"33","Tyler Huntley","BLT","QB","5","2025","7","84","16.8","12.00","0","0","5","28.6","48","57.1","0.0","","85.7","","0","","8","1.14","9.5","0.00","0","","0","0","","","0","","0","0","","","1.7","8.4","5.1","1.0"
"34","Michael Penix","ATL","QB","9","2025","13","77","8.6","5.92","1","0","5","7.7","15","19.5","100.0","7.7","61.5","","1","0.08","4","0.31","5.2","0.00","0","","0","0","","","0","","0","0","","","1.5","13.7","8.6","1.0"
