"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"Rank","Name","G","Season","Location","Team Name","RTE","aDOT","AY","TGT","TPRR","REC","CR %","YDS","RecYDS/G","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","i20","EZTGT","EZTD","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","YPTOE","WIDE TGT %","SLOT TGT %","INLINE TGT %","BACK TGT %"
"1","New York Jets","13","2025","New York","Jets","54","1.5","23","15","0.28","14","93.3","240","18.5","4.44","16.00","17.14","212","15.14","70","5.00","5","3","1","1","5","0.36","10","0.185","1","6.7","15","100.0","4","26.7","1","0","0.0","0","158.3","13","86.7","9.7","","","","100.0"
"2","Cincinnati Bengals","14","2025","Cincinnati","Bengals","56","-2.7","-35","13","0.23","10","76.9","123","8.8","2.20","9.46","12.30","146","14.60","20","2.00","1","3","0","0","5","0.50","4","0.071","1","7.7","11","84.6","5","38.5","1","0","0.0","0","131.3","9","69.2","4.0","","","","100.0"
"3","New York Giants","14","2025","New York","Giants","86","0.1","2","20","0.23","17","85.0","120","8.6","1.40","6.00","7.06","139","8.18","41","2.41","3","8","0","0","7","0.41","10","0.116","0","","17","85.0","5","25.0","0","0","0.0","0","131.3","16","80.0","-0.4","","","","100.0"
"4","Tampa Bay Buccaneers","11","2025","Tampa Bay","Buccaneers","34","1.5","12","8","0.24","7","87.5","119","10.8","3.50","14.88","17.00","111","15.86","15","2.14","1","0","0","0","1","0.14","5","0.147","1","12.5","8","100.0","2","25.0","1","1","100.0","0","158.3","5","62.5","8.9","","","","100.0"
"5","Baltimore Ravens","13","2025","Baltimore","Ravens","83","0.7","15","21","0.25","15","71.4","113","8.7","1.36","5.38","7.53","120","8.00","37","2.47","1","5","0","0","4","0.27","4","0.048","4","19.0","20","95.2","7","33.3","1","0","0.0","0","99.9","16","76.2","-0.6","","","","100.0"
"6","Denver Broncos","12","2025","Denver","Broncos","45","6.2","68","11","0.24","6","54.5","112","9.3","2.49","10.18","18.67","71","11.83","12","2.00","1","1","0","0","2","0.33","4","0.089","0","","6","54.5","2","18.2","0","0","0.0","0","82.4","6","54.5","2.9","","","","100.0"
"7","Chicago Bears","13","2025","Chicago","Bears","55","0.4","5","13","0.24","10","76.9","111","8.5","2.02","8.54","11.10","110","11.00","62","6.20","1","2","0","0","5","0.50","7","0.127","2","15.4","12","92.3","2","15.4","0","0","0.0","0","127.4","10","76.9","2.5","","","","100.0"
"8","San Francisco 49ers","12","2025","San Francisco","49ers","35","0.6","5","8","0.23","7","87.5","91","7.6","2.60","11.38","13.00","89","12.71","34","4.86","1","3","0","0","1","0.14","3","0.086","1","12.5","8","100.0","2","25.0","0","0","0.0","0","153.6","6","75.0","5.1","","","","100.0"
"9","Pittsburgh Steelers","13","2025","Pittsburgh","Steelers","52","-0.8","-10","13","0.25","10","76.9","89","6.8","1.71","6.85","8.90","98","9.80","16","1.60","1","6","0","0","3","0.30","4","0.077","1","7.7","11","84.6","3","23.1","0","0","0.0","0","120.4","9","69.2","0.7","","","","100.0"
"10","Buffalo Bills","13","2025","Buffalo","Bills","47","0.0","0","11","0.23","8","72.7","89","6.8","1.89","8.09","11.13","90","11.25","12","1.50","2","3","1","1","3","0.38","4","0.085","2","18.2","10","90.9","1","9.1","1","1","100.0","1","136.0","6","54.5","1.9","","","","100.0"
"11","Dallas Cowboys","7","2025","Dallas","Cowboys","28","1.3","9","7","0.25","6","85.7","87","12.4","3.11","12.43","14.50","97","16.17","16","2.67","1","2","0","0","1","0.17","5","0.179","0","","7","100.0","2","28.6","1","0","0.0","0","158.0","6","85.7","6.3","","","","100.0"
