"Team Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","",""
"12","Atlanta Falcons","11","2025","Atlanta","Falcons","38","-1.1","-11","10","0.26","7","70.0","86","7.8","2.26","8.60","12.29","89","12.71","12","1.71","1","2","0","0","0","","4","0.105","1","10.0","8","80.0","4","40.0","0","0","0.0","0","129.6","5","50.0","3.0","","","","100.0"
"13","Miami Dolphins","11","2025","Miami","Dolphins","42","2.8","28","10","0.24","8","80.0","83","7.5","1.98","8.30","10.38","66","8.25","23","2.88","0","2","0","0","1","0.13","4","0.095","0","","8","80.0","1","10.0","0","0","0.0","0","101.3","6","60.0","1.5","","","","100.0"
"14","Detroit Lions","13","2025","Detroit","Lions","54","2.2","26","12","0.22","5","41.7","76","5.8","1.41","6.33","15.20","78","15.60","10","2.00","1","1","0","0","2","0.40","4","0.074","4","33.3","9","75.0","1","8.3","1","0","0.0","0","91.0","7","58.3","-0.1","","","","100.0"
"15","Carolina Panthers","6","2025","Carolina","Panthers","21","0.0","0","5","0.24","5","100.0","76","12.7","3.62","15.20","15.20","76","15.20","3","0.60","0","0","0","0","0","","4","0.190","0","","5","100.0","2","40.0","1","1","100.0","0","118.8","2","40.0","9.2","","","","100.0"
"16","Green Bay Packers","9","2025","Green Bay","Packers","42","-0.3","-3","9","0.21","5","55.6","67","7.4","1.60","7.44","13.40","71","14.20","41","8.20","0","5","0","0","1","0.20","4","0.095","1","11.1","6","66.7","1","11.1","0","0","0.0","0","79.4","4","44.4","2.2","","","","100.0"
"17","Arizona Cardinals","15","2025","Arizona","Cardinals","47","-0.8","-9","11","0.23","10","90.9","60","4.0","1.28","5.45","6.00","77","7.70","25","2.50","3","5","0","0","1","0.10","4","0.085","0","","10","90.9","2","18.2","2","2","100.0","0","129.0","7","63.6","-0.8","","","","100.0"
"18","Cleveland Browns","14","2025","Cleveland","Browns","44","-1.0","-13","13","0.30","8","61.5","57","4.1","1.30","4.38","7.13","66","8.25","4","0.50","1","4","1","0","0","","5","0.114","4","30.8","12","92.3","6","46.2","1","0","0.0","0","97.3","11","84.6","-1.8","","","","92.3"
"19","Kansas City Chiefs","11","2025","Kansas City","Chiefs","38","-0.7","-7","10","0.26","9","90.0","56","5.1","1.47","5.60","6.22","68","7.56","18","2.00","1","1","0","0","0","","3","0.079","0","","9","90.0","4","40.0","0","0","0.0","0","123.3","6","60.0","-0.5","","","","100.0"
"20","Los Angeles Rams","7","2025","Los Angeles","Rams","37","2.1","17","8","0.22","5","62.5","41","5.9","1.11","5.13","8.20","36","7.20","9","1.80","0","2","0","0","1","0.20","2","0.054","1","12.5","6","75.0","1","12.5","0","0","0.0","1","75.5","3","37.5","-1.4","","","","100.0"
"21","New Orleans Saints","9","2025","New Orleans","Saints","19","-4.5","-18","4","0.21","4","100.0","33","3.7","1.74","8.25","8.25","51","12.75","13","3.25","1","1","0","0","1","0.25","3","0.158","0","","4","100.0","2","50.0","0","0","0.0","0","140.6","2","50.0","2.8","","","","100.0"
"22","Philadelphia Eagles","9","2025","Philadelphia","Eagles","40","2.6","23","9","0.23","6","66.7","32","3.6","0.80","3.56","5.33","44","7.33","12","2.00","0","0","0","0","1","0.17","2","0.050","0","","6","66.7","3","33.3","0","0","0.0","0","72.5","5","55.6","-3.3","","","","100.0"
"23","Tennessee Titans","6","2025","Tennessee","Titans","19","0.8","4","5","0.26","3","60.0","31","5.2","1.63","6.20","10.33","26","8.67","5","1.67","0","0","0","0","1","0.33","1","0.053","0","","3","60.0","2","40.0","0","0","0.0","0","77.9","3","60.0","-0.2","","","","100.0"
"24","Washington Commanders","12","2025","Washington","Commanders","34","0.6","5","9","0.26","5","55.6","30","2.5","0.88","3.33","6.00","43","8.60","23","4.60","0","1","0","0","1","0.20","2","0.059","0","","6","66.7","3","33.3","1","0","0.0","0","62.3","5","55.6","-2.6","","","","100.0"
"25","Jacksonville Jaguars","10","2025","Jacksonville","Jaguars","20","-1.0","-5","5","0.25","3","60.0","30","3.0","1.50","6.00","10.00","34","11.33","3","1.00","0","1","0","0","0","","2","0.100","0","","3","60.0","1","20.0","1","0","0.0","0","77.1","3","60.0","0.1","","","","100.0"
"26","Seattle Seahawks","8","2025","Seattle","Seahawks","39","0.0","0","8","0.21","5","62.5","25","3.1","0.64","3.13","5.00","37","7.40","9","1.80","0","0","0","0","0","","3","0.077","1","12.5","7","87.5","2","25.0","1","0","0.0","0","67.2","5","62.5","-3.3","","","","100.0"
"27","Minnesota Vikings","8","2025","Minnesota","Vikings","20","2.0","10","5","0.25","3","60.0","24","3.0","1.20","4.80","8.00","28","9.33","4","1.33","0","0","0","0","0","","1","0.050","0","","3","60.0","1","20.0","0","0","0.0","0","72.1","1","20.0","-1.2","","","","100.0"
"28","New England Patriots","12","2025","New England","Patriots","27","-2.7","-24","9","0.33","9","100.0","23","1.9","0.85","2.56","2.56","47","5.22","8","0.89","1","3","0","0","0","","1","0.037","0","","9","100.0","5","55.6","0","0","0.0","0","116.2","8","88.9","-3.2","","","","88.9"
"29","Los Angeles Chargers","7","2025","Los Angeles","Chargers","8","-4.0","-8","2","0.25","2","100.0","19","2.7","2.38","9.50","9.50","27","13.50","12","6.00","0","1","0","0","1","0.50","1","0.125","0","","2","100.0","2","100.0","0","0","0.0","0","106.3","2","100.0","4.3","","","","100.0"
"30","Las Vegas Raiders","9","2025","Las Vegas","Raiders","19","-1.5","-6","4","0.21","2","50.0","15","1.7","0.79","3.75","7.50","20","10.00","","","0","0","0","0","1","0.50","1","0.053","1","25.0","3","75.0","1","25.0","0","0","0.0","0","59.4","4","100.0","-2.1","","","","100.0"
"31","Houston Texans","12","2025","Houston","Texans","15","2.0","8","4","0.27","2","50.0","15","1.3","1.00","3.75","7.50","17","8.50","1","0.50","0","1","0","0","0","","1","0.067","1","25.0","3","75.0","1","25.0","1","1","100.0","0","59.4","2","50.0","-2.8","","","","75.0"
"32","Indianapolis Colts","12","2025","Indianapolis","Colts","49","4.0","40","10","0.20","4","40.0","11","0.9","0.22","1.10","2.75","17","4.25","6","1.50","0","0","0","0","0","","0","0.000","2","20.0","6","60.0","0","","0","0","0.0","0","47.9","3","30.0","-6.7","","","","100.0"
