"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Ladd McConkey","LAC","WR","16","2025","2","100.0","8.0","8","66.7","1","0.1","50.0","0.50","1","100.0","16","1.0","100.0","8.00","16.00","16.00","8","8.00","2","2.00","0","0.0","0","0","0","0","1","50.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","8.5","","100.0","","","1.30","0.2","2.6","1.5","0.1","0.73","1.5"
"16","Tetairoa McMillan","CAR","WR","17","2025","1","100.0","16.0","16","100.0","1","0.1","100.0","1.00","1","100.0","16","0.9","100.0","16.00","16.00","16.00","0","","","","0","0.0","0","0","0","0","1","100.0","0","","1","1.000","0","","1","100.0","0","","1","1","100.0","0","118.8","100.0","5.9","","100.0","","","2.60","0.2","2.6","1.7","0.1","1.68","1.7"
"17","KaVontae Turpin","DAL","WR","15","2025","9","100.0","16.0","16","27.1","1","0.1","16.7","0.11","1","100.0","16","1.1","26.2","1.78","16.00","16.00","0","","","","0","0.0","0","0","0","0","1","25.0","0","","1","0.111","0","","1","100.0","0","","0","0","0.0","0","118.8","16.7","5.9","","100.0","","","0.29","0.2","2.6","3.0","0.2","0.33","3.0"
"18","Stefon Diggs","NE","WR","17","2025","2","100.0","5.0","5","45.5","1","0.1","50.0","0.50","1","100.0","16","0.9","57.1","8.00","16.00","16.00","11","11.00","","","0","0.0","0","0","0","0","1","100.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","118.8","50.0","9.6","","100.0","","","1.30","0.2","2.6","1.6","0.1","0.78","1.6"
"19","Jakobi Meyers","LV, JAX","WR","16","2025","7","87.5","7.5","15","25.0","2","0.1","25.0","0.29","2","100.0","15","0.9","24.2","2.14","7.50","7.50","0","","","","0","0.0","0","0","0","0","1","20.0","0","","0","0.000","0","","2","100.0","0","","2","2","100.0","0","97.9","28.6","0.3","","100.0","","","0.50","0.2","3.5","2.8","0.2","0.41","2.8"
"20","Tucker Kraft","GB","TE","8","2025","2","100.0","15.0","15","100.0","1","0.1","100.0","0.50","1","100.0","15","1.9","100.0","7.50","15.00","15.00","0","","","","1","100.0","1","1","1","0","1","100.0","0","","1","0.500","0","","1","100.0","0","","1","1","100.0","0","158.3","100.0","4.4","","100.0","","","4.25","1.1","8.5","2.7","0.3","1.35","2.7"
"21","Mack Hollins","NE","WR","15","2025","1","100.0","12.0","12","100.0","1","0.1","100.0","1.00","1","100.0","15","1.0","100.0","15.00","15.00","15.00","3","3.00","1","1.00","0","0.0","0","0","0","0","0","0.0","0","","1","1.000","0","","1","100.0","0","","0","0","0.0","0","118.8","100.0","6.0","","100.0","","","2.50","0.2","2.5","1.5","0.1","1.47","1.5"
"22","Tyreek Hill","MIA","WR","4","2025","3","100.0","8.0","16","69.6","2","0.5","66.7","0.67","2","100.0","15","3.8","51.7","5.00","7.50","7.50","-1","-0.50","","","0","0.0","0","0","0","0","2","66.7","0","","1","0.333","0","","2","100.0","0","","0","0","0.0","0","97.9","66.7","0.2","","100.0","","","1.17","0.9","3.5","3.0","0.8","1.01","3.0"
"23","Tanner Conner","MIA","TE","9","2025","5","100.0","11.0","11","39.3","1","0.1","20.0","0.20","1","100.0","14","1.6","20.6","2.80","14.00","14.00","3","3.00","","","0","0.0","0","0","0","0","1","20.0","0","","1","0.200","0","","1","100.0","0","","0","0","0.0","0","118.8","20.0","5.3","","100.0","","","0.48","0.3","2.4","1.5","0.2","0.30","1.5"
"24","Gage Larvadain","CLV","WR","13","2025","4","100.0","12.0","12","41.4","1","0.1","33.3","0.25","1","100.0","14","1.1","60.9","3.50","14.00","14.00","2","2.00","1","1.00","0","0.0","0","0","0","0","1","50.0","0","","0","0.000","0","","1","100.0","0","","0","0","0.0","0","118.8","33.3","5.0","","100.0","","","0.60","0.2","2.4","1.4","0.1","0.35","1.4"
