"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Pat Freiermuth","PIT","TE","17","2025","30","96.8","6.9","76","52.4","11","0.6","37.9","0.37","11","100.0","190","11.2","62.3","6.33","17.27","17.27","114","10.36","32","2.91","1","100.0","0","0","0","2","9","50.0","1","0.09","7","0.233","0","","11","100.0","2","18.2","1","1","100.0","0","149.1","37.9","9.5","","100.0","","","1.20","2.1","36.0","17.8","1.0","0.59","17.8"
"2","Wan'Dale Robinson","NYG","WR","16","2025","59","100.0","12.2","208","43.4","17","1.1","31.5","0.29","11","64.7","162","10.1","43.1","2.75","9.53","14.73","51","4.64","21","1.91","0","0.0","0","0","0","6","15","48.4","2","0.18","4","0.068","1","5.9","13","76.5","2","11.8","4","2","50.0","0","95.7","33.3","1.3","","100.0","","","0.46","1.7","27.2","24.6","1.5","0.42","24.6"
"3","Justin Jefferson","MIN","WR","17","2025","24","100.0","6.2","62","59.6","10","0.6","47.6","0.42","9","90.0","116","6.8","64.4","4.83","11.60","12.89","65","7.22","19","2.11","0","0.0","1","0","0","1","9","56.3","0","","3","0.125","0","","9","90.0","3","30.0","0","0","0.0","0","115.0","50.0","4.8","","100.0","","","0.86","1.2","20.6","15.1","0.9","0.63","15.1"
"4","Dallas Goedert","PHI","TE","15","2025","38","97.4","10.9","109","48.7","10","0.7","28.6","0.26","8","80.0","111","7.4","39.6","2.92","11.10","13.88","21","2.63","4","0.50","1","100.0","0","0","0","2","5","38.5","0","","5","0.132","0","","9","90.0","0","","2","1","50.0","0","146.3","33.3","2.5","","100.0","","","0.66","1.7","25.1","14.0","0.9","0.37","14.0"
"5","Amon-Ra St. Brown","DET","WR","17","2025","50","96.2","7.5","105","34.5","14","0.8","29.2","0.28","12","85.7","104","6.1","28.7","2.08","7.43","8.67","35","2.92","20","1.67","0","0.0","0","0","0","1","13","44.8","1","0.08","4","0.080","1","7.1","13","92.9","0","","2","2","100.0","0","67.9","31.8","0.6","","100.0","","","0.45","1.3","22.4","20.4","1.2","0.41","20.4"
"6","DeVonta Smith","PHI","WR","17","2025","48","98.0","6.7","80","41.7","12","0.7","26.7","0.25","11","91.7","93","5.5","37.1","1.94","7.75","8.45","19","1.73","8","0.73","0","0.0","1","0","0","0","9","39.1","0","","5","0.104","1","8.3","12","100.0","1","8.3","0","0","0.0","0","99.0","30.8","0.6","","100.0","","","0.42","1.2","20.3","18.5","1.1","0.39","18.5"
"7","KaVontae Turpin","DAL","WR","15","2025","30","100.0","27.2","136","42.2","5","0.3","20.8","0.17","2","40.0","93","6.2","42.5","3.10","18.60","46.50","37","18.50","","","1","100.0","1","2","0","2","2","16.7","0","","1","0.033","1","20.0","3","60.0","0","","0","0","0.0","0","87.5","21.7","7.9","","100.0","","","0.58","1.2","17.3","10.1","0.7","0.34","10.1"
"8","Jakobi Meyers","JAX, LV","WR","16","2025","28","90.3","9.6","86","55.5","9","0.6","34.6","0.32","7","77.8","91","5.7","37.3","3.25","10.11","13.00","44","6.29","18","2.57","0","0.0","1","1","0","2","9","47.4","1","0.14","3","0.107","0","","8","88.9","1","11.1","2","1","50.0","0","69.2","40.9","2.1","","100.0","","","0.58","1.0","16.1","15.2","0.9","0.54","15.2"
"9","Juwan Johnson","NO","TE","17","2025","44","97.8","12.0","84","27.1","7","0.4","16.3","0.16","5","71.4","91","5.4","25.9","2.07","13.00","18.20","28","5.60","17","3.40","0","0.0","0","0","0","2","5","20.8","2","0.40","3","0.068","1","14.3","7","100.0","0","","2","1","50.0","0","113.7","16.7","4.6","","100.0","","","0.32","0.8","14.1","10.6","0.6","0.24","10.6"
"10","Chig Okonkwo","TEN","TE","17","2025","29","90.6","6.2","68","40.5","11","0.6","40.7","0.38","8","72.7","86","5.1","68.3","2.97","7.82","10.75","59","7.38","17","2.13","0","0.0","0","0","0","2","9","47.4","3","0.38","4","0.138","1","9.1","9","81.8","3","27.3","0","0","0.0","0","95.3","40.7","0.4","","100.0","","","0.57","1.0","16.6","19.7","1.2","0.68","19.7"
