"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Christian Watson","GB","WR","10","2025","12","100.0","21.7","65","69.9","3","0.3","25.0","0.25","3","100.0","71","7.1","47.0","5.92","23.67","23.67","6","2.00","2","0.67","0","0.0","0","0","0","1","3","37.5","0","","3","0.250","0","","3","100.0","0","","2","2","100.0","0","118.8","27.3","13.6","","100.0","","","0.84","1.0","10.1","4.9","0.5","0.41","4.9"
"16","Michael Pittman","IND","WR","17","2025","30","93.8","7.7","54","28.9","7","0.4","23.3","0.23","6","85.7","69","4.1","28.3","2.30","9.86","11.50","33","5.50","3","0.50","0","0.0","1","0","0","0","7","29.2","0","","4","0.133","0","","7","100.0","0","","3","2","66.7","0","107.7","25.9","2.4","","100.0","","","0.43","0.8","12.9","10.9","0.6","0.36","10.9"
"17","Josh Downs","IND","WR","16","2025","43","91.5","6.3","63","18.2","10","0.6","23.3","0.23","8","80.0","66","4.1","18.7","1.53","6.60","8.25","33","4.13","15","1.88","0","0.0","1","0","0","1","10","29.4","1","0.13","3","0.070","0","","8","80.0","1","10.0","0","0","0.0","0","94.2","25.0","-0.1","","100.0","","","0.34","0.9","14.6","14.6","0.9","0.34","14.6"
"18","Chimere Dike","TEN","WR","17","2025","41","95.3","6.5","72","31.3","11","0.6","30.6","0.27","8","72.7","65","3.8","31.4","1.59","5.91","8.13","19","2.38","7","0.88","0","0.0","6","0","0","1","9","40.9","2","0.25","2","0.049","0","","8","72.7","3","27.3","1","1","100.0","1","87.3","32.4","-0.9","","100.0","","","0.35","0.9","14.5","17.3","1.0","0.42","17.3"
"19","Cade Otton","TB","TE","16","2025","36","81.8","4.8","38","9.8","8","0.5","21.1","0.22","6","75.0","64","4.0","20.3","1.78","8.00","10.67","35","5.83","17","2.83","0","0.0","0","0","0","0","4","16.0","0","","3","0.083","0","","8","100.0","0","","2","0","0.0","0","97.9","21.6","1.5","","100.0","","","0.34","0.8","12.4","12.0","0.8","0.33","12.0"
"20","Luther Burden","CHI","WR","15","2025","13","100.0","20.7","62","48.1","3","0.2","25.0","0.23","3","100.0","62","4.1","45.6","4.77","20.67","20.67","5","1.67","1","0.33","1","100.0","0","1","1","1","3","33.3","0","","2","0.154","0","","3","100.0","0","","0","0","0.0","0","158.3","25.0","10.0","","100.0","","","1.17","1.0","15.2","5.9","0.4","0.45","5.9"
"21","Ja'Marr Chase","CIN","WR","16","2025","17","89.5","-0.7","-5","-12.8","7","0.4","38.9","0.41","6","85.7","61","3.8","59.2","3.59","8.71","10.17","78","13.00","16","2.67","0","0.0","0","0","0","0","5","45.5","3","0.50","3","0.176","0","","6","85.7","5","71.4","0","0","0.0","0","103.0","43.8","3.1","","100.0","","","0.71","0.8","12.1","10.7","0.7","0.63","10.7"
"22","Sterling Shepard","TB","WR","13","2025","27","87.1","13.5","54","25.4","4","0.3","13.8","0.15","3","75.0","59","4.5","30.9","2.19","14.75","19.67","29","9.67","","","0","0.0","0","0","0","1","2","11.8","3","1.00","2","0.074","0","","3","75.0","0","","0","0","0.0","0","116.7","14.8","5.6","","100.0","","","0.33","0.7","8.9","7.1","0.5","0.26","7.1"
"23","Wan'Dale Robinson","NYG","WR","16","2025","52","98.1","3.2","38","10.6","12","0.8","27.3","0.23","9","75.0","59","3.7","18.1","1.13","4.92","6.56","88","9.78","16","1.78","0","0.0","2","0","0","1","8","33.3","1","0.11","2","0.038","1","8.3","11","91.7","4","33.3","1","0","0.0","0","85.1","30.0","-1.6","","100.0","","","0.29","0.9","14.9","18.9","1.2","0.36","18.9"
"24","Mike Gesicki","CIN","TE","13","2025","21","91.3","9.0","45","21.7","5","0.4","23.8","0.24","5","100.0","58","4.5","23.2","2.76","11.60","11.60","13","2.60","","","0","0.0","0","0","0","0","4","26.7","0","","5","0.238","0","","5","100.0","0","","1","1","100.0","0","115.0","25.0","4.0","","100.0","","","0.51","0.8","10.8","7.3","0.6","0.35","7.3"
