"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"15","Bo Melton","GB","WR","9","2025","8","100.0","21.0","84","91.3","4","0.4","57.1","0.50","2","50.0","55","6.1","78.6","6.88","13.75","27.50","2","1.00","1","0.50","1","100.0","0","0","0","1","3","75.0","0","","2","0.250","0","","4","100.0","0","","2","1","50.0","0","135.4","66.7","3.0","","100.0","","","1.69","1.5","13.5","8.0","0.9","1.00","8.0"
"16","Travis Kelce","KC","TE","17","2025","24","96.0","5.6","39","34.5","7","0.4","31.8","0.29","6","85.7","55","3.2","37.2","2.29","7.86","9.17","20","3.33","6","1.00","0","0.0","0","0","0","0","5","35.7","0","","3","0.125","1","14.3","7","100.0","1","14.3","0","0","0.0","0","59.8","35.0","1.0","","100.0","","","0.48","0.7","11.5","12.0","0.7","0.50","12.0"
"17","Tyler Higbee","LA","TE","10","2025","8","100.0","11.0","33","47.1","3","0.3","42.9","0.38","3","100.0","53","5.3","72.6","6.63","17.67","17.67","20","6.67","2","0.67","0","0.0","0","0","0","1","3","60.0","0","","3","0.375","0","","3","100.0","0","","0","0","0.0","0","118.8","42.9","8.5","","100.0","","","1.04","0.8","8.3","4.6","0.5","0.58","4.6"
"18","Darren Waller","MIA","TE","9","2025","8","88.9","17.0","51","55.4","3","0.3","33.3","0.38","3","100.0","51","5.7","92.7","6.38","17.00","17.00","9","3.00","3","1.00","1","100.0","1","1","1","2","2","40.0","0","","2","0.250","0","","3","100.0","0","","1","1","100.0","0","158.3","37.5","8.3","","100.0","","","1.76","1.6","14.1","6.9","0.8","0.86","6.9"
"19","Sam LaPorta","DET","TE","9","2025","11","84.6","8.5","34","61.8","4","0.4","33.3","0.36","3","75.0","50","5.6","43.1","4.55","12.50","16.67","21","7.00","6","2.00","0","0.0","1","0","0","0","3","33.3","0","","2","0.182","0","","3","75.0","0","","0","0","0.0","0","116.7","36.4","4.1","","100.0","","","0.73","0.9","8.0","6.1","0.7","0.55","6.1"
"20","Keenan Allen","LAC","WR","17","2025","16","100.0","11.3","45","28.8","4","0.2","30.8","0.25","4","100.0","49","2.9","57.6","3.06","12.25","12.25","4","1.00","1","0.25","0","0.0","0","0","0","0","2","25.0","1","0.25","3","0.188","0","","4","100.0","0","","1","1","100.0","0","117.7","30.8","3.7","","100.0","","","0.56","0.5","8.9","6.3","0.4","0.40","6.3"
"21","Ladd McConkey","LAC","WR","16","2025","41","97.6","12.4","124","45.3","10","0.6","34.5","0.24","6","60.0","47","2.9","37.3","1.15","4.70","7.83","3","0.50","2","0.33","0","0.0","0","0","0","2","7","41.2","1","0.17","1","0.024","3","30.0","9","90.0","0","","2","0","0.0","0","71.7","41.7","-3.2","","100.0","","","0.26","0.7","10.7","15.3","1.0","0.37","15.3"
"22","Ja'Marr Chase","CIN","WR","16","2025","16","88.9","4.3","26","26.8","6","0.4","35.3","0.38","5","83.3","46","2.9","44.2","2.88","7.67","9.20","25","5.00","11","2.20","0","0.0","0","0","0","0","5","38.5","1","0.20","3","0.188","0","","6","100.0","1","16.7","1","0","0.0","0","98.6","37.5","1.4","","100.0","","","0.60","0.6","9.6","10.3","0.6","0.65","10.3"
"23","Rome Odunze","CHI","WR","12","2025","21","80.8","20.0","40","22.3","2","0.2","8.7","0.10","2","100.0","46","3.8","17.2","2.19","23.00","23.00","6","3.00","2","1.00","0","0.0","0","0","0","1","2","15.4","0","","1","0.048","0","","2","100.0","0","","0","0","0.0","0","118.8","9.1","11.6","","100.0","","","0.31","0.6","6.6","3.5","0.3","0.17","3.5"
"24","Chig Okonkwo","TEN","TE","17","2025","27","84.4","5.8","52","47.3","9","0.5","29.0","0.33","6","66.7","45","2.6","33.8","1.67","5.00","7.50","15","2.50","13","2.17","0","0.0","0","0","0","0","7","31.8","1","0.17","2","0.074","2","22.2","9","100.0","1","11.1","3","2","66.7","0","38.9","33.3","-2.0","","100.0","","","0.39","0.6","10.5","13.8","0.8","0.51","13.8"
"25","Xavier Smith","LA","WR","16","2025","12","85.7","21.5","43","42.2","2","0.1","14.3","0.17","2","100.0","45","2.8","26.0","3.75","22.50","22.50","2","1.00","1","0.50","0","0.0","0","0","0","1","1","12.5","0","","2","0.167","0","","2","100.0","0","","0","0","0.0","1","118.8","15.4","11.9","","100.0","","","0.54","0.4","6.5","3.3","0.2","0.27","3.3"
"26","Tyrell Shavers","BUF","WR","17","2025","3","100.0","46.0","46","80.7","1","0.1","50.0","0.33","1","100.0","43","2.5","78.2","14.33","43.00","43.00","0","","","","1","100.0","0","1","1","1","0","0.0","0","","1","0.333","0","","1","100.0","0","","0","0","0.0","0","158.3","50.0","28.0","","100.0","","","3.77","0.7","11.3","4.1","0.2","1.37","4.1"
"27","Kyle Pitts","ATL","TE","17","2025","10","90.9","4.3","13","21.3","3","0.2","27.3","0.30","3","100.0","43","2.5","46.7","4.30","14.33","14.33","30","10.00","2","0.67","0","0.0","0","0","0","0","2","25.0","0","","2","0.200","0","","3","100.0","1","33.3","0","0","0.0","0","118.8","27.3","8.0","","100.0","","","0.73","0.4","7.3","4.5","0.3","0.45","4.5"
"28","A.J. Brown","PHI","WR","15","2025","6","85.7","5.5","11","61.1","2","0.1","40.0","0.33","2","100.0","39","2.6","55.7","6.50","19.50","19.50","28","14.00","3","1.50","0","0.0","0","0","0","0","2","66.7","1","0.50","2","0.333","0","","2","100.0","0","","1","1","100.0","0","118.8","40.0","12.9","","100.0","","","0.98","0.4","5.9","2.8","0.2","0.47","2.8"
"29","Tutu Atwell","LA","WR","10","2025","15","100.0","38.0","38","19.2","1","0.1","7.1","0.07","1","100.0","38","3.8","14.3","2.53","38.00","38.00","0","","","","0","0.0","0","0","0","1","0","0.0","0","","1","0.067","0","","1","100.0","0","","0","0","0.0","0","118.8","7.1","26.3","","100.0","","","0.32","0.5","4.8","2.2","0.2","0.15","2.2"
"30","Chimere Dike","TEN","WR","17","2025","28","96.6","18.5","74","31.9","4","0.2","14.3","0.14","1","25.0","38","2.2","20.1","1.36","9.50","38.00","3","3.00","2","2.00","0","0.0","0","0","0","1","4","21.1","0","","1","0.036","0","","1","25.0","0","","1","1","100.0","0","66.7","16.0","-1.0","","100.0","","","0.17","0.3","4.8","9.8","0.6","0.35","9.8"
"31","Brock Bowers","LV","TE","12","2025","13","86.7","11.8","47","64.4","4","0.3","33.3","0.31","3","75.0","38","3.2","41.8","2.92","9.50","12.67","14","4.67","3","1.00","0","0.0","1","1","0","1","2","25.0","0","","2","0.154","0","","3","75.0","0","","0","0","0.0","0","104.2","33.3","0.7","","100.0","","","0.52","0.6","6.8","7.9","0.7","0.61","7.9"
"32","CeeDee Lamb","DAL","WR","14","2025","19","100.0","10.7","75","57.3","7","0.5","38.9","0.37","3","42.9","37","2.6","29.8","1.95","5.29","12.33","11","3.67","4","1.33","0","0.0","0","0","0","0","6","46.2","0","","2","0.105","2","28.6","5","71.4","1","14.3","1","1","100.0","0","59.8","38.9","-3.3","","100.0","","","0.35","0.5","6.7","13.3","0.9","0.70","13.3"
"33","Mike Gesicki","CIN","TE","13","2025","21","100.0","18.5","37","21.8","2","0.2","11.1","0.10","1","50.0","37","2.8","22.4","1.76","18.50","37.00","14","14.00","7","7.00","0","0.0","0","0","0","1","2","14.3","0","","1","0.048","0","","1","50.0","0","","0","0","0.0","0","56.3","11.1","7.5","","100.0","","","0.22","0.4","4.7","5.7","0.4","0.27","5.7"
"34","Hunter Henry","NE","TE","17","2025","16","94.1","15.0","30","18.4","2","0.1","13.3","0.13","2","100.0","36","2.1","36.4","2.25","18.00","18.00","6","3.00","2","1.00","0","0.0","0","0","0","1","0","0.0","0","","2","0.125","0","","2","100.0","0","","1","1","100.0","0","118.8","15.4","8.5","","100.0","","","0.35","0.3","5.6","3.4","0.2","0.21","3.4"
"35","Nico Collins","HST","WR","15","2025","12","92.3","11.0","33","48.5","3","0.2","27.3","0.25","3","100.0","36","2.4","58.1","3.00","12.00","12.00","3","1.00","1","0.33","0","0.0","0","0","0","1","3","33.3","0","","2","0.167","0","","3","100.0","0","","2","2","100.0","0","116.7","27.3","3.1","","100.0","","","0.55","0.4","6.6","5.5","0.4","0.46","5.5"
"36","Ray-Ray McCloud","ATL, NYG","WR","6","2025","3","100.0","5.5","11","78.6","2","0.3","66.7","0.67","2","100.0","36","6.0","100.0","12.00","18.00","18.00","25","12.50","20","10.00","0","0.0","0","0","0","0","2","66.7","2","1.00","2","0.667","0","","2","100.0","0","","0","0","0.0","0","118.8","66.7","10.6","","100.0","","","1.87","0.9","5.6","2.9","0.5","0.96","2.9"
"37","Wan'Dale Robinson","NYG","WR","16","2025","31","91.2","5.6","39","17.5","7","0.4","24.1","0.23","5","71.4","35","2.2","28.0","1.13","5.00","7.00","21","4.20","4","0.80","0","0.0","1","0","0","0","6","30.0","2","0.40","1","0.032","0","","5","71.4","2","28.6","0","0","0.0","0","82.4","25.9","-1.9","","100.0","","","0.27","0.5","8.5","12.2","0.8","0.39","12.2"
"38","Jake Ferguson","DAL","TE","17","2025","30","93.8","5.0","25","7.4","5","0.3","16.1","0.17","5","100.0","35","2.1","17.1","1.17","7.00","7.00","10","2.00","2","0.40","0","0.0","0","0","0","0","4","21.1","0","","0","0.000","0","","5","100.0","0","","2","2","100.0","1","95.8","16.7","0.4","","100.0","","","0.25","0.4","7.5","9.1","0.5","0.30","9.1"
"39","Theo Johnson","NYG","TE","15","2025","26","96.3","7.7","46","21.1","6","0.4","26.1","0.23","3","50.0","33","2.2","32.4","1.27","5.50","11.00","14","4.67","1","0.33","0","0.0","0","0","0","0","5","29.4","0","","2","0.077","1","16.7","4","66.7","0","","0","0","0.0","0","66.7","27.3","-2.0","","100.0","","","0.24","0.4","6.3","8.8","0.6","0.34","8.8"
"40","Marquise Brown","KC","WR","16","2025","13","92.9","5.3","16","17.2","3","0.2","25.0","0.23","3","100.0","33","2.1","28.0","2.54","11.00","11.00","17","5.67","11","3.67","0","0.0","0","0","0","0","3","30.0","4","1.33","2","0.154","0","","3","100.0","1","33.3","0","0","0.0","0","112.5","27.3","3.8","","100.0","","","0.48","0.4","6.3","4.8","0.3","0.37","4.8"
"41","Jaylin Noel","HST","WR","17","2025","16","100.0","9.3","37","28.7","4","0.2","30.8","0.25","3","75.0","33","1.9","35.9","2.06","8.25","11.00","17","5.67","3","1.00","0","0.0","0","0","0","2","4","33.3","0","","1","0.063","0","","3","75.0","2","50.0","1","1","100.0","0","59.4","30.8","0.0","","100.0","","","0.39","0.4","6.3","6.4","0.4","0.40","6.4"
"42","Tyler Lockett","LV, TEN","WR","17","2025","32","91.4","4.6","23","19.8","5","0.3","15.6","0.16","5","100.0","33","1.9","25.4","1.03","6.60","6.60","10","2.00","2","0.40","0","0.0","0","0","0","0","4","18.2","0","","0","0.000","0","","5","100.0","1","20.0","2","2","100.0","0","94.2","17.9","-0.1","","100.0","","","0.26","0.5","8.3","7.5","0.4","0.23","7.5"
"43","Brenton Strange","JAX","TE","12","2025","11","78.6","4.7","14","11.7","3","0.3","30.0","0.27","3","100.0","33","2.8","28.7","3.00","11.00","11.00","19","6.33","3","1.00","0","0.0","0","0","0","0","2","25.0","0","","2","0.182","0","","3","100.0","0","","1","1","100.0","0","112.5","30.0","4.7","","100.0","","","0.57","0.5","6.3","4.2","0.3","0.38","4.2"
"44","Ryan Flournoy","DAL","WR","15","2025","13","92.9","6.5","26","51.0","4","0.3","28.6","0.31","3","75.0","32","2.1","27.6","2.46","8.00","10.67","11","3.67","3","1.00","0","0.0","0","0","0","0","1","14.3","0","","3","0.231","0","","3","75.0","0","","1","1","100.0","0","97.9","28.6","1.1","","100.0","","","0.48","0.4","6.2","5.7","0.4","0.43","5.7"
"45","DJ Moore","CHI","WR","17","2025","9","81.8","10.0","20","46.5","2","0.1","20.0","0.22","2","100.0","32","1.9","53.3","3.56","16.00","16.00","12","6.00","1","0.50","0","0.0","0","0","0","0","1","20.0","0","","2","0.222","0","","2","100.0","1","50.0","0","0","0.0","0","118.8","20.0","7.6","","100.0","","","0.58","0.3","5.2","2.6","0.2","0.29","2.6"
"46","Ja'Tavion Sanders","CAR","TE","13","2025","12","85.7","6.3","25","58.1","4","0.3","36.4","0.33","4","100.0","31","2.4","66.0","2.58","7.75","7.75","6","1.50","1","0.25","0","0.0","0","0","0","0","2","40.0","0","","1","0.083","0","","4","100.0","0","","0","0","0.0","0","99.0","40.0","0.7","","100.0","","","0.59","0.5","7.1","6.6","0.5","0.55","6.6"
"47","Jaylin Lane","WAS","WR","15","2025","7","100.0","5.3","16","44.4","3","0.2","50.0","0.43","3","100.0","29","1.9","74.4","4.14","9.67","9.67","13","4.33","3","1.00","0","0.0","1","0","0","0","2","40.0","0","","2","0.286","0","","3","100.0","0","","0","0","0.0","0","106.9","50.0","3.2","","100.0","","","0.84","0.4","5.9","4.2","0.3","0.60","4.2"
"48","David Sills","ATL","WR","17","2025","10","90.9","9.0","27","31.0","3","0.2","27.3","0.30","2","66.7","29","1.7","38.2","2.90","9.67","14.50","14","7.00","5","2.50","0","0.0","0","0","0","0","2","50.0","0","","1","0.100","0","","2","66.7","0","","0","0","0.0","0","97.9","33.3","1.9","","100.0","","","0.49","0.3","4.9","4.0","0.2","0.40","4.0"
"49","Luther Burden","CHI","WR","15","2025","14","93.3","5.0","25","43.1","5","0.3","38.5","0.36","4","80.0","28","1.9","31.5","2.00","5.60","7.00","25","6.25","7","1.75","0","0.0","1","0","0","1","4","50.0","1","0.25","2","0.143","0","","4","80.0","3","60.0","0","0","0.0","0","90.0","45.5","-1.5","","100.0","","","0.49","0.5","6.8","7.9","0.5","0.57","7.9"
"50","Travis Hunter","JAX","WR","7","2025","16","88.9","22.5","45","22.3","2","0.3","11.8","0.13","1","50.0","28","4.0","27.2","1.75","14.00","28.00","2","2.00","1","1.00","0","0.0","0","0","0","1","2","20.0","0","","1","0.063","0","","1","50.0","0","","0","0","0.0","0","95.8","11.8","1.5","","100.0","","","0.24","0.5","3.8","4.4","0.6","0.28","4.4"
"51","Travis Etienne","JAX","RB","17","2025","3","100.0","7.5","15","27.8","2","0.1","66.7","0.67","2","100.0","28","1.6","100.0","9.33","14.00","14.00","13","6.50","3","1.50","1","100.0","1","1","1","1","2","100.0","1","0.50","1","0.333","0","","2","100.0","1","50.0","0","0","0.0","0","158.3","66.7","5.9","","100.0","","","3.60","0.6","10.8","4.6","0.3","1.53","4.6"
"52","Mark Andrews","BLT","TE","17","2025","19","90.5","5.8","23","20.2","4","0.2","23.5","0.21","3","75.0","28","1.6","22.2","1.47","7.00","9.33","10","3.33","7","2.33","0","0.0","0","0","0","0","3","30.0","1","0.33","1","0.053","0","","4","100.0","0","","1","0","0.0","0","93.8","25.0","0.0","","100.0","","","0.31","0.3","5.8","5.7","0.3","0.30","5.7"
"53","Jalen Nailor","MIN","WR","17","2025","26","92.9","11.0","22","8.0","2","0.1","9.1","0.08","2","100.0","28","1.6","10.6","1.08","14.00","14.00","6","3.00","4","2.00","0","0.0","0","0","0","1","1","7.1","0","","1","0.038","0","","2","100.0","0","","0","0","0.0","0","118.8","9.5","5.9","","100.0","","","0.18","0.3","4.8","3.1","0.2","0.12","3.1"
"54","Jackson Hawes","BUF","TE","17","2025","2","66.7","22.0","22","84.6","1","0.1","50.0","0.50","1","100.0","26","1.5","86.7","13.00","26.00","26.00","4","4.00","1","1.00","1","100.0","0","0","0","1","0","0.0","0","","1","0.500","0","","1","100.0","0","","0","0","0.0","0","158.3","50.0","15.4","","100.0","","","4.80","0.6","9.6","2.3","0.1","1.13","2.3"
"55","Elic Ayomanor","TEN","WR","16","2025","9","90.0","20.0","40","58.8","2","0.1","22.2","0.22","1","50.0","26","1.6","39.4","2.89","13.00","26.00","2","2.00","","","0","0.0","0","0","0","1","2","33.3","0","","1","0.111","0","","1","50.0","0","","1","1","100.0","0","95.8","25.0","2.1","","100.0","","","0.40","0.2","3.6","3.6","0.2","0.40","3.6"
"56","Cade Otton","TB","TE","16","2025","16","80.0","7.0","21","15.3","3","0.2","17.6","0.19","3","100.0","26","1.6","20.2","1.63","8.67","8.67","5","1.67","3","1.00","0","0.0","0","0","0","0","1","11.1","0","","1","0.063","0","","3","100.0","0","","1","1","100.0","0","102.8","18.8","1.3","","100.0","","","0.35","0.4","5.6","4.6","0.3","0.29","4.6"
"57","Pat Freiermuth","PIT","TE","17","2025","20","90.9","7.3","22","19.6","3","0.2","15.0","0.15","3","100.0","26","1.5","16.3","1.30","8.67","8.67","4","1.33","2","0.67","1","50.0","2","1","1","0","2","16.7","0","","1","0.050","0","","3","100.0","1","33.3","2","2","100.0","0","142.4","16.7","1.4","","100.0","","","0.58","0.7","11.6","5.5","0.3","0.27","5.5"
"58","Jalen Coker","CAR","WR","11","2025","10","90.9","3.5","7","43.8","2","0.2","22.2","0.20","2","100.0","26","2.4","41.3","2.60","13.00","13.00","19","9.50","5","2.50","0","0.0","0","0","0","0","1","16.7","2","1.00","2","0.200","0","","2","100.0","0","","0","0","0.0","0","118.8","22.2","6.5","","100.0","","","0.46","0.4","4.6","3.0","0.3","0.30","3.0"
"59","Isaiah Likely","BLT","TE","14","2025","12","75.0","4.7","14","60.9","3","0.2","20.0","0.25","3","100.0","25","1.8","34.2","2.08","8.33","8.33","11","3.67","3","1.00","0","0.0","0","0","0","0","3","30.0","0","","1","0.083","0","","3","100.0","0","","0","0","0.0","0","101.4","23.1","1.8","","100.0","","","0.46","0.4","5.5","4.2","0.3","0.35","4.2"
"60","Matthew Golden","GB","WR","14","2025","10","90.9","5.0","15","26.3","3","0.2","33.3","0.30","3","100.0","25","1.8","56.8","2.50","8.33","8.33","10","3.33","","","0","0.0","0","0","0","0","3","42.9","0","","2","0.200","0","","3","100.0","1","33.3","0","0","0.0","0","101.4","37.5","1.4","","100.0","","","0.55","0.4","5.5","4.3","0.3","0.43","4.3"
"61","Christian Watson","GB","WR","10","2025","5","100.0","22.0","22","45.8","1","0.1","20.0","0.20","1","100.0","25","2.5","86.2","5.00","25.00","25.00","3","3.00","3","3.00","0","0.0","0","0","0","1","0","0.0","0","","1","0.200","0","","1","100.0","0","","1","1","100.0","0","118.8","20.0","13.1","","100.0","","","0.70","0.4","3.5","1.7","0.2","0.34","1.7"
