"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Wan'Dale Robinson","NYG","WR","16","2025","96","95.0","7.8","233","29.2","30","1.9","33.7","0.31","24","80.0","248","15.5","33.4","2.58","8.27","10.33","121","5.04","41","1.71","0","0.0","1","0","0","4","25","38.5","2","0.08","6","0.063","0","","24","80.0","8","26.7","2","2","100.0","0","101.1","34.9","0.8","","100.0","","","0.51","3.1","48.8","46.1","2.9","0.48","46.1"
"2","Trey McBride","ARZ","TE","17","2025","133","96.4","4.3","133","14.9","31","1.8","25.0","0.23","27","87.1","231","13.6","26.3","1.74","7.45","8.56","132","4.89","33","1.22","1","50.0","1","1","1","0","26","32.9","2","0.07","10","0.075","1","3.2","30","96.8","7","22.6","8","6","75.0","0","108.5","25.6","0.6","","100.0","","","0.42","3.3","56.1","47.7","2.8","0.36","47.7"
"3","Puka Nacua","LA","WR","16","2025","42","97.7","11.4","205","48.6","18","1.1","46.2","0.43","15","83.3","222","13.9","55.1","5.29","12.33","14.80","45","3.00","20","1.33","1","20.0","2","1","0","2","17","63.0","1","0.07","11","0.262","1","5.6","16","88.9","0","","3","3","100.0","1","136.6","47.4","3.7","","100.0","","","1.03","2.7","43.2","30.6","1.9","0.73","30.6"
"4","Hunter Henry","NE","TE","17","2025","65","91.5","7.8","124","17.8","16","0.9","24.6","0.25","14","87.5","194","11.4","27.2","2.98","12.13","13.86","97","6.93","16","1.14","0","0.0","0","0","0","2","11","25.6","0","","10","0.154","1","6.3","15","93.8","0","","2","1","50.0","0","117.2","25.8","4.5","","100.0","","","0.51","2.0","33.4","27.6","1.6","0.42","27.6"
"5","Chris Olave","NO","WR","16","2025","73","100.0","10.0","170","42.2","17","1.1","29.8","0.23","13","76.5","190","11.9","43.6","2.60","11.18","14.62","54","4.15","17","1.31","1","50.0","0","0","0","3","13","35.1","1","0.08","7","0.096","0","","15","88.2","3","17.6","3","1","33.3","0","107.5","30.9","3.1","","100.0","","","0.52","2.4","38.0","28.3","1.8","0.39","28.3"
"6","Josh Downs","IND","WR","16","2025","88","98.9","12.1","229","29.0","19","1.2","23.5","0.22","15","78.9","182","11.4","24.7","2.07","9.58","12.13","49","3.27","24","1.60","0","0.0","1","0","0","4","18","28.6","3","0.20","10","0.114","1","5.3","16","84.2","0","","2","1","50.0","0","106.6","24.4","0.9","","100.0","","","0.38","2.1","33.2","31.3","2.0","0.36","31.3"
"7","Zay Flowers","BLT","WR","17","2025","39","97.5","9.8","118","41.7","12","0.7","40.0","0.31","10","83.3","182","10.7","50.7","4.67","15.17","18.20","80","8.00","23","2.30","0","0.0","0","0","0","2","12","52.2","2","0.20","5","0.128","1","8.3","12","100.0","2","16.7","1","0","0.0","0","118.8","40.0","7.3","","100.0","","","0.72","1.7","28.2","23.0","1.4","0.59","23.0"
"8","Khalil Shakir","BUF","WR","16","2025","94","93.1","4.3","102","24.1","24","1.5","29.3","0.26","19","79.2","172","10.8","28.3","1.83","7.17","9.05","113","5.95","67","3.53","0","0.0","0","0","0","2","16","33.3","3","0.16","5","0.053","0","","22","91.7","5","20.8","6","3","50.0","0","96.5","31.2","0.5","","100.0","","","0.39","2.3","36.2","39.6","2.5","0.42","39.6"
"9","Amon-Ra St. Brown","DET","WR","17","2025","83","93.3","8.3","183","31.1","22","1.3","26.8","0.27","15","68.2","168","9.9","25.6","2.02","7.64","11.20","48","3.20","9","0.60","2","40.0","4","1","1","1","21","37.5","2","0.13","9","0.108","1","4.5","17","77.3","2","9.1","2","1","50.0","0","102.1","28.2","-0.1","","100.0","","","0.53","2.6","43.8","38.1","2.2","0.46","38.1"
"10","Troy Franklin","DEN","WR","17","2025","70","94.6","18.2","310","51.8","17","1.0","25.4","0.24","10","58.8","166","9.8","35.6","2.37","9.76","16.60","41","4.10","14","1.40","1","50.0","0","1","1","6","15","31.9","0","","6","0.086","2","11.8","13","76.5","3","17.6","2","1","50.0","0","71.8","26.2","-0.4","","100.0","","","0.47","1.9","32.6","34.0","2.0","0.49","34.0"
