"Player Details","","","","","","Receiving","","","","","","","","","","","","","","","","","","","","","","","Advanced","","","","","","","","","","","","","","","","","","","","","","","","","","","FPTS","","","","","",""
"Rank","Name","Team","POS","G","Season","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT/G","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","i20 TGT","EZTGT","EZTD","DP TGT","1READ","1READ %","MTF","MTF/REC","1D","1D/RR","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR","RecXFP"
"1","Puka Nacua","LA","WR","16","2025","42","100.0","7.2","108","28.7","15","0.9","36.6","0.36","13","86.7","183","11.4","46.1","4.36","12.20","14.08","96","7.38","73","5.62","0","0.0","0","0","0","0","13","48.1","4","0.31","10","0.238","1","6.7","14","93.3","0","","3","3","100.0","0","117.5","38.5","4.9","","100.0","","","0.75","2.0","31.3","22.8","1.4","0.54","22.8"
"2","Ladd McConkey","LAC","WR","16","2025","102","98.1","10.0","290","42.6","29","1.8","32.2","0.28","13","44.8","162","10.1","32.3","1.59","5.59","12.46","75","5.77","6","0.46","1","50.0","3","1","0","3","20","29.9","1","0.08","8","0.078","0","","16","55.2","0","","5","2","40.0","0","59.8","34.1","-2.5","","100.0","","","0.35","2.2","35.2","48.9","3.1","0.48","48.9"
"3","Mark Andrews","BLT","TE","17","2025","55","91.7","8.9","134","25.7","15","0.9","28.3","0.27","12","80.0","158","9.3","32.6","2.87","10.53","13.17","51","4.25","17","1.42","2","50.0","4","1","0","0","13","31.0","0","","9","0.164","1","6.7","13","86.7","0","","3","3","100.0","0","150.1","29.4","2.5","","100.0","","","0.72","2.3","39.8","29.4","1.7","0.54","29.4"
"4","Jalen Nailor","MIN","WR","17","2025","50","90.9","14.9","194","39.5","13","0.8","29.5","0.26","7","53.8","151","8.9","47.6","3.02","11.62","21.57","53","7.57","20","2.86","0","0.0","0","0","0","3","10","31.3","1","0.14","7","0.140","0","","8","61.5","0","","5","4","80.0","0","63.3","33.3","1.8","","100.0","","","0.44","1.3","22.1","21.8","1.3","0.44","21.8"
"5","Jaxon Smith-Njigba","SEA","WR","17","2025","15","88.2","15.9","127","84.1","8","0.5","57.1","0.53","7","87.5","146","8.6","91.8","9.73","18.25","20.86","39","5.57","8","1.14","1","100.0","0","0","0","3","7","53.8","2","0.29","6","0.400","0","","7","87.5","0","","1","1","100.0","0","158.3","57.1","8.8","","100.0","","","1.84","1.6","27.6","13.0","0.8","0.86","13.0"
"6","CeeDee Lamb","DAL","WR","14","2025","23","92.0","12.3","160","71.7","13","0.9","56.5","0.57","10","76.9","137","9.8","80.6","5.96","10.54","13.70","31","3.10","27","2.70","0","0.0","1","0","0","4","12","63.2","1","0.10","6","0.261","1","7.7","12","92.3","0","","5","4","80.0","0","78.0","61.9","2.2","","100.0","","","1.03","1.7","23.7","24.7","1.8","1.07","24.7"
"7","Khalil Shakir","BUF","WR","16","2025","92","98.9","6.0","125","18.2","21","1.3","26.3","0.23","15","71.4","132","8.3","22.8","1.43","6.29","8.80","89","5.93","35","2.33","1","25.0","2","0","0","2","17","27.9","2","0.13","7","0.076","1","4.8","18","85.7","3","14.3","6","4","66.7","0","103.7","28.0","-0.3","","100.0","","","0.36","2.1","33.2","32.5","2.0","0.35","32.5"
"8","Kyle Pitts","ATL","TE","17","2025","33","97.1","9.3","93","25.2","10","0.6","31.3","0.30","9","90.0","131","7.7","49.4","3.97","13.10","14.56","51","5.67","57","6.33","0","0.0","0","0","0","1","9","39.1","2","0.22","7","0.212","0","","9","90.0","0","","2","2","100.0","0","118.8","31.3","5.3","","100.0","","","0.67","1.3","22.1","14.5","0.9","0.44","14.5"
"9","Tucker Kraft","GB","TE","8","2025","20","100.0","7.8","47","21.5","6","0.8","33.3","0.30","5","83.3","130","16.3","55.3","6.50","21.67","26.00","83","16.60","35","7.00","1","100.0","0","0","0","0","4","36.4","3","0.60","5","0.250","0","","5","83.3","1","16.7","0","0","0.0","0","158.3","37.5","14.5","","100.0","","","1.20","3.0","24.0","9.9","1.2","0.49","9.9"
"10","DeMario Douglas","NE","WR","17","2025","33","100.0","20.5","123","36.0","6","0.4","20.7","0.18","4","66.7","124","7.3","28.4","3.76","20.67","31.00","49","12.25","6","1.50","0","0.0","0","0","0","3","4","16.0","2","0.50","4","0.121","0","","4","66.7","0","","2","1","50.0","0","109.7","20.7","10.3","","100.0","","","0.50","1.0","16.4","10.3","0.6","0.31","10.3"
"11","Amon-Ra St. Brown","DET","WR","17","2025","66","97.1","8.0","168","37.3","21","1.2","33.3","0.32","11","52.4","122","7.2","27.1","1.85","5.81","11.09","74","6.73","17","1.55","2","28.6","4","1","0","2","19","38.8","1","0.09","8","0.121","4","19.0","18","85.7","2","9.5","4","1","25.0","0","101.7","36.8","-1.6","","100.0","","","0.53","2.1","35.2","35.3","2.1","0.54","35.3"
"12","Wan'Dale Robinson","NYG","WR","16","2025","76","100.0","8.3","99","19.0","12","0.8","21.1","0.16","9","75.0","119","7.4","26.5","1.57","9.92","13.22","72","8.00","47","5.22","1","100.0","1","1","0","1","10","26.3","2","0.22","7","0.092","0","","9","75.0","1","8.3","1","0","0.0","0","133.7","23.1","2.2","","100.0","","","0.35","1.7","26.9","27.8","1.7","0.37","27.8"
"13","Chris Olave","NO","WR","16","2025","32","100.0","12.3","160","50.0","13","0.8","41.9","0.41","9","69.2","117","7.3","47.2","3.66","9.00","13.00","16","1.78","3","0.33","2","66.7","5","3","1","3","11","45.8","1","0.11","8","0.250","2","15.4","11","84.6","0","","4","1","25.0","1","136.9","43.3","0.1","","100.0","","","1.02","2.0","32.7","30.9","1.9","0.96","30.9"
"14","Jakobi Meyers","JAX, LV","WR","16","2025","53","100.0","8.9","107","23.8","12","0.8","25.5","0.23","10","83.3","113","7.1","33.3","2.13","9.42","11.30","41","4.10","15","1.50","0","0.0","2","1","0","1","8","24.2","0","","9","0.170","0","","10","83.3","0","","0","0","0.0","0","71.2","28.6","1.8","","100.0","","","0.40","1.3","21.3","21.7","1.4","0.41","21.7"
"15","Zay Flowers","BLT","WR","17","2025","39","100.0","9.1","127","36.0","14","0.8","38.9","0.36","10","71.4","112","6.6","39.9","2.87","8.00","11.20","63","6.30","12","1.20","0","0.0","1","1","0","3","9","36.0","4","0.40","5","0.128","0","","11","78.6","2","14.3","1","0","0.0","1","65.2","41.2","0.5","","100.0","","","0.52","1.2","20.2","23.4","1.4","0.60","23.4"
